pop_number	file	lineage_time
1	simulated_populations_1.Rds	218205404.540823
2	simulated_populations_2.Rds	148108897.524111
3	simulated_populations_3.Rds	239968682.755263
4	simulated_populations_4.Rds	225921080.256816
5	simulated_populations_5.Rds	236826095.645435
6	simulated_populations_6.Rds	239661539.107867
7	simulated_populations_7.Rds	214380749.09985
8	simulated_populations_8.Rds	232562722.583722
9	simulated_populations_9.Rds	213013800.842309
10	simulated_populations_10.Rds	222305522.399985
11	simulated_populations_11.Rds	222305522.399985
12	simulated_populations_12.Rds	224312648.456962
13	simulated_populations_13.Rds	224312648.456962
14	simulated_populations_14.Rds	218634489.052311
15	simulated_populations_15.Rds	222045591.239906
16	simulated_populations_16.Rds	226331305.588428
17	simulated_populations_17.Rds	238200002.761822
18	simulated_populations_18.Rds	237027536.853889
19	simulated_populations_19.Rds	237027536.853889
20	simulated_populations_20.Rds	237027536.853889
21	simulated_populations_21.Rds	237027536.853889
22	simulated_populations_22.Rds	211944670.713355
23	simulated_populations_23.Rds	233641983.192517
24	simulated_populations_24.Rds	233641983.192517
25	simulated_populations_25.Rds	200842118.89316
26	simulated_populations_26.Rds	211944670.713355
27	simulated_populations_27.Rds	233723058.008412
28	simulated_populations_28.Rds	219718516.064337
29	simulated_populations_29.Rds	202812004.0684
30	simulated_populations_30.Rds	202812004.0684
31	simulated_populations_31.Rds	236130051.181379
32	simulated_populations_32.Rds	222900237.696434
33	simulated_populations_33.Rds	230653088.809477
34	simulated_populations_34.Rds	215639604.311427
35	simulated_populations_35.Rds	224500788.305764
36	simulated_populations_36.Rds	222900237.696434
37	simulated_populations_37.Rds	188851991.814368
38	simulated_populations_38.Rds	188851991.814368
39	simulated_populations_39.Rds	246727182.636445
40	simulated_populations_40.Rds	246727182.636445
41	simulated_populations_41.Rds	186339329.238103
42	simulated_populations_42.Rds	186339329.238103
43	simulated_populations_43.Rds	234188431.968616
44	simulated_populations_44.Rds	241537060.447341
45	simulated_populations_45.Rds	238782547.878858
46	simulated_populations_46.Rds	232710076.133186
47	simulated_populations_47.Rds	232710076.133186
48	simulated_populations_48.Rds	177094019.439647
49	simulated_populations_49.Rds	228505654.855194
50	simulated_populations_50.Rds	240132379.844823
51	simulated_populations_51.Rds	231044188.994523
52	simulated_populations_52.Rds	239717387.011034
53	simulated_populations_53.Rds	234479415.675421
54	simulated_populations_54.Rds	242577465.826268
55	simulated_populations_55.Rds	232789397.162883
56	simulated_populations_56.Rds	222336707.888368
57	simulated_populations_57.Rds	226030631.700416
58	simulated_populations_58.Rds	232789397.162883
59	simulated_populations_59.Rds	221782656.595483
60	simulated_populations_60.Rds	235875468.787751
61	simulated_populations_61.Rds	235875468.787751
62	simulated_populations_62.Rds	230886818.023357
63	simulated_populations_63.Rds	231020604.9576
64	simulated_populations_64.Rds	174886765.906823
65	simulated_populations_65.Rds	237856786.692927
66	simulated_populations_66.Rds	224486080.985789
67	simulated_populations_67.Rds	223743198.447138
68	simulated_populations_68.Rds	226015490.223333
69	simulated_populations_69.Rds	225989883.209228
70	simulated_populations_70.Rds	234449248.812574
71	simulated_populations_71.Rds	198557392.994944
72	simulated_populations_72.Rds	208064076.553568
73	simulated_populations_73.Rds	234930542.471364
74	simulated_populations_74.Rds	210804779.365497
75	simulated_populations_75.Rds	245489657.173932
76	simulated_populations_76.Rds	247844985.791305
77	simulated_populations_77.Rds	234034122.093653
78	simulated_populations_78.Rds	216905783.604223
79	simulated_populations_79.Rds	185251817.648573
80	simulated_populations_80.Rds	243987340.103437
81	simulated_populations_81.Rds	246990768.731128
82	simulated_populations_82.Rds	232457517.686285
83	simulated_populations_83.Rds	230160552.746524
84	simulated_populations_84.Rds	222118003.943679
85	simulated_populations_85.Rds	246556861.614267
86	simulated_populations_86.Rds	239990518.62154
87	simulated_populations_87.Rds	218591995.994281
88	simulated_populations_88.Rds	232974765.99655
89	simulated_populations_89.Rds	233494149.649566
90	simulated_populations_90.Rds	233691758.071861
91	simulated_populations_91.Rds	210254378.208926
92	simulated_populations_92.Rds	226991123.285675
93	simulated_populations_93.Rds	214876300.099024
94	simulated_populations_94.Rds	245366065.323032
95	simulated_populations_95.Rds	240932978.822111
96	simulated_populations_96.Rds	233529053.584918
97	simulated_populations_97.Rds	233529053.584918
98	simulated_populations_98.Rds	215788017.549951
99	simulated_populations_99.Rds	224135422.105675
