pop_number	mean_lesion_duration_years	total_PVVs_in_set
1	0.5	60835
1	0.6	59769
1	0.7	60337
1	0.8	59953
1	0.9	60228
1	1.1	59971
1	1.2	60139
1	1.3	59644
1	1.4	59961
1	1.5	60147
1	1.6	60218
1	1.7	60028
1	1.8	60029
1	1.9	62647
1	1	60228
1	2.1	59965
1	2.2	59798
1	2.3	59622
1	2.4	60264
1	2.5	60278
1	2.6	59577
1	2.7	59960
1	2.8	60352
1	2.9	59592
1	2	67358
1	3.1	59855
1	3.2	59920
1	3.3	60137
1	3.4	60108
1	3.5	59993
1	3.6	59932
1	3.7	60206
1	3.8	59849
1	3.9	59946
1	3	60123
1	4.1	59961
1	4.2	60176
1	4.3	62033
1	4.4	62715
1	4.5	64449
1	4.6	65488
1	4.7	67278
1	4.8	68400
1	4.9	69260
1	4	59967
1	5	70885
10	0.5	59346
10	0.6	59705
10	0.7	59520
10	0.8	59932
10	0.9	60164
10	1.1	59410
10	1.2	60002
10	1.3	59968
10	1.4	59938
10	1.5	59986
10	1.6	60017
10	1.7	59843
10	1.8	60053
10	1.9	61165
10	1	59924
10	2.1	60179
10	2.2	59786
10	2.3	59865
10	2.4	60192
10	2.5	59864
10	2.6	59807
10	2.7	59957
10	2.8	59667
10	2.9	60058
10	2	65740
10	3.1	60213
10	3.2	60023
10	3.3	59811
10	3.4	60071
10	3.5	60259
10	3.6	59909
10	3.7	60118
10	3.8	60141
10	3.9	59951
10	3	59725
10	4.1	59999
10	4.2	59453
10	4.3	61338
10	4.4	62339
10	4.5	63994
10	4.6	65312
10	4.7	66488
10	4.8	68354
10	4.9	69224
10	4	59952
10	5	70211
11	0.5	60437
11	0.6	60233
11	0.7	60178
11	0.8	59908
11	0.9	60089
11	1.1	60038
11	1.2	59775
11	1.3	60053
11	1.4	59953
11	1.5	59992
11	1.6	60024
11	1.7	60099
11	1.8	59985
11	1.9	61514
11	1	60333
11	2.1	60074
11	2.2	59912
11	2.3	60233
11	2.4	59794
11	2.5	59855
11	2.6	59907
11	2.7	59993
