Sample,Project
PD45792b_lo0001,2189
PD45792b_lo0002,2189
PD45792b_lo0003,2189
PD45792b_lo0004,2189
PD45792b_lo0005,2189
PD45792b_lo0006,2189
PD45792b_lo0007,2189
PD45792b_lo0008,2189
PD45792b_lo0009,2189
PD45792b_lo0010,2189
PD45792b_lo0011,2189
PD45792b_lo0012,2189
PD45792b_lo0013,2189
PD45792b_lo0014,2189
PD45792b_lo0016,2189
PD45792b_lo0017,2189
PD45792b_lo0018,2189
PD45792b_lo0020,2189
PD45792b_lo0021,2189
PD45792b_lo0023,2189
PD45792b_lo0024,2189
PD45792b_lo0025,2189
PD45792b_lo0026,2189
PD45792b_lo0027,2189
PD45792b_lo0028,2189
PD45792b_lo0030,2189
PD45792b_lo0031,2189
PD45792b_lo0032,2189
PD45792b_lo0033,2189
PD45792b_lo0034,2189
PD45792b_lo0035,2189
PD45792b_lo0038,2189
PD45792b_lo0039,2189
PD45792b_lo0040,2189
PD45792b_lo0042,2189
PD45792b_lo0043,2189
PD45792b_lo0044,2189
PD45792b_lo0045,2189
PD45792b_lo0046,2189
PD45792b_lo0047,2189
PD45792b_lo0048,2189
PD45792b_lo0049,2189
PD45792b_lo0050,2189
PD45792b_lo0051,2189
PD45792b_lo0052,2189
PD45792b_lo0053,2189
PD45792b_lo0054,2189
PD45792b_lo0055,2189
PD45792b_lo0056,2189
PD45792b_lo0057,2189
PD45792b_lo0097,2256
PD45792b_lo0098,2256
PD45792b_lo0099,2189
PD45792b_lo0100,2189
PD45792b_lo0101,2189
PD45792b_lo0102,2256
PD45792b_lo0103,2189
PD45792b_lo0104,2256
PD45792b_lo0105,2189
PD45792b_lo0106,2256
PD45792b_lo0107,2256
PD45792b_lo0108,2189
PD45792b_lo0109,2189
PD45792b_lo0110,2189
PD45792b_lo0111,2189
PD45792b_lo0112,2189
PD45792b_lo0113,2256
PD45792b_lo0114,2189
PD45792b_lo0115,2189
PD45792b_lo0116,2256
PD45792b_lo0117,2189
PD45792b_lo0118,2256
PD45792b_lo0119,2256
PD45792b_lo0120,2256
PD45792b_lo0121,2189
PD45792b_lo0122,2256
PD45792b_lo0123,2189
PD45792b_lo0124,2189
PD45792b_lo0125,2189
PD45792b_lo0126,2256
PD45792b_lo0127,2189
PD45792b_lo0128,2256
PD45792b_lo0129,2189
PD45792b_lo0130,2189
PD45792b_lo0131,2256
PD45792b_lo0132,2256
PD45792b_lo0134,2256
PD45792b_lo0135,2256
PD45792b_lo0136,2189
PD45792b_lo0137,2189
PD45792b_lo0138,2256
PD45792b_lo0139,2189
PD45792b_lo0140,2256
PD45792b_lo0141,2189
PD45792b_lo0142,2189
PD45792b_lo0143,2256
PD45792b_lo0144,2189
PD45792b_lo0145,2256
PD45792b_lo0146,2256
PD45792b_lo0147,2189
PD45792b_lo0148,2189
PD45792b_lo0149,2189
PD45792b_lo0150,2189
PD45792b_lo0151,2256
