Sample,Project
PD4781d_lo0005,2108
PD4781d_lo0006,2108
PD4781d_lo0009,2108
PD4781d_lo0010,2108
PD4781d_lo0011,2108
PD4781d_lo0015,2108
PD4781d_lo0019,2108
PD4781d_lo0020,2108
PD4781d_lo0021,2108
PD4781d_lo0022,2108
PD4781d_lo0023,2108
PD4781d_lo0031,2108
PD5147c_lo041,2108
PD5147c_lo042,2108
PD5147c_lo043,2108
PD5147c_lo044,2108
PD5147c_lo045,2108
PD5147c_lo046,2108
PD5147c_lo047,2108
PD5147c_lo048,2108
PD5147c_lo049,2108
PD5147c_lo050,2108
PD5147c_lo051,2108
PD5147c_lo052,2108
PD5147c_lo053,2108
PD5147c_lo054,2108
PD5147c_lo055,2108
PD5147c_lo056,2108
PD5147c_lo057,2108
PD5147c_lo058,2108
PD5147c_lo059,2108
PD5147c_lo060,2108
PD5147c_lo061,2108
PD5147c_lo062,2108
PD5147c_lo063,2108
PD5147c_lo064,2108
PD5147c_lo065,2108
PD5147c_lo066,2108
PD5147c_lo067,2108
PD5147c_lo068,2108
PD5147c_lo069,2108
PD5147c_lo070,2108
PD5147c_lo071,2108
PD5147c_lo072,2108
PD5147c_lo073,2108
PD5147c_lo074,2108
PD5147c_lo075,2108
PD5147c_lo076,2108
PD5147c_lo077,2108
PD5147c_lo078,2108
PD5147c_lo079,2108
PD5147c_lo080,2108
PD5147c_lo081,2108
PD5147c_lo082,2108
PD5147c_lo083,2108
PD5147c_lo084,2108
PD5147c_lo085,2108
PD5147c_lo086,2108
PD5147c_lo087,2108
PD5147c_lo088,2108
PD5147c_lo089,2108
PD5147c_lo090,2108
PD5147c_lo091,2108
PD5147c_lo092,2108
PD5147c_lo093,2108
PD5147c_lo094,2108
PD5182dl_lo0004,2108
PD5182dl_lo0005,2108
PD5182dl_lo0006,2108
PD5182dl_lo0009,2108
PD5182dl_lo0024,2108
PD5182dl_lo0041,2108
PD5182dl_lo0042,2108
PD5182dl_lo0045,2108
PD5182dl_lo0065,2108
PD5182dl_lo0068,2108
PD5182dl_lo0070,2108
PD5182dl_lo0072,2108
PD5182dl_lo0077,2108
PD5182dl_lo0078,2108
PD5182dl_lo0082,2108
PD5182dl_lo0085,2108
PD5182dl_lo0088,2108
PD5182dl_lo0091,2108
PD9478ar,2108
PD9478as,2108
PD9478at,2108
PD9478au,2108
PD9478av,2108
PD9478aw,2108
PD9478ax,2108
PD9478ay,2108
PD9478az,2108
PD9478ba,2108
PD9478bb,2108
PD9478bc,2108
PD9478bd,2108
PD9478be,2108
PD9478bg,2108
PD9478bh,2108
PD9478bi,2108
PD9478bj,2108
PD9478bk,2108
PD9478bm,2108
PD9478bn,2108
PD9478bp,2108
PD9478bq,2108
PD9478br,2108
PD9478bt,2108
PD9478bv,2108
PD9478bw,2108
PD9478bx,2108
PD9478by,2108
PD9478bz,2108
PD9478ca,2108
PD9478cb,2108
PD9478cc,2108
PD9478cd,2108
PD9478ce,2108
PD9478cf,2108
PD9478cg,2108
PD9478ch,2108
PD9478ci,2108
PD9478cj,2108
PD9478ck,2108
PD9478cl,2108
PD9478cm,2108
PD9478cn,2108
PD9478co,2108
PD9478cp,2108
PD9478cq,2108
PD9478cr,2108
PD9478cs,2108
PD9478ct,2108
PD9478cu,2108
PD9478cv,2108
PD9478cw,2108
PD9478cx,2108
PD9478cy,2108
PD9478cz,2108
PD9478da,2108
PD9478db,2108
PD9478dc,2108
PD37580a_lo0001,1805
PD37580a_lo0002,1805
PD37580a_lo0003,1805
PD37580a_lo0004,1805
PD37580a_lo0005,1805
PD37580a_lo0006,1805
PD37580a_lo0007,1805
PD37580a_lo0008,1805
PD37580a_lo0009,1805
PD37580a_lo0010,1805
PD37580a_lo0011,1805
PD37580a_lo0012,1805
PD37580a_lo0013,1805
PD37580a_lo0014,1805
PD37580a_lo0015,1805
PD37580a_lo0016,1805
PD37580a_lo0017,1805
PD37580a_lo0018,1805
PD37580a_lo0019,1805
PD37580a_lo0020,1805
PD37580a_lo0021,1805
PD37580a_lo0022,1805
PD37580a_lo0023,1805
PD37580a_lo0024,1805
PD37580a_lo0025,1805
PD37580a_lo0026,1805
PD37580a_lo0027,1805
PD37580a_lo0028,1805
PD37580a_lo0029,1805
PD37580a_lo0030,1805
PD37580a_lo0031,1805
PD37580a_lo0032,1805
PD37580a_lo0033,1805
PD37580a_lo0034,1805
PD37580a_lo0035,1805
PD37580a_lo0036,1805
PD37580a_lo0037,1805
PD37580a_lo0038,1805
PD37580a_lo0039,1805
PD37580a_lo0040,1805
PD37580a_lo0041,1805
PD37580a_lo0042,1805
PD37580a_lo0043,1805
PD37580a_lo0044,1805
PD37580a_lo0045,1805
PD37580a_lo0046,1805
PD37580a_lo0047,1805
PD37580a_lo0048,1805
PD37580a_lo0049,1805
PD37580a_lo0050,1805
PD37580a_lo0051,1805
PD37580a_lo0052,1805
PD37580a_lo0053,1805
PD37580a_lo0054,1805
PD37580a_lo0055,1805
PD37580a_lo0056,1805
PD37580a_lo0057,1805
PD37580a_lo0058,1805
PD37580a_lo0059,1805
PD37580a_lo0060,1805
PD37580a_lo0061,1805
PD37580a_lo0062,1805
PD37580a_lo0063,1805
PD37580a_lo0064,1805
PD37580a_lo0065,1805
PD37580a_lo0066,1805
PD37580a_lo0067,1805
PD37580a_lo0068,1805
PD37580a_lo0069,1805
PD37580a_lo0070,1805
PD37580a_lo0071,1805
PD37580a_lo0072,1805
PD37580a_lo0073,1805
PD37580a_lo0074,1805
PD37580a_lo0075,1805
PD37580a_lo0076,1805
PD37580a_lo0077,1805
PD37580a_lo0078,1805
PD37580a_lo0079,1805
PD37580a_lo0080,1805
PD37580a_lo0081,1805
PD37580a_lo0082,1805
PD37580a_lo0083,1805
PD37580a_lo0084,1805
PD37580a_lo0085,1805
PD37580a_lo0086,1805
PD37580a_lo0087,1805
PD37580a_lo0088,1805
PD37580a_lo0089,1805
PD37580a_lo0090,1805
PD37580a_lo0091,1805
PD37580a_lo0092,1805
PD37580a_lo0093,1805
PD37580a_lo0094,1805
PD37580a_lo0095,1805
PD37580a_lo0096,1805
PD37580a_lo0097,1805
PD37580a_lo0098,1805
PD37580a_lo0099,1805
PD37580a_lo0100,1805
PD37580a_lo0101,1805
PD4781b3,1805
PD4781b4,1805
PD4781c_lo0001,1805
PD4781c_lo0002,1805
PD4781c_lo0003,1805
PD4781c_lo0004,1805
PD4781c_lo0005,1805
PD4781c_lo0006,1805
PD4781c_lo0007,1805
PD4781c_lo0008,1805
PD4781c_lo0009,1805
PD4781c_lo0010,1805
PD4781c_lo0011,1805
PD4781c_lo0012,1805
PD4781c_lo0013,1805
PD4781c_lo0014,1805
PD4781c_lo0015,1805
PD4781c_lo0016,1805
PD4781c_lo0017,1805
PD4781c_lo0018,1805
PD4781c_lo0019,1805
PD4781c_lo0020,1805
PD4781c_lo0021,1805
PD4781c_lo0022,1805
PD4781c_lo0023,1805
PD4781c_lo0024,1805
PD4781c_lo0025,1805
PD4781c_lo0026,1805
PD4781c_lo0027,1805
PD4781c_lo0028,1805
PD4781c_lo0029,1805
PD4781c_lo0030,1805
PD4781c_lo0031,1805
PD4781c_lo0032,1805
PD4781c_lo0033,1805
PD4781c_lo0034,1805
PD4781c_lo0035,1805
PD4781c_lo0036,1805
PD4781c_lo0039,1805
