sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
8pcw_100	0.5	0	0	0.841886116991581	0	2	1
8pcw_101	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_102	1	0.571428571428571	0.184051567640083	0.901011721557492	4	7	1
8pcw_103	0.5	1	0.158113883008419	1	2	2	1
8pcw_104	1	0	0	0.975	0	1	1
8pcw_105	0.5	1	0.158113883008419	1	2	2	1
8pcw_106	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_107	0.6875	0.333333333333333	0.0432718682927417	0.777221904496488	2	6	1
8pcw_108	NA	NA	NA	NA	NA	NA	NA
8pcw_109	1	0.666666666666667	0.0942993240502461	0.991596241340387	2	3	1
8pcw_10	NA	NA	NA	NA	NA	NA	NA
8pcw_110	1	0	0	0.975	0	1	1
8pcw_111	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_112	1	0	0	0.975	0	1	1
8pcw_113	NA	NA	NA	NA	NA	NA	NA
8pcw_114	1	1	0.025	1	1	1	1
8pcw_115	0.125	0.142857142857143	0.00361029686190059	0.578723197043195	1	7	1
8pcw_116	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_117	NA	NA	NA	NA	NA	NA	NA
8pcw_118	1	0.555555555555556	0.212008506778868	0.863004337734833	5	9	1
8pcw_119	NA	NA	NA	NA	NA	NA	NA
8pcw_11	1	0.6	0.146632799634673	0.947255049473683	3	5	1
8pcw_120	1	1	0.025	1	1	1	1
8pcw_121	NA	NA	NA	NA	NA	NA	NA
8pcw_122	0.625	0.25	0.00630946320970987	0.805879550316757	1	4	1
8pcw_123	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_124	0.359283447265625	0.368421052631579	0.1628858721551	0.616422076685595	7	19	1
8pcw_125	0.7265625	0.625	0.244863216366552	0.914766585862746	5	8	1
8pcw_126	0.2265625	0.727272727272727	0.390257440427579	0.939782265827093	8	11	1
8pcw_127	NA	NA	NA	NA	NA	NA	NA
8pcw_128	NA	NA	NA	NA	NA	NA	NA
8pcw_129	0.453125	0.285714285714286	0.0366925661760856	0.709579136262657	2	7	1
8pcw_12	1	0.666666666666667	0.0942993240502461	0.991596241340387	2	3	1
8pcw_130	0.34375	0.3	0.0667395111777345	0.652452850059997	3	10	1
8pcw_131	0.125	0.142857142857143	0.00361029686190059	0.578723197043195	1	7	1
8pcw_132	0.6875	0.666666666666667	0.222778095503512	0.956728131707258	4	6	1
8pcw_133	1	0.5	0.067585986488543	0.932414013511457	2	4	1
8pcw_134	0.5	1	0.158113883008419	1	2	2	1
8pcw_135	0.6875	0.333333333333333	0.0432718682927417	0.777221904496488	2	6	1
8pcw_136	0.375	0.2	0.00505076337946806	0.716417936118089	1	5	1
8pcw_137	1	0.333333333333333	0.00840375865961264	0.905700675949754	1	3	1
8pcw_138	0.625	0.25	0.00630946320970987	0.805879550316757	1	4	1
8pcw_139	0.0703125	0.875	0.473490329124793	0.996840276468748	7	8	1
8pcw_13	1	0.6	0.146632799634673	0.947255049473683	3	5	1
8pcw_140	NA	NA	NA	NA	NA	NA	NA
8pcw_141	1	0.5	0.067585986488543	0.932414013511457	2	4	1
8pcw_142	1	0.333333333333333	0.00840375865961264	0.905700675949754	1	3	1
8pcw_143	1	0.5	0.067585986488543	0.932414013511457	2	4	1
8pcw_144	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_145	0.5	1	0.158113883008419	1	2	2	1
8pcw_146	1	0.666666666666667	0.0942993240502461	0.991596241340387	2	3	1
8pcw_147	1	0.5	0.067585986488543	0.932414013511457	2	4	1
8pcw_148	1	0.333333333333333	0.00840375865961264	0.905700675949754	1	3	1
8pcw_149	1	0	0	0.975	0	1	1
8pcw_14	0.75390625	0.4	0.121552258119827	0.737621923393055	4	10	1
8pcw_150	1	1	0.025	1	1	1	1
8pcw_151	1	0	0	0.975	0	1	1
8pcw_152	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_153	0.5	1	0.158113883008419	1	2	2	1
8pcw_154	NA	NA	NA	NA	NA	NA	NA
8pcw_155	NA	NA	NA	NA	NA	NA	NA
8pcw_156	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_157	1	1	0.025	1	1	1	1
8pcw_158	0.03125	1	0.5407418735601	1	6	6	1
8pcw_159	1	1	0.025	1	1	1	1
8pcw_15	0.7265625	0.375	0.0852334141372536	0.755136783633448	3	8	1
8pcw_160	0.5	1	0.158113883008419	1	2	2	1
8pcw_161	NA	NA	NA	NA	NA	NA	NA
8pcw_162	1	0	0	0.975	0	1	1
8pcw_163	NA	NA	NA	NA	NA	NA	NA
8pcw_164	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_165	1	0.6	0.146632799634673	0.947255049473683	3	5	1
8pcw_166	1	0	0	0.975	0	1	1
8pcw_167	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_168	NA	NA	NA	NA	NA	NA	NA
8pcw_169	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
8pcw_16	1	0.5	0.118117248757025	0.881882751242975	3	6	1
