sample_name	rl20	genome_span	genome_size	fraction_span
8pcw_100	2	380200811	2881033286	0.131966823447523
8pcw_101	1	-10425621	2881033286	-0.00361870897176438
8pcw_102	2	24064042	2881033286	0.00835257340376317
8pcw_103	1	84535177	2881033286	0.0293419647078663
8pcw_104	2	47498458	2881033286	0.0164866050770092
8pcw_105	1	63151553	2881033286	0.0219197582016413
8pcw_106	1	-12585083	2881033286	-0.00436825324481864
8pcw_107	2	22284133	2881033286	0.00773477110045441
8pcw_108	1	0	2881033286	0
8pcw_109	2	14	2881033286	4.85936766785415e-09
8pcw_10	1	81651663	2881033286	0.0283411036577659
8pcw_110	2	389668	2881033286	0.000135252862885528
8pcw_111	1	76530365	2881033286	0.0265635129492912
8pcw_112	1	62866669	2881033286	0.0218208756231635
8pcw_113	1	-2896771	2881033286	-0.00100546252418411
8pcw_114	1	0	2881033286	0
8pcw_115	4	99953171	2881033286	0.0346935148183498
8pcw_116	2	0	2881033286	0
8pcw_117	1	-77313922	2881033286	-0.0268354837744141
8pcw_118	2	83937152	2881033286	0.0291343916114685
8pcw_119	1	-59185257	2881033286	-0.0205430660199599
8pcw_11	2	276868015	2881033286	0.0961002485967113
8pcw_120	1	-131622188	2881033286	-0.0456857574813872
8pcw_121	1	8441150	2881033286	0.00292990367067908
8pcw_122	3	121663311	2881033286	0.042229054274106
8pcw_123	2	76831981	2881033286	0.0266682031663275
8pcw_124	3	398231775	2881033286	0.138225329410512
8pcw_125	2	83497509	2881033286	0.0289817925414972
8pcw_126	2	102936413	2881033286	0.0357289912269344
8pcw_127	1	0	2881033286	0
8pcw_128	1	-17293877	2881033286	-0.00600266476754618
8pcw_129	2	326559281	2881033286	0.113347972266364
8pcw_12	1	101485238	2881033286	0.0352252917358345
8pcw_130	5	124920404	2881033286	0.0433595837323485
8pcw_131	3	161919607	2881033286	0.0562019216462465
8pcw_132	2	116280513	2881033286	0.0403606975195496
8pcw_133	2	55644730	2881033286	0.019314157274891
8pcw_134	1	-107678938	2881033286	-0.0373751107018623
8pcw_135	3	79482277	2881033286	0.0275881147872305
8pcw_136	3	622	2881033286	2.15894763528949e-07
8pcw_137	2	85500332	2881033286	0.0296769677793997
8pcw_138	3	123828465	2881033286	0.0429805742272149
8pcw_139	1	119436477	2881033286	0.0414561253354433
8pcw_13	2	110939124	2881033286	0.0385067137332616
8pcw_140	1	0	2881033286	0
8pcw_141	2	114953923	2881033286	0.0399002411942283
8pcw_142	2	0	2881033286	0
8pcw_143	2	126088524	2881033286	0.0437650354866466
8pcw_144	2	0	2881033286	0
8pcw_145	1	-159388243	2881033286	-0.0553232910478772
8pcw_146	1	131047806	2881033286	0.0454863908156874
8pcw_147	2	103193194	2881033286	0.0358181193190144
8pcw_148	3	89288542	2881033286	0.0309918467217598
8pcw_149	2	0	2881033286	0
8pcw_14	3	227964235	2881033286	0.0791258594990075
8pcw_150	1	-165212073	2881033286	-0.0573447289910971
8pcw_151	2	18948142	2881033286	0.00657685632862209
8pcw_152	2	0	2881033286	0
8pcw_153	1	80952084	2881033286	0.0280982814025009
8pcw_154	1	0	2881033286	0
8pcw_155	1	6377528	2881033286	0.00221362524028818
8pcw_156	1	17235108	2881033286	0.0059822661833696
8pcw_157	1	-27448859	2881033286	-0.00952743556743482
8pcw_158	1	-49896008	2881033286	-0.0173187891450137
8pcw_159	1	0	2881033286	0
8pcw_15	3	145090616	2881033286	0.0503606177356744
8pcw_160	1	66418740	2881033286	0.0230537912639722
8pcw_161	1	0	2881033286	0
8pcw_162	2	28009882	2881033286	0.00972216535508643
8pcw_163	1	0	2881033286	0
8pcw_164	1	129116518	2881033286	0.0448160452110792
8pcw_165	2	55870188	2881033286	0.0193924132260095
8pcw_166	2	0	2881033286	0
8pcw_167	2	3288458	2881033286	0.00114141617730688
8pcw_168	1	-29398758	2881033286	-0.010204241007162
8pcw_169	1	130360637	2881033286	0.0452478760427623
8pcw_16	2	55986960	2881033286	0.0194329445175317
8pcw_170	2	99658088	2881033286	0.034591092190526
8pcw_171	1	-1165131	2881033286	-0.000404414279301041
8pcw_172	2	112212135	2881033286	0.0389485729114204
8pcw_173	2	146980999	2881033286	0.0510167653092502
8pcw_174	2	-26114690	2881033286	-0.00906434858871672
8pcw_175	2	15225246	2881033286	0.00528464772482327
8pcw_176	2	122349728	2881033286	0.0424673080295678
8pcw_177	1	1137203	2881033286	0.000394720534999053
8pcw_178	1	197198399	2881033286	0.0684471088752287
8pcw_179	1	-18167538	2881033286	-0.0063059104829794
8pcw_17	1	112059675	2881033286	0.0388956543975174
8pcw_180	1	31495666	2881033286	0.0109320729312809
8pcw_181	1	-131610732	2881033286	-0.0456817811302441
8pcw_182	2	51394725	2881033286	0.0178389903545182
8pcw_183	2	405090622	2881033286	0.140606019364123
8pcw_184	2	81464615	2881033286	0.0282761797289419
8pcw_185	1	176695848	2881033286	0.0613307207725194
8pcw_186	2	26478846	2881033286	0.00919074629532066
8pcw_187	NA	NA	NA	NA
8pcw_188	1	0	2881033286	0
8pcw_189	2	116587759	2881033286	0.0404673418965837
8pcw_18	1	44940661	2881033286	0.0155987996453853
8pcw_190	1	-99	2881033286	-3.43626713655401e-08
8pcw_191	2	136269820	2881033286	0.0472989398151646
8pcw_192	1	203839	2881033286	7.07520461462659e-05
8pcw_193	4	94466257	2881033286	0.0327890196406429
8pcw_194	2	96987527	2881033286	0.0336641466349237
8pcw_195	1	0	2881033286	0
8pcw_196	1	-30298517	2881033286	-0.0105165452781235
8pcw_197	1	0	2881033286	0
8pcw_198	2	3855136	2881033286	0.00133810880239861
8pcw_199	2	39510184	2881033286	0.0137138936200406
8pcw_19	1	80735512	2881033286	0.0280231097614608
8pcw_1	1	78299328	2881033286	0.0271775159212791
8pcw_200	2	0	2881033286	0
8pcw_201	2	276547299	2881033286	0.0959889288137853
8pcw_202	1	27342861	2881033286	0.00949064390643073
8pcw_203	1	0	2881033286	0
8pcw_204	1	109231234	2881033286	0.0379139090585294
8pcw_205	2	109225193	2881033286	0.0379118122413807
8pcw_206	2	170380202	2881033286	0.0591385746315185
8pcw_207	2	0	2881033286	0
8pcw_208	1	-52272802	2881033286	-0.018143768853353
8pcw_209	1	56195256	2881033286	0.0195052435780848
8pcw_20	1	-7670618	2881033286	-0.00266245379297572
8pcw_210	2	74691442	2881033286	0.0259252270228717
8pcw_211	2	116293544	2881033286	0.0403652205495553
8pcw_212	2	21687829	2881033286	0.00752779535918211
8pcw_213	2	0	2881033286	0
8pcw_214	2	61763481	2881033286	0.0214379616161089
8pcw_215	1	0	2881033286	0
8pcw_216	3	63799526	2881033286	0.0221446681334872
8pcw_217	1	96466128	2881033286	0.0334831702461629
8pcw_218	1	60672864	2881033286	0.0210594109741223
8pcw_219	1	34577051	2881033286	0.0120016145485103
8pcw_21	1	27715412	2881033286	0.00961995549814692
8pcw_220	2	96189172	2881033286	0.0333870394581758
8pcw_221	1	57074727	2881033286	0.0198105059311002
8pcw_222	3	215853509	2881033286	0.0749222544733903
8pcw_223	2	170109756	2881033286	0.059044703449497
8pcw_224	1	145201955	2881033286	0.0503992632454438
8pcw_225	2	29599753	2881033286	0.0102740059074764
8pcw_226	1	-18405081	2881033286	-0.00638836110968834
8pcw_227	2	27819280	2881033286	0.00965600784107012
8pcw_228	1	0	2881033286	0
8pcw_229	1	0	2881033286	0
8pcw_22	2	0	2881033286	0
8pcw_230	2	92921182	2881033286	0.0322527276763994
8pcw_231	2	159373368	2881033286	0.0553181279697301
8pcw_232	2	77561204	2881033286	0.0269213147855314
8pcw_233	1	164381731	2881033286	0.0570565192005213
8pcw_234	1	0	2881033286	0
8pcw_235	2	67022045	2881033286	0.0232631970361761
8pcw_236	1	-58662971	2881033286	-0.0203617817555475
8pcw_237	1	0	2881033286	0
8pcw_238	1	100384540	2881033286	0.0348432420020294
8pcw_239	1	-43445398	2881033286	-0.015079797311304
8pcw_23	2	23156447	2881033286	0.00803754927529845
8pcw_240	2	99726161	2881033286	0.0346147201716155
8pcw_241	2	19618066	2881033286	0.00680938540187349
8pcw_242	2	44865545	2881033286	0.0155727270552611
8pcw_243	1	-53532047	2881033286	-0.0185808498847035
8pcw_244	1	131520299	2881033286	0.0456503920447936
8pcw_245	2	206510174	2881033286	0.0716792044727525
8pcw_246	1	209247669	2881033286	0.0726293826651748
8pcw_247	1	9060485	2881033286	0.00314487341886268
8pcw_248	2	40235731	2881033286	0.0139657293081341
8pcw_249	1	-118548558	2881033286	-0.041147930701138
8pcw_24	1	-57297191	2881033286	-0.0198877226717331
8pcw_250	1	-189894451	2881033286	-0.065911925392451
8pcw_251	1	50015035	2881033286	0.0173601031418281
8pcw_252	1	-46897481	2881033286	-0.0162780073482289
8pcw_253	1	195683889	2881033286	0.0679214259518972
8pcw_254	3	147365434	2881033286	0.0511502018099211
8pcw_255	2	27793785	2881033286	0.00964715858544926
8pcw_256	2	7662912	2881033286	0.00265977905817226
8pcw_257	2	71642712	2881033286	0.0248670198807276
8pcw_258	2	10891374	2881033286	0.00378037076243624
8pcw_259	1	184155699	2881033286	0.0639200178265486
8pcw_25	2	22507376	2881033286	0.00781225823018832
8pcw_260	1	53224120	2881033286	0.0184739691341421
8pcw_261	2	0	2881033286	0
8pcw_262	1	193222988	2881033286	0.0670672528980979
8pcw_263	2	137111858	2881033286	0.0475912092603292
8pcw_264	1	190268695	2881033286	0.0660418246205573
8pcw_265	2	169239435	2881033286	0.0587426170403503
8pcw_266	1	-97928926	2881033286	-0.0339909040537201
8pcw_267	1	-172772944	2881033286	-0.0599690898538268
8pcw_268	1	18459651	2881033286	0.00640730223066225
8pcw_269	2	180064521	2881033286	0.0624999793910746
8pcw_26	2	56809712	2881033286	0.0197185198366361
8pcw_270	2	76416743	2881033286	0.0265240750154943
8pcw_271	2	4420609	2881033286	0.00153438317477322
8pcw_272	1	27252507	2881033286	0.00945928224169778
8pcw_273	3	208278354	2881033286	0.0722929356672487
8pcw_274	4	0	2881033286	0
8pcw_275	1	0	2881033286	0
8pcw_276	1	0	2881033286	0
8pcw_277	2	0	2881033286	0
8pcw_279	1	-3426420	2881033286	-0.00118930246889206
8pcw_27	1	130128895	2881033286	0.0451674389297563
8pcw_280	1	99995311	2881033286	0.03470814151503
8pcw_281	1	0	2881033286	0
8pcw_282	1	0	2881033286	0
8pcw_283	1	0	2881033286	0
8pcw_284	1	0	2881033286	0
8pcw_285	1	119717205	2881033286	0.0415535653759191
8pcw_286	1	0	2881033286	0
8pcw_287	1	0	2881033286	0
8pcw_288	1	0	2881033286	0
8pcw_289	1	0	2881033286	0
8pcw_28	1	12150649	2881033286	0.00421746220671745
8pcw_290	1	0	2881033286	0
8pcw_291	1	0	2881033286	0
8pcw_292	1	0	2881033286	0
8pcw_293	2	0	2881033286	0
