sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
AX001_4_01_100	0.628885011596731	0.491060786650775	0.456719806915431	0.525464760920482	412	839	1
AX001_4_01_101	0.42910333388804	0.514184397163121	0.479915041838716	0.548354629518018	435	846	1
AX001_4_01_102	0.469640691822283	0.513725490196078	0.477659262308271	0.549685543559188	393	765	1
AX001_4_01_103	0.915221397946878	0.497481108312343	0.462138203555644	0.532842779513131	395	794	1
AX001_4_01_104	0.231565176888121	0.519326065411298	0.487984161470957	0.550554914002401	524	1009	1
AX001_4_01_105	0.0208430160975932	0.543010752688172	0.506433436852797	0.579245843747298	404	744	1
AX001_4_01_106	0.315867415760974	0.482057416267943	0.447702251238757	0.516539481896987	403	836	1
AX001_4_01_107	0.299754820969609	0.518518518518518	0.484056776357561	0.552849444566421	434	837	1
AX001_4_01_108	0.599983756080055	0.509779951100245	0.474928429593941	0.544560766993463	417	818	1
AX001_4_01_109	0.339406071206028	0.516880093131548	0.482871420007867	0.550772606747869	444	859	1
AX001_4_01_10	0.210048800401521	0.477575757575758	0.443017826744571	0.512294422137498	394	825	1
AX001_4_01_110	0.264109278288392	0.518878101402373	0.486158307439002	0.551477600507128	481	927	1
AX001_4_01_111	0.395596622783215	0.515011547344111	0.481145203579864	0.548775432961792	446	866	1
AX001_4_01_112	0.690297613308492	0.507874015748031	0.471749477457294	0.543937402221042	387	762	1
AX001_4_01_113	0.473343373799728	0.516014234875445	0.473816514647465	0.558042788521295	290	562	1
AX001_4_01_114	0.793072708618018	0.493307839388145	0.449646325332588	0.537045377423952	258	523	1
AX001_4_01_115	0.164717451260735	0.477035490605428	0.444997437115828	0.509215101934131	457	958	1
AX001_4_01_116	0.754475796908049	0.493961352657005	0.459376642171409	0.528589188070622	409	828	1
AX001_4_01_117	0.683120133866228	0.508264462809917	0.471239777030503	0.545221749457068	369	726	1
AX001_4_01_118	0.812423490361492	0.504597701149425	0.470832360477638	0.538331807087022	439	870	1
AX001_4_01_119	0.717467848579677	0.506493506493506	0.473739182440732	0.539206317672603	468	924	1
AX001_4_01_11	0.920263280231835	0.497772828507795	0.46456709469876	0.530993216639681	447	898	1
AX001_4_01_120	0.112238237386552	0.527397260273973	0.493720730641247	0.560888945869579	462	876	1
AX001_4_01_121	0.60275240471853	0.508994708994709	0.476606244884987	0.541326959308531	481	945	1
AX001_4_01_122	0.512438358890337	0.487417218543046	0.451209997290845	0.523723076629994	368	755	1
AX001_4_01_123	0.895597987853902	0.497308934337998	0.464671103568904	0.529963875582578	462	929	1
AX001_4_01_124	0.678480613625717	0.508522727272727	0.47091387951679	0.546059875452587	358	704	1
AX001_4_01_125	0.864630682927136	0.496511627906977	0.462574864999922	0.530472367406536	427	860	1
AX001_4_01_126	0.11208872453793	0.469241773962804	0.431727480364908	0.507016709697178	328	699	1
AX001_4_01_127	0.910742251659374	0.497206703910615	0.459961513479627	0.534474995795428	356	716	1
AX001_4_01_128	0.508481158166761	0.487179487179487	0.450628563109327	0.523832829433664	361	741	1
AX001_4_01_129	0.275710331942545	0.523725834797891	0.481778163930343	0.565425990200541	298	569	1
AX001_4_01_12	0.720915177279515	0.493670886075949	0.461379593208226	0.526001607329406	468	948	1
AX001_4_01_130	0.588732748736967	0.512110726643599	0.470523091383199	0.553574010233869	296	578	1
AX001_4_01_131	0.757821575796611	0.493313521545319	0.454898896886864	0.5317870158851	332	673	1
AX001_4_01_132	0.46357700014919	0.48424543946932	0.443689499477986	0.524956369072992	292	603	1
AX001_4_01_133	0.366170310077635	0.52037037037037	0.477294896258179	0.563221794491466	281	540	1
AX001_4_01_134	0.0541577793561049	0.46141975308642	0.422516877687996	0.500675568686182	299	648	1
AX001_4_01_135	0.421394926970327	0.514029180695847	0.480650129043513	0.547315190563079	458	891	1
AX001_4_01_136	0.592798272724322	0.509497206703911	0.476201969253463	0.542729742890094	456	895	1
AX001_4_01_137	0.25258306156349	0.524207011686144	0.483343015029552	0.564831253931654	314	599	1
