sample_name	rl20	genome_span	genome_size	fraction_span
AX001_4_01_100	5	505893778	2881033286	0.175594562012985
AX001_4_01_101	5	400495898	2881033286	0.139011201274958
AX001_4_01_102	4	435982944	2881033286	0.15132867298639
AX001_4_01_103	4	424503923	2881033286	0.147344331307389
AX001_4_01_104	4	490319220	2881033286	0.170188668899676
AX001_4_01_105	4	371015868	2881033286	0.128778750944289
AX001_4_01_106	5	427845234	2881033286	0.148504092638935
AX001_4_01_107	4	484743043	2881033286	0.168253190740817
AX001_4_01_108	4	372321078	2881033286	0.129231786320986
AX001_4_01_109	4	441888806	2881033286	0.153378584047363
AX001_4_01_10	4	593838501	2881033286	0.206119972263312
AX001_4_01_110	4	533547135	2881033286	0.185192978363944
AX001_4_01_111	4	482997451	2881033286	0.167647299788955
AX001_4_01_112	4	545685063	2881033286	0.18940602514094
AX001_4_01_113	4	457957277	2881033286	0.158955913222309
AX001_4_01_114	4	425834403	2881033286	0.147806137842727
AX001_4_01_115	5	465023495	2881033286	0.16140858117111
AX001_4_01_116	4	497278304	2881033286	0.172604150884496
AX001_4_01_117	4	559554592	2881033286	0.194220106626009
AX001_4_01_118	4	461459915	2881033286	0.16017167078298
AX001_4_01_119	4	552569025	2881033286	0.191795432453049
AX001_4_01_11	4	435899659	2881033286	0.151299764955232
AX001_4_01_120	4	486254532	2881033286	0.168777825082025
AX001_4_01_121	4	458854879	2881033286	0.159267468803552
AX001_4_01_122	4	485046870	2881033286	0.168358648390847
AX001_4_01_123	4	476404453	2881033286	0.165358885409282
AX001_4_01_124	4	425005262	2881033286	0.147518344916477
AX001_4_01_125	4	464986970	2881033286	0.161395903427962
AX001_4_01_126	4	427279643	2881033286	0.148307777309033
AX001_4_01_127	4	420154917	2881033286	0.145834801368553
AX001_4_01_128	5	483910813	2881033286	0.167964325629801
AX001_4_01_129	5	481528289	2881033286	0.167137357051695
AX001_4_01_12	4	502866978	2881033286	0.174543966723195
AX001_4_01_130	4	533573504	2881033286	0.185202130982946
AX001_4_01_131	4	387500356	2881033286	0.13450047865917
AX001_4_01_132	4	554773898	2881033286	0.19256073877933
AX001_4_01_133	4	443566127	2881033286	0.153960778292792
AX001_4_01_134	5	444231994	2881033286	0.154191899190713
AX001_4_01_135	4	374427933	2881033286	0.129963070825833
AX001_4_01_136	4	513499983	2881033286	0.178234658202418
AX001_4_01_137	4	506587597	2881033286	0.175835384985552
AX001_4_01_138	5	586360251	2881033286	0.203524288958875
AX001_4_01_139	4	433739241	2881033286	0.150549888856786
AX001_4_01_13	4	539914974	2881033286	0.187403240574708
AX001_4_01_140	4	407833348	2881033286	0.141558013224565
AX001_4_01_141	4	412962373	2881033286	0.143338285956895
AX001_4_01_142	4	393003085	2881033286	0.136410463186853
AX001_4_01_143	4	486671634	2881033286	0.168922600222953
AX001_4_01_144	4	425098406	2881033286	0.147550674983767
AX001_4_01_145	4	469711667	2881033286	0.163035834845263
AX001_4_01_146	5	493433291	2881033286	0.171269555752019
AX001_4_01_147	5	495463082	2881033286	0.171974091520441
AX001_4_01_148	4	478729824	2881033286	0.166166016313079
AX001_4_01_149	4	422957104	2881033286	0.146807434004773
AX001_4_01_14	4	491312640	2881033286	0.170533482687433
AX001_4_01_150	4	387012397	2881033286	0.134331109217181
AX001_4_01_151	4	514863462	2881033286	0.178707918614447
AX001_4_01_152	4	445378189	2881033286	0.154589740828145
AX001_4_01_153	4	374446025	2881033286	0.129969350517251
AX001_4_01_154	4	500690061	2881033286	0.173788363859952
AX001_4_01_155	4	476962371	2881033286	0.165552537458604
AX001_4_01_156	5	534079827	2881033286	0.185377874526924
AX001_4_01_157	4	507023289	2881033286	0.175986612672548
AX001_4_01_158	4	469105251	2881033286	0.162825349252143
AX001_4_01_159	4	449358008	2881033286	0.155971126811896
AX001_4_01_15	4	428165735	2881033286	0.148615337795858
AX001_4_01_160	4	463831899	2881033286	0.160994980951428
AX001_4_01_161	5	474081739	2881033286	0.164552676744048
AX001_4_01_162	4	495910923	2881033286	0.172129536097279
AX001_4_01_163	4	501040378	2881033286	0.173909958081616
AX001_4_01_164	4	431712215	2881033286	0.149846312813479
AX001_4_01_165	4	300505915	2881033286	0.104304909096423
AX001_4_01_166	5	486355125	2881033286	0.168812740680012
AX001_4_01_167	4	561513812	2881033286	0.19490014736331
AX001_4_01_168	4	576902396	2881033286	0.200241489330714
AX001_4_01_169	4	415957628	2881033286	0.144377932050036
AX001_4_01_16	4	523069137	2881033286	0.181556089456441
AX001_4_01_170	4	516061047	2881033286	0.179123597602197
AX001_4_01_171	5	418678308	2881033286	0.145322273794792
AX001_4_01_172	4	341429671	2881033286	0.118509450293106
AX001_4_01_173	4	283592880	2881033286	0.0984344337075459
AX001_4_01_174	4	391288138	2881033286	0.135815209043718
AX001_4_01_175	5	500757884	2881033286	0.173811905066619
AX001_4_01_176	4	468669253	2881033286	0.162674015353254
AX001_4_01_177	4	405386404	2881033286	0.140708684613233
AX001_4_01_178	4	516221477	2881033286	0.179179282484694
AX001_4_01_179	5	528785661	2881033286	0.183540281734878
AX001_4_01_17	4	439078208	2881033286	0.152403031972467
AX001_4_01_180	4	454727028	2881033286	0.157834701254472
AX001_4_01_181	4	428317980	2881033286	0.148668181683757
AX001_4_01_182	4	485832646	2881033286	0.168631389425745
AX001_4_01_183	4	437886651	2881033286	0.151989445289595
AX001_4_01_184	4	420807817	2881033286	0.14606142145072
AX001_4_01_185	4	413363645	2881033286	0.143477566541381
AX001_4_01_186	4	481233142	2881033286	0.167034912209619
AX001_4_01_187	5	436201828	2881033286	0.151404647117291
AX001_4_01_188	5	504618996	2881033286	0.175152088124816
AX001_4_01_189	4	527400084	2881033286	0.183059351158083
AX001_4_01_18	4	459854394	2881033286	0.159614398151733
AX001_4_01_190	4	448711362	2881033286	0.155746677478686
AX001_4_01_191	4	524858698	2881033286	0.182177241946659
AX001_4_01_192	4	448302211	2881033286	0.155604662111495
AX001_4_01_193	5	448368539	2881033286	0.155627684407114
AX001_4_01_194	4	294510403	2881033286	0.102223880727493
AX001_4_01_195	5	458873027	2881033286	0.15927376793244
AX001_4_01_196	4	454588587	2881033286	0.157786648703093
AX001_4_01_197	4	470246050	2881033286	0.163221317950438
AX001_4_01_198	4	441980418	2881033286	0.15341038236099
AX001_4_01_199	4	434650916	2881033286	0.150866329143828
AX001_4_01_19	4	376533991	2881033286	0.13069407869382
AX001_4_01_1	4	426036957	2881033286	0.147876443868341
AX001_4_01_200	5	434023286	2881033286	0.150648480220301
AX001_4_01_201	4	533302180	2881033286	0.185107955049152
AX001_4_01_202	4	409912550	2881033286	0.142279699436975
AX001_4_01_203	4	495937353	2881033286	0.172138709889241
AX001_4_01_204	4	408535564	2881033286	0.14180175077644
AX001_4_01_205	4	428703047	2881033286	0.148801837550168
AX001_4_01_206	5	472182136	2881033286	0.163893328929765
AX001_4_01_207	4	517348716	2881033286	0.179570544538304
AX001_4_01_208	4	501560225	2881033286	0.174090395774761
AX001_4_01_209	4	500201579	2881033286	0.173618812885871
AX001_4_01_20	4	517590161	2881033286	0.179654349540202
AX001_4_01_210	4	472520751	2881033286	0.164010861414254
AX001_4_01_211	4	498856735	2881033286	0.173152020639306
AX001_4_01_212	4	449313435	2881033286	0.155955655626535
AX001_4_01_213	4	257032367	2881033286	0.0892153409851301
AX001_4_01_214	4	488067495	2881033286	0.169407100352398
AX001_4_01_215	4	538999867	2881033286	0.187085609048392
AX001_4_01_216	5	450039265	2881033286	0.156207589543275
AX001_4_01_217	4	424554157	2881033286	0.147361767412777
AX001_4_01_218	5	508275613	2881033286	0.176421291440782
AX001_4_01_219	5	509766353	2881033286	0.176938723852009
AX001_4_01_21	4	570144632	2881033286	0.197895885052957
AX001_4_01_220	4	486583509	2881033286	0.168892012238973
AX001_4_01_221	4	399552108	2881033286	0.138683613945584
AX001_4_01_222	5	412621249	2881033286	0.1432198826043
AX001_4_01_223	4	465387174	2881033286	0.161534813312115
AX001_4_01_224	4	403127687	2881033286	0.139924689158902
AX001_4_01_225	5	539062994	2881033286	0.187107520284304
AX001_4_01_226	4	462887940	2881033286	0.160667334962544
AX001_4_01_227	4	493999717	2881033286	0.171466160908493
AX001_4_01_228	4	518592248	2881033286	0.180002171623643
AX001_4_01_229	5	412991278	2881033286	0.14334831881564
AX001_4_01_22	4	482318412	2881033286	0.167411606920254
AX001_4_01_230	4	469415204	2881033286	0.162932933222626
AX001_4_01_231	4	493026262	2881033286	0.171128276926128
AX001_4_01_232	4	399042856	2881033286	0.13850685375247
AX001_4_01_233	4	477029652	2881033286	0.165575890538323
AX001_4_01_234	4	407621870	2881033286	0.141484609699161
AX001_4_01_235	4	285500351	2881033286	0.099096512486458
AX001_4_01_236	4	573472231	2881033286	0.19905088698097
AX001_4_01_237	4	472997705	2881033286	0.164176411046158
AX001_4_01_238	4	452981178	2881033286	0.157228720751406
AX001_4_01_239	4	515675299	2881033286	0.178989705362259
AX001_4_01_23	4	441961397	2881033286	0.153403780215818
AX001_4_01_240	4	481314424	2881033286	0.167063125004103
AX001_4_01_241	4	525363059	2881033286	0.182352304484968
AX001_4_01_242	4	446854783	2881033286	0.155102263195442
AX001_4_01_243	4	409930380	2881033286	0.142285888188798
AX001_4_01_244	4	528351583	2881033286	0.183389614263554
AX001_4_01_245	4	550376599	2881033286	0.191034446451723
AX001_4_01_246	4	387818977	2881033286	0.134611071272434
AX001_4_01_247	3	422652434	2881033286	0.14670168375139
AX001_4_01_248	5	450240585	2881033286	0.156277467250338
AX001_4_01_249	4	372603398	2881033286	0.129329778940985
AX001_4_01_24	4	458883499	2881033286	0.159277402739456
AX001_4_01_250	4	431945343	2881033286	0.149927231003884
AX001_4_01_251	4	459276135	2881033286	0.159413685788287
AX001_4_01_252	4	505421361	2881033286	0.175430587163303
AX001_4_01_253	4	454450286	2881033286	0.157738644745391
AX001_4_01_254	4	477986530	2881033286	0.165908020682271
AX001_4_01_255	5	461205387	2881033286	0.160083324701997
AX001_4_01_256	4	407795722	2881033286	0.14154495332686
AX001_4_01_257	4	498167629	2881033286	0.172912833538154
AX001_4_01_258	4	521110372	2881033286	0.180876206648589
AX001_4_01_259	4	402620759	2881033286	0.139748735620821
AX001_4_01_25	5	490210041	2881033286	0.170150773120918
AX001_4_01_260	4	489765861	2881033286	0.169996599268725
AX001_4_01_261	5	363015535	2881033286	0.12600185383627
AX001_4_01_262	4	486384989	2881033286	0.168823106405443
AX001_4_01_263	4	518725011	2881033286	0.180048253354335
