sample_name	p.value	sd	nr_total_runs	fdr
AX001_4_01_100	0.67560595761106	14.6675748905242	426	0.947497773913582
AX001_4_01_101	0.341868638050818	14.7390812810028	450	0.914149894600972
AX001_4_01_102	0.449690866678023	14.0318423489195	406	0.914149894600972
AX001_4_01_103	0.834928287448434	14.2908253682265	407	0.974998486165626
AX001_4_01_104	0.177058415920775	16.0569316356524	539	0.914149894600972
AX001_4_01_105	0.0140751480641188	13.8473706549207	419	0.890010573072906
AX001_4_01_106	0.307843184378891	14.6523572630507	416	0.914149894600972
AX001_4_01_107	0.121396444676346	14.5264496225277	450	0.914149894600972
AX001_4_01_108	0.534693442672418	14.4999078426256	431	0.916617330295573
AX001_4_01_109	0.60153866926936	14.8408244508269	450	0.929816007449422
AX001_4_01_10	0.306023599534028	14.503400748119	409	0.914149894600972
AX001_4_01_110	0.381013048138038	15.4110094114578	490	0.914149894600972
AX001_4_01_111	0.313136895438595	14.906836189586	461	0.914149894600972
AX001_4_01_112	0.697988438794841	13.9935660806189	399	0.952699458840115
AX001_4_01_113	0.257266785123127	12.0657115662066	307	0.914149894600972
AX001_4_01_114	0.765033352895415	11.6829497798053	271	0.971146148346965
AX001_4_01_115	0.0852479965940133	15.6588259874027	465	0.914149894600972
AX001_4_01_116	0.575445602300933	14.5568929458985	418	0.921352357949462
AX001_4_01_117	0.791567787031549	13.6706571056985	379	0.974065049102388
AX001_4_01_118	0.923227980957715	14.9268702881209	449	0.99160229561517
AX001_4_01_119	0.528527101627613	15.3644617571432	484	0.914149894600972
AX001_4_01_11	0.803027324752885	15.1668342084474	458	0.974893747503186
AX001_4_01_120	0.0934228775348327	14.9869116962314	476	0.914149894600972
AX001_4_01_121	0.507837895044174	15.5311154890466	495	0.914149894600972
AX001_4_01_122	0.453700879782193	13.9444502368154	380	0.914149894600972
AX001_4_01_123	0.964342368468484	15.4211015555954	478	1
AX001_4_01_124	0.871721694030381	13.4749350450424	367	0.976464487851545
AX001_4_01_125	0.59037430033412	14.8575722928293	435	0.926390792850086
AX001_4_01_126	0.0809392866099357	13.4329312321685	339	0.914149894600972
AX001_4_01_127	0.802620510321906	13.5698951358043	367	0.974893747503186
AX001_4_01_128	0.407446484194868	13.8183477763061	372	0.914149894600972
AX001_4_01_129	0.292066607218456	12.152997561107	310	0.914149894600972
AX001_4_01_12	0.833199192289869	15.5248952897635	482	0.974998486165626
AX001_4_01_130	0.502554894663689	12.2489605544806	310	0.914149894600972
AX001_4_01_131	0.833608493039855	13.172583634921	346	0.974998486165626
AX001_4_01_132	0.24777314560001	12.4663466168231	299	0.914149894600972
AX001_4_01_133	0.447900885894907	11.8636423527225	292	0.914149894600972
AX001_4_01_134	0.0639098613666001	12.9517045690706	313	0.914149894600972
AX001_4_01_135	0.345110513467158	15.0914628627327	472	0.914149894600972
AX001_4_01_136	0.78298658210474	15.1272511131279	464	0.971146148346965
AX001_4_01_137	0.184992947280181	12.392683387873	327	0.914149894600972
AX001_4_01_138	0.0927940252368372	14.2551879103195	384	0.914149894600972
AX001_4_01_139	0.838722097435116	14.446103151725	416	0.974998486165626
AX001_4_01_13	0.0227150881680778	15.1318541592322	425	0.914149894600972
AX001_4_01_140	0.52905954016267	14.3940773183112	425	0.914149894600972
AX001_4_01_141	0.0483808492665954	14.2846665344107	438	0.914149894600972
AX001_4_01_142	0.366467786943245	13.7510741855432	395	0.914149894600972
AX001_4_01_143	0.379618849144764	15.5354540675785	498	0.914149894600972
AX001_4_01_144	0.577221587608019	14.4324681264958	411	0.921352357949462
AX001_4_01_145	0.0373109201119046	14.1592415741907	373	0.914149894600972
AX001_4_01_146	0.36343594945448	15.7091325284962	481	0.914149894600972
AX001_4_01_147	0.0031421035366042	14.0338289602787	354	0.448122361227786
AX001_4_01_148	0.606808584216348	14.7615355359073	445	0.929816007449422
AX001_4_01_149	0.331404530982322	14.997752485564	466	0.914149894600972
AX001_4_01_14	0.197818649532088	14.3699080031194	433	0.914149894600972
AX001_4_01_150	0.740870082970192	14.5495112169906	430	0.961128756285654
AX001_4_01_151	0.748367725601389	14.1233503307776	405	0.968238566815813
AX001_4_01_152	0.921146760440342	13.0559320419763	344	0.99160229561517
AX001_4_01_153	0.0926929842306594	11.3641802941604	280	0.914149894600972
AX001_4_01_154	0.526345544253576	15.5293995600528	495	0.914149894600972
AX001_4_01_155	0.918387524874111	14.7728236041693	440	0.99160229561517
AX001_4_01_156	0.149042628250098	14.9436419433859	427	0.914149894600972
AX001_4_01_157	0.908885027110449	13.8443383177147	387	0.989262614541986
AX001_4_01_158	0.531349626236815	14.412774372254	426	0.914149894600972
AX001_4_01_159	0.970799990735068	13.8200503062478	384	1
AX001_4_01_15	0.155576680810597	14.4393320847287	439	0.914149894600972
AX001_4_01_160	0.281061823469871	14.1933187245465	420	0.914149894600972
AX001_4_01_161	0.303329565373911	14.5151805327091	408	0.914149894600972
AX001_4_01_162	0.0517135420895168	13.8547705156556	359	0.914149894600972
AX001_4_01_163	0.619960057235278	16.1475105675103	531	0.929816007449422
AX001_4_01_164	0.254863700708572	14.8035246338034	457	0.914149894600972
AX001_4_01_165	0.259238374898647	12.0580187164058	306	0.914149894600972
AX001_4_01_166	0.0812468867426246	14.2885158055461	385	0.914149894600972
AX001_4_01_167	0.367946140278761	14.3722039082992	428	0.914149894600972
AX001_4_01_168	0.627540062815969	11.414381181016	257	0.929816007449422
AX001_4_01_169	0.138957311923589	11.7820285643896	297	0.914149894600972
AX001_4_01_16	0.643831550006646	14.2420037620738	401	0.933812153062738
AX001_4_01_170	0.59057413044193	14.9073637684925	454	0.926390792850086
AX001_4_01_171	0.00137085549771075	7.30649977532036	85	0.448122361227786
AX001_4_01_172	0.407234387967829	6.63292957387891	84	0.914149894600972
AX001_4_01_173	0.36299779870837	15.0991732462468	444	0.914149894600972
AX001_4_01_174	0.878766149417378	12.5964677461632	317	0.976464487851545
AX001_4_01_175	0.0238212288948372	14.8878138862731	412	0.914149894600972
AX001_4_01_176	0.466969948040295	15.0736379649271	445	0.914149894600972
AX001_4_01_177	0.0266362809508698	12.9531844086894	366	0.914149894600972
AX001_4_01_178	0.821796353984969	14.7790754342538	442	0.974998486165626
AX001_4_01_179	0.448225760153893	16.4771244450843	532	0.914149894600972
AX001_4_01_17	0.928341360889131	13.6004997744312	371	0.99160229561517
AX001_4_01_180	0.126821828392397	16.0467838620619	492	0.914149894600972
AX001_4_01_181	0.574162101673282	13.8020954870868	392	0.921352357949462
