sample_name	rl20	genome_span	genome_size	fraction_span
CB002_2_01_100	2	199262623	2881033286	0.0691635962584293
CB002_2_01_101	2	-42249514	2881033286	-0.0146647087367251
CB002_2_01_102	3	311010625	2881033286	0.107951069677437
CB002_2_01_103	2	86432614	2881033286	0.0300005607085513
CB002_2_01_104	2	437670029	2881033286	0.151914256293671
CB002_2_01_105	1	108730670	2881033286	0.0377401644501514
CB002_2_01_106	2	186471366	2881033286	0.064723780494357
CB002_2_01_107	2	437176963	2881033286	0.151743114223776
CB002_2_01_108	2	418766968	2881033286	0.145353047476037
CB002_2_01_109	2	85276628	2881033286	0.0295993206376304
CB002_2_01_10	2	14926223	2881033286	0.00518085753209864
CB002_2_01_110	2	231934155	2881033286	0.0805038095627195
CB002_2_01_111	4	235281454	2881033286	0.0816656493152367
CB002_2_01_112	2	75158605	2881033286	0.0260873782212872
CB002_2_01_113	3	105831624	2881033286	0.0367339122787212
CB002_2_01_114	2	197406683	2881033286	0.0685194037706095
CB002_2_01_115	1	98630102	2881033286	0.0342342806239969
CB002_2_01_116	2	190121214	2881033286	0.0659906343060557
CB002_2_01_117	3	223444317	2881033286	0.0775570063996824
CB002_2_01_118	2	279927232	2881033286	0.0971620957523363
CB002_2_01_119	2	166353748	2881033286	0.0577410017469684
CB002_2_01_11	2	326221320	2881033286	0.113230666783764
CB002_2_01_120	1	156173296	2881033286	0.0542073903689011
CB002_2_01_121	2	31341413	2881033286	0.0108785320712188
CB002_2_01_122	2	54806088	2881033286	0.0190230665734835
CB002_2_01_123	2	192538564	2881033286	0.0668296909083334
CB002_2_01_124	2	97804281	2881033286	0.0339476400620801
CB002_2_01_125	2	101376864	2881033286	0.0351876753707177
CB002_2_01_126	2	155721097	2881033286	0.0540504331403271
CB002_2_01_127	2	142569608	2881033286	0.0494855816809886
CB002_2_01_128	2	88834177	2881033286	0.0308341376795881
CB002_2_01_129	2	175247136	2881033286	0.0608278761830314
CB002_2_01_12	2	265360562	2881033286	0.0921060382361719
CB002_2_01_130	2	131104748	2881033286	0.0455061552523833
CB002_2_01_131	2	187858623	2881033286	0.0652052941952716
CB002_2_01_132	2	331906159	2881033286	0.115203861271876
CB002_2_01_133	2	182197373	2881033286	0.0632402873945831
CB002_2_01_134	2	246746643	2881033286	0.0856451899389822
CB002_2_01_135	2	176907879	2881033286	0.0614043162429467
CB002_2_01_136	3	202607550	2881033286	0.0703246126952245
CB002_2_01_137	2	283550522	2881033286	0.0984197313435691
CB002_2_01_138	2	262294573	2881033286	0.0910418405349864
CB002_2_01_139	3	187380519	2881033286	0.0650393454010236
CB002_2_01_13	2	316298853	2881033286	0.109786601403397
CB002_2_01_140	2	238755827	2881033286	0.0828715961596842
CB002_2_01_141	2	16858538	2881033286	0.00585155960603504
CB002_2_01_142	2	167631693	2881033286	0.0581845735051324
CB002_2_01_143	2	76248099	2881033286	0.0264655390725673
CB002_2_01_144	1	306092624	2881033286	0.10624404288816
CB002_2_01_145	2	185090901	2881033286	0.0642446242809567
CB002_2_01_146	3	191996572	2881033286	0.0666415667368308
CB002_2_01_147	2	96073175	2881033286	0.0333467771673638
CB002_2_01_148	2	-7200394	2881033286	-0.00249924012852936
CB002_2_01_149	3	164324829	2881033286	0.057036768647733
CB002_2_01_14	3	159803702	2881033286	0.0554674959073
CB002_2_01_150	3	229738237	2881033286	0.0797416114962581
CB002_2_01_151	2	121986847	2881033286	0.0423413528725194
CB002_2_01_152	2	86585502	2881033286	0.0300536277802658
CB002_2_01_153	2	254681560	2881033286	0.0883993813044755
CB002_2_01_154	3	229211592	2881033286	0.0795588142330126
CB002_2_01_155	3	216133345	2881033286	0.0750193849027262
CB002_2_01_156	3	111397504	2881033286	0.038665816372661
CB002_2_01_157	2	208691118	2881033286	0.0724362050983954
CB002_2_01_158	2	97327647	2881033286	0.0337822015014373
CB002_2_01_159	2	196679315	2881033286	0.0682669360176216
CB002_2_01_15	3	137580075	2881033286	0.0477537262997106
CB002_2_01_160	2	122872559	2881033286	0.0426487814622215
CB002_2_01_161	2	41045603	2881033286	0.0142468340089841
CB002_2_01_162	2	99997355	2881033286	0.0347088509827095
CB002_2_01_163	3	297673053	2881033286	0.103321629238545
CB002_2_01_164	1	-32210404	2881033286	-0.0111801568404371
CB002_2_01_165	2	313745828	2881033286	0.108900452321952
CB002_2_01_166	2	122973027	2881033286	0.0426836536729968
CB002_2_01_167	2	211137854	2881033286	0.0732854615134079
CB002_2_01_168	3	120565832	2881033286	0.0418481218477668
CB002_2_01_169	3	142367119	2881033286	0.0494152982167246
CB002_2_01_16	6	103507060	2881033286	0.03592706148276
