sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
KX001_4_01_100	0.433355637805347	0.479616306954436	0.430759921274285	0.528763890808592	200	417	1
KX001_4_01_101	0.46322814351787	0.477707006369427	0.421305107748546	0.534533365045825	150	314	1
KX001_4_01_102	0.30894960067363	0.469648562300319	0.413278849479861	0.526598056578288	147	313	1
KX001_4_01_103	0.875420169283074	0.494535519125683	0.442172295652827	0.546987826077898	181	366	1
KX001_4_01_104	1	0.501291989664083	0.450340038031279	0.552224035719039	194	387	1
KX001_4_01_105	0.233462064258559	0.466275659824047	0.412356006472702	0.520785978158527	159	341	1
KX001_4_01_106	0.576813550987145	0.482866043613707	0.427022252424693	0.539028855741924	155	321	1
KX001_4_01_107	0.264509627380981	0.53448275862069	0.475248744258916	0.593005097047308	155	290	1
KX001_4_01_108	0.506014418231881	0.481675392670157	0.430571173905407	0.533065684737545	184	382	1
KX001_4_01_109	0.252062513197111	0.531165311653117	0.478818609486607	0.583008099230099	196	369	1
KX001_4_01_10	0.571985135782706	0.482428115015974	0.425868945715599	0.539322932637116	151	313	1
KX001_4_01_110	0.810790822396576	0.491039426523298	0.430955116248681	0.551316046097616	137	279	1
KX001_4_01_111	0.490877864407613	0.519662921348315	0.466382111475944	0.572614053589915	185	356	1
KX001_4_01_112	0.440441872896209	0.521164021164021	0.469485490319035	0.572508608961734	197	378	1
KX001_4_01_113	0.911686273701223	0.504615384615385	0.448892765218444	0.560253142096933	164	325	1
KX001_4_01_114	0.331981340346891	0.475294117647059	0.426955488039771	0.523978972744108	202	425	1
KX001_4_01_115	0.911686273701223	0.495384615384615	0.439746857903067	0.551107234781556	161	325	1
KX001_4_01_116	0.0801457765765244	0.547752808988764	0.494432319356558	0.600272550814777	195	356	1
KX001_4_01_117	0.600739978718571	0.515068493150685	0.462484549275313	0.567406101585202	188	365	1
KX001_4_01_118	0.959519639630743	0.497422680412371	0.44656789239934	0.548317073383908	193	388	1
KX001_4_01_119	0.823916016487361	0.507739938080495	0.451816814044587	0.563519856754468	164	323	1
KX001_4_01_11	0.190210975478473	0.531728665207877	0.484806364758002	0.578237805140038	243	457	1
KX001_4_01_120	0.130449919030397	0.542274052478134	0.487920862952143	0.595891172812587	186	343	1
KX001_4_01_121	0.75087431149694	0.490196078431373	0.437207993380386	0.54334807111735	175	357	1
KX001_4_01_122	0.910017209359109	0.495207667731629	0.43849502311048	0.552011850947055	155	313	1
KX001_4_01_123	0.346441209071299	0.52760736196319	0.471841156558889	0.582867508869061	172	326	1
KX001_4_01_124	0.245557071317386	0.467966573816156	0.415409323463177	0.52105638940991	168	359	1
KX001_4_01_125	0.921807986294565	0.496385542168675	0.447250900281847	0.545572070183142	206	415	1
KX001_4_01_126	0.146614323486414	0.542056074766355	0.485821654445842	0.597507362234966	174	321	1
KX001_4_01_127	0.00514555133462595	0.425	0.37334810631521	0.477895671408425	153	360	0.842155235100447
KX001_4_01_128	0.744714316786372	0.508658008658009	0.462059918853086	0.555144597211421	235	462	1
KX001_4_01_129	1	0.5	0.442388227081566	0.557611772918434	152	304	1
KX001_4_01_12	1	0.497854077253219	0.431894491355025	0.563868947761835	116	233	1
KX001_4_01_130	0.157811393656966	0.460176991150442	0.406197556515886	0.514858095605202	156	339	1
KX001_4_01_131	0.458857937560405	0.480487804878049	0.431200036301594	0.530059138214481	197	410	1
KX001_4_01_132	0.594678057148872	0.482517482517482	0.423301920617608	0.542098949846261	138	286	1
KX001_4_01_133	0.633269582544859	0.483985765124555	0.424215254792809	0.544097493801326	136	281	1
KX001_4_01_134	0.0229158817466468	0.43854748603352	0.38644545663774	0.491674262296059	157	358	0.925754708290756
KX001_4_01_135	0.651131419978932	0.512626262626263	0.46219767892475	0.562864787610633	203	396	1
