sample_name	rl20	genome_span	genome_size	fraction_span
KX004_5_01_1000	1	0	2881033286	0
KX004_5_01_1001	2	119721316	2881033286	0.041554992294525
KX004_5_01_1002	4	418922517	2881033286	0.145407038174706
KX004_5_01_1003	1	-11655223	2881033286	-0.00404550098627358
KX004_5_01_1004	1	0	2881033286	0
KX004_5_01_1005	2	0	2881033286	0
KX004_5_01_1006	1	0	2881033286	0
KX004_5_01_1007	4	437722639	2881033286	0.151932517103171
KX004_5_01_1008	3	369684669	2881033286	0.128316694845712
KX004_5_01_1009	2	112834845	2881033286	0.0391647141143096
KX004_5_01_100	4	524310895	2881033286	0.181987100790477
KX004_5_01_1010	2	47448244	2881033286	0.0164691759135753
KX004_5_01_1011	1	0	2881033286	0
KX004_5_01_1012	1	0	2881033286	0
KX004_5_01_1013	4	414269984	2881033286	0.143792154715147
KX004_5_01_1014	1	0	2881033286	0
KX004_5_01_1015	1	0	2881033286	0
KX004_5_01_1016	2	58967944	2881033286	0.020467637179531
KX004_5_01_1017	2	0	2881033286	0
KX004_5_01_1018	4	420341654	2881033286	0.145899617349995
KX004_5_01_1019	4	395293028	2881033286	0.137205297113669
KX004_5_01_101	4	465320330	2881033286	0.161511611914087
KX004_5_01_1020	2	251363008	2881033286	0.0872475195692689
KX004_5_01_1021	4	321357893	2881033286	0.111542582503852
KX004_5_01_1022	4	316234035	2881033286	0.10976410322529
KX004_5_01_1023	3	456292304	2881033286	0.158378004939163
KX004_5_01_1024	1	-4959897	2881033286	-0.00172156879412049
KX004_5_01_1025	3	70172111	2881033286	0.0243565776698909
KX004_5_01_1026	4	468280190	2881033286	0.162538972484471
KX004_5_01_1027	4	427239421	2881033286	0.148293816345723
KX004_5_01_1028	4	381263422	2881033286	0.132335653271588
KX004_5_01_1029	NA	NA	NA	NA
KX004_5_01_102	4	391531285	2881033286	0.135899604805885
KX004_5_01_1030	4	458493255	2881033286	0.159141949948301
KX004_5_01_1031	3	282214817	2881033286	0.0979561112227983
KX004_5_01_1032	2	393245845	2881033286	0.136494724622213
KX004_5_01_1033	4	461446755	2881033286	0.160167102977373
KX004_5_01_1034	2	0	2881033286	0
KX004_5_01_1035	2	125956939	2881033286	0.0437193626370341
KX004_5_01_1036	3	525932186	2881033286	0.182549847152304
KX004_5_01_1037	3	115160177	2881033286	0.0399718314812972
KX004_5_01_1038	NA	NA	NA	NA
KX004_5_01_1039	1	0	2881033286	0
KX004_5_01_103	4	438558056	2881033286	0.152222488414526
KX004_5_01_1040	NA	NA	NA	NA
KX004_5_01_1041	3	20520718	2881033286	0.00712269382645376
KX004_5_01_1042	2	0	2881033286	0
KX004_5_01_1043	1	0	2881033286	0
KX004_5_01_1044	4	436355028	2881033286	0.151457822483485
KX004_5_01_1045	4	402731267	2881033286	0.13978709269241
KX004_5_01_1046	1	-155687272	2881033286	-0.0540386925609439
KX004_5_01_1047	4	460431047	2881033286	0.159814553076288
KX004_5_01_1048	1	-74923067	2881033286	-0.0260056235254479
KX004_5_01_1049	1	0	2881033286	0
KX004_5_01_104	5	559515205	2881033286	0.19420643548927
KX004_5_01_1050	2	0	2881033286	0
KX004_5_01_1051	1	0	2881033286	0
KX004_5_01_1052	2	114656874	2881033286	0.0397971361723448
KX004_5_01_1053	5	352829816	2881033286	0.122466414294666
KX004_5_01_1054	3	320283711	2881033286	0.11116973641241
KX004_5_01_1055	2	65344154	2881033286	0.022680804945063
KX004_5_01_1056	3	349926568	2881033286	0.12145870361874
KX004_5_01_1057	3	222388837	2881033286	0.0771906517292491
KX004_5_01_1058	2	195352780	2881033286	0.0678064987826732
KX004_5_01_1059	3	254755218	2881033286	0.0884249478261668
KX004_5_01_105	4	500389474	2881033286	0.173684030806439
KX004_5_01_1060	3	186450507	2881033286	0.0647165403836296
KX004_5_01_1061	2	134340841	2881033286	0.0466293956591239
KX004_5_01_1062	4	388127498	2881033286	0.134718158199023
KX004_5_01_1063	4	267870487	2881033286	0.0929772274071533
KX004_5_01_1064	3	358947532	2881033286	0.124589859389775
KX004_5_01_1065	2	261655867	2881033286	0.090820147157439
KX004_5_01_1066	4	515139408	2881033286	0.178803698833766
KX004_5_01_1067	3	296899005	2881033286	0.103052958965362
KX004_5_01_1068	4	361404613	2881033286	0.125442706530396
KX004_5_01_1069	1	-30079713	2881033286	-0.010440598915038
KX004_5_01_106	4	549107412	2881033286	0.190593914575133
KX004_5_01_1070	4	368370842	2881033286	0.127860668528215
KX004_5_01_1071	4	151135871	2881033286	0.0524589117850268
KX004_5_01_1072	3	198984540	2881033286	0.0690670742913451
KX004_5_01_1073	4	488493890	2881033286	0.169555101072164
KX004_5_01_1074	3	507276144	2881033286	0.176074378059095
KX004_5_01_1075	2	233468420	2881033286	0.0810363494009281
KX004_5_01_1076	4	493585593	2881033286	0.171322419424487
KX004_5_01_1077	2	358413853	2881033286	0.124404620641374
KX004_5_01_1078	5	637126088	2881033286	0.221144993740971
KX004_5_01_1079	4	337637573	2881033286	0.117193221834925
KX004_5_01_107	5	441027698	2881033286	0.153079695449239
KX004_5_01_1080	4	306349098	2881033286	0.106333064421249
KX004_5_01_1081	2	216934272	2881033286	0.0752973848147341
KX004_5_01_1082	4	380967076	2881033286	0.132232792259381
KX004_5_01_1083	3	235690550	2881033286	0.0818076455920544
KX004_5_01_1084	2	55845820	2881033286	0.0193839551494859
KX004_5_01_1085	4	348459519	2881033286	0.120949494298901
KX004_5_01_1086	4	287810806	2881033286	0.0998984660811031
KX004_5_01_1087	2	218853654	2881033286	0.0759635978742385
KX004_5_01_1088	1	-33777949	2881033286	-0.0117242480897876
KX004_5_01_1089	3	234759576	2881033286	0.0814845066666821
KX004_5_01_108	4	463922648	2881033286	0.161026479719749
KX004_5_01_1090	1	103570544	2881033286	0.0359490966325475
KX004_5_01_1091	3	56101633	2881033286	0.0194727472510014
KX004_5_01_1092	4	407163456	2881033286	0.14132549525844
KX004_5_01_1093	2	196417653	2881033286	0.068176113741714
KX004_5_01_1094	4	461926577	2881033286	0.160333648085453
KX004_5_01_1095	2	138932784	2881033286	0.0482232484696117
KX004_5_01_1096	3	444598379	2881033286	0.154319070578069
KX004_5_01_1097	4	391462114	2881033286	0.135875595711531
KX004_5_01_1098	1	0	2881033286	0
KX004_5_01_1099	1	0	2881033286	0
KX004_5_01_109	4	477199249	2881033286	0.165634757265349
KX004_5_01_10	4	494177692	2881033286	0.17152793561997
KX004_5_01_1100	1	0	2881033286	0
KX004_5_01_1101	1	0	2881033286	0
KX004_5_01_1102	4	518032164	2881033286	0.179807767760723
KX004_5_01_1103	2	202548084	2881033286	0.0703039721839576
KX004_5_01_1104	2	280590498	2881033286	0.0973923138491639
KX004_5_01_1105	1	0	2881033286	0
KX004_5_01_1106	1	0	2881033286	0
KX004_5_01_1107	1	111145352	2881033286	0.0385782949957906
KX004_5_01_1108	1	0	2881033286	0
KX004_5_01_1109	2	78217962	2881033286	0.0271492739705889
KX004_5_01_110	4	408641637	2881033286	0.141838568469771
KX004_5_01_1110	4	445538555	2881033286	0.15464540349639
KX004_5_01_1111	1	0	2881033286	0
KX004_5_01_1112	1	0	2881033286	0
KX004_5_01_1113	1	0	2881033286	0
KX004_5_01_1114	3	243578048	2881033286	0.084545377932159
KX004_5_01_1115	4	376942545	2881033286	0.13083588684369
KX004_5_01_1116	2	301576651	2881033286	0.104676559089224
KX004_5_01_1117	2	145845848	2881033286	0.0506227570187122
KX004_5_01_1118	2	209014013	2881033286	0.0725482812071891
KX004_5_01_1119	3	352622012	2881033286	0.122394286006177
KX004_5_01_111	4	551663341	2881033286	0.191481071628271
KX004_5_01_1120	2	115211500	2881033286	0.0399896455760699
KX004_5_01_1121	2	178377464	2881033286	0.0619144058025298
KX004_5_01_1122	2	155325506	2881033286	0.0539131244178204
KX004_5_01_1123	3	479175209	2881033286	0.16632060841799
KX004_5_01_1124	2	135539194	2881033286	0.0470453412179008
KX004_5_01_1125	3	358397155	2881033286	0.124398824804137
KX004_5_01_1126	2	60664065	2881033286	0.021056356861543
KX004_5_01_1127	2	109368451	2881033286	0.0379615367623351
KX004_5_01_1128	4	332249233	2881033286	0.115322941464967
KX004_5_01_1129	2	425797684	2881033286	0.147793392762627
KX004_5_01_112	4	425085772	2881033286	0.147546289751544
KX004_5_01_1130	3	269026220	2881033286	0.0933783796623584
KX004_5_01_1131	2	160145901	2881033286	0.0555862723899123
KX004_5_01_1132	3	160936865	2881033286	0.0558608141676292
KX004_5_01_1133	4	350864503	2881033286	0.121784258691137
KX004_5_01_1134	4	456038360	2881033286	0.158289861563231
KX004_5_01_1135	4	527530274	2881033286	0.183104539806417
KX004_5_01_1136	3	156010028	2881033286	0.0541507204231586
KX004_5_01_1137	3	339754099	2881033286	0.117927863121537
KX004_5_01_1138	2	37038598	2881033286	0.0128560118274177
KX004_5_01_1139	2	284249318	2881033286	0.0986622818213423
KX004_5_01_113	4	463156982	2881033286	0.160760718819408
KX004_5_01_1140	2	-8615792	2881033286	-0.00299052150555403
KX004_5_01_1141	3	534015959	2881033286	0.185355706091623
KX004_5_01_1142	3	244179540	2881033286	0.0847541544162499
KX004_5_01_1143	4	526692161	2881033286	0.182813632719688
KX004_5_01_1144	4	362523207	2881033286	0.125830967924471
KX004_5_01_1145	2	8415254	2881033286	0.00292091522888431
KX004_5_01_1146	3	187216328	2881033286	0.0649823550841127
KX004_5_01_1147	3	534862098	2881033286	0.185649398984417
KX004_5_01_1148	3	331834961	2881033286	0.115179148610503
KX004_5_01_1149	2	220909106	2881033286	0.0766770405164975
KX004_5_01_114	4	465230691	2881033286	0.161480498424203
KX004_5_01_1150	2	163466836	2881033286	0.0567389612589155
KX004_5_01_1151	3	356447579	2881033286	0.123722131476963
KX004_5_01_1152	3	190273487	2881033286	0.0660434879126905
KX004_5_01_1153	1	87773198	2881033286	0.0304658743189543
KX004_5_01_1154	2	265332192	2881033286	0.0920961910746907
KX004_5_01_1155	3	330497930	2881033286	0.114715068238195
KX004_5_01_1156	3	61322075	2881033286	0.0212847506129091
KX004_5_01_1157	5	356198467	2881033286	0.123635665277072
KX004_5_01_1158	2	153296426	2881033286	0.0532088354358569
KX004_5_01_1159	2	80177926	2881033286	0.0278295729485716
KX004_5_01_115	3	444919242	2881033286	0.154430441384355
KX004_5_01_1160	3	342053908	2881033286	0.118726121514168
KX004_5_01_1161	2	471450753	2881033286	0.16363946757955
KX004_5_01_1162	4	249319193	2881033286	0.0865381161028349
KX004_5_01_1163	3	264768344	2881033286	0.0919004807360632
KX004_5_01_1164	4	397536193	2881033286	0.137983894504716
KX004_5_01_1165	4	307273956	2881033286	0.106654080497146
KX004_5_01_1166	2	127041450	2881033286	0.0440957939005221
KX004_5_01_1167	2	-6326489	2881033286	-0.00219590972125964
KX004_5_01_1168	3	326632890	2881033286	0.113373521780269
KX004_5_01_1169	3	322189932	2881033286	0.111831381319209
KX004_5_01_116	5	492145499	2881033286	0.170822566122896
KX004_5_01_1170	2	163873959	2881033286	0.0568802727119898
KX004_5_01_1171	4	351642569	2881033286	0.122054323602841
KX004_5_01_1172	4	527862781	2881033286	0.183219952218213
KX004_5_01_1173	3	284675100	2881033286	0.0988100697702248
KX004_5_01_1174	3	500733614	2881033286	0.173803481005669
KX004_5_01_1175	1	114607092	2881033286	0.0397798569551133
KX004_5_01_1176	1	82176347	2881033286	0.0285232202624402
KX004_5_01_1177	3	214736305	2881033286	0.0745344755451048
KX004_5_01_1178	2	90508725	2881033286	0.0314153694231216
KX004_5_01_1179	2	242053109	2881033286	0.0840160751270126
KX004_5_01_117	5	471291588	2881033286	0.163584221775631
KX004_5_01_1180	3	422789415	2881033286	0.146749229540141
KX004_5_01_1181	3	391457231	2881033286	0.135873900833508
KX004_5_01_1182	4	246166141	2881033286	0.0854436990354161
KX004_5_01_1183	1	0	2881033286	0
KX004_5_01_1184	1	0	2881033286	0
KX004_5_01_1185	4	464089423	2881033286	0.161084366937092
KX004_5_01_1186	4	297087946	2881033286	0.103118539950114
KX004_5_01_1187	3	386168242	2881033286	0.134038104966206
KX004_5_01_1188	3	310511681	2881033286	0.107777887367317
KX004_5_01_1189	4	586732261	2881033286	0.20365341277074
KX004_5_01_118	4	396890636	2881033286	0.137759823160891
KX004_5_01_1190	4	431374567	2881033286	0.149729115972456
KX004_5_01_1191	1	-59900064	2881033286	-0.0207911738788567
KX004_5_01_1192	3	375160006	2881033286	0.130217171673455
KX004_5_01_1193	3	365437061	2881033286	0.126842359918503
KX004_5_01_1194	3	328167945	2881033286	0.113906335825653
KX004_5_01_1195	4	447817053	2881033286	0.155436264890138
KX004_5_01_1196	2	6501761	2881033286	0.00225674622767965
KX004_5_01_1197	1	225503903	2881033286	0.0782718839437942
KX004_5_01_1198	3	301598668	2881033286	0.104684201139077
KX004_5_01_1199	2	372233112	2881033286	0.129201253525538
KX004_5_01_119	4	412291832	2881033286	0.143105542724368
KX004_5_01_11	4	456264765	2881033286	0.158368446215862
KX004_5_01_1200	3	261741285	2881033286	0.0908497955479713
KX004_5_01_1201	3	56537822	2881033286	0.0196241474455495
KX004_5_01_1202	3	277428611	2881033286	0.096294830173649
KX004_5_01_1203	2	66116729	2881033286	0.0229489639433482
KX004_5_01_1204	2	37608522	2881033286	0.013053831131613
KX004_5_01_1205	3	202663170	2881033286	0.0703439182687735
KX004_5_01_1206	3	209967911	2881033286	0.0728793770000198
KX004_5_01_1207	4	386204657	2881033286	0.134050744528607
KX004_5_01_1208	2	56246869	2881033286	0.0195231583311877
KX004_5_01_1209	3	218234050	2881033286	0.0757485347567761
KX004_5_01_120	4	465072532	2881033286	0.161425601800562
KX004_5_01_1210	3	143732942	2881033286	0.0498893722257397
KX004_5_01_1211	3	341888065	2881033286	0.118668557791873
KX004_5_01_1212	2	95721122	2881033286	0.0332245803841088
KX004_5_01_1213	2	446595940	2881033286	0.155012419387924
KX004_5_01_1214	3	306351501	2881033286	0.106333898496999
KX004_5_01_1215	4	375040485	2881033286	0.130175686210381
KX004_5_01_1216	3	270791613	2881033286	0.093991143495591
KX004_5_01_1217	2	162227553	2881033286	0.056308808991664
KX004_5_01_1218	3	132930263	2881033286	0.0461397872929678
KX004_5_01_1219	2	211732945	2881033286	0.0734920162251815
KX004_5_01_121	4	485599101	2881033286	0.168550326495603
KX004_5_01_1220	3	34093396	2881033286	0.011833739014982
KX004_5_01_1221	1	0	2881033286	0
KX004_5_01_1222	2	28954697	2881033286	0.0100501084595938
KX004_5_01_1223	1	0	2881033286	0
KX004_5_01_1224	2	189288325	2881033286	0.065701540457662
KX004_5_01_1225	2	215715625	2881033286	0.074874395255425
KX004_5_01_1226	5	505417701	2881033286	0.175429316785755
KX004_5_01_1227	4	356650491	2881033286	0.123792561763551
KX004_5_01_1228	2	43145807	2881033286	0.0149758099670911
KX004_5_01_1229	3	286871594	2881033286	0.0995724677649559
KX004_5_01_122	4	561728551	2881033286	0.194974682774283
KX004_5_01_1230	2	254226558	2881033286	0.0882414511610748
KX004_5_01_1231	2	94799774	2881033286	0.0329047826211058
KX004_5_01_1232	5	81920068	2881033286	0.028434266413401
KX004_5_01_1233	3	280757872	2881033286	0.0974504089780239
KX004_5_01_1234	2	354709374	2881033286	0.123118804535742
KX004_5_01_1235	2	140428203	2881033286	0.0487423049509328
KX004_5_01_1236	1	-126603169	2881033286	-0.0439436675776054
KX004_5_01_1237	2	153362019	2881033286	0.0532316026146738
KX004_5_01_1238	2	208727734	2881033286	0.072448914427433
KX004_5_01_1239	3	335662458	2881033286	0.116507663979832
KX004_5_01_123	4	375161911	2881033286	0.130217832894555
KX004_5_01_1240	2	204109037	2881033286	0.0708457753653319
KX004_5_01_1241	3	246822210	2881033286	0.0856714190701648
KX004_5_01_1242	2	136304189	2881033286	0.0473108692156915
KX004_5_01_1243	2	96668351	2881033286	0.0335533613824412
KX004_5_01_1244	2	157601649	2881033286	0.054703168396507
KX004_5_01_1245	4	424483099	2881033286	0.147337103345081
KX004_5_01_1246	1	105945804	2881033286	0.0367735438930295
KX004_5_01_1247	1	-23204931	2881033286	-0.00805437795972761
KX004_5_01_1248	2	152772003	2881033286	0.0530268094236798
KX004_5_01_1249	1	84223424	2881033286	0.0292337559615408
KX004_5_01_124	5	514492855	2881033286	0.178579281780641
KX004_5_01_1250	3	337545769	2881033286	0.11716135687854
KX004_5_01_1251	3	134809003	2881033286	0.0467918936081324
KX004_5_01_1252	2	190150959	2881033286	0.0660009587268614
KX004_5_01_1253	2	105955462	2881033286	0.0367768961625249
KX004_5_01_1254	2	79374700	2881033286	0.0275507750589731
KX004_5_01_1255	2	263784005	2881033286	0.0915588189424341
KX004_5_01_1256	2	405548356	2881033286	0.140764897778415
KX004_5_01_1257	2	133552995	2881033286	0.0463559361320062
KX004_5_01_1258	1	0	2881033286	0
KX004_5_01_1259	3	173032128	2881033286	0.0600590520216572
KX004_5_01_125	4	467653340	2881033286	0.162321394297143
KX004_5_01_1260	4	446958337	2881033286	0.15513820654969
KX004_5_01_1261	4	473949685	2881033286	0.164506841105619
KX004_5_01_1262	3	554206037	2881033286	0.19236363553767
KX004_5_01_1263	2	105647838	2881033286	0.0366701205825638
KX004_5_01_1264	2	38381146	2881033286	0.013322007137685
KX004_5_01_1265	2	347915481	2881033286	0.120760659965523
KX004_5_01_1266	3	373952308	2881033286	0.12979798248676
KX004_5_01_1267	2	263976133	2881033286	0.0916255061275262
KX004_5_01_1268	2	0	2881033286	0
KX004_5_01_1269	4	391337949	2881033286	0.135832498326783
KX004_5_01_126	5	392363890	2881033286	0.136188600078534
KX004_5_01_1270	1	197269359	2881033286	0.0684717389273509
KX004_5_01_1271	3	357079114	2881033286	0.123941335816972
KX004_5_01_1272	1	54092218	2881033286	0.0187752839451227
KX004_5_01_1273	3	351084758	2881033286	0.121860708692971
KX004_5_01_1274	2	162708066	2881033286	0.0564755939442485
KX004_5_01_1275	4	381210459	2881033286	0.132317269936603
KX004_5_01_1276	3	86319924	2881033286	0.029961446269802
KX004_5_01_1277	3	477444617	2881033286	0.165719923931486
KX004_5_01_1278	2	219589585	2881033286	0.0762190378247508
KX004_5_01_1279	3	336429995	2881033286	0.116774074299952
KX004_5_01_127	4	494093860	2881033286	0.171498837726375
KX004_5_01_1280	2	278330023	2881033286	0.096607708197093
KX004_5_01_1281	2	245376343	2881033286	0.0851695619736064
KX004_5_01_1282	1	158127920	2881033286	0.0548858358452163
KX004_5_01_1283	3	247314120	2881033286	0.0858421598951287
KX004_5_01_1284	4	364840844	2881033286	0.12663541437473
KX004_5_01_1285	3	353614361	2881033286	0.122738728052308
KX004_5_01_1286	2	332182706	2881033286	0.115299850096907
KX004_5_01_1287	3	289828292	2881033286	0.100598730812442
KX004_5_01_1288	2	36694175	2881033286	0.0127364633995416
KX004_5_01_1289	4	567539892	2881033286	0.196991785814445
KX004_5_01_128	4	492747562	2881033286	0.171031540799768
KX004_5_01_1290	3	199064537	2881033286	0.0690948410652969
KX004_5_01_1291	2	371879238	2881033286	0.129078424677388
KX004_5_01_1292	3	520084499	2881033286	0.18052012849948
KX004_5_01_1293	3	95843651	2881033286	0.0332671099170355
KX004_5_01_1294	3	286905389	2881033286	0.0995841979314084
KX004_5_01_1295	3	289441222	2881033286	0.100464379709357
KX004_5_01_1296	2	170303754	2881033286	0.0591120397072705
KX004_5_01_1297	2	385241344	2881033286	0.13371638081102
KX004_5_01_1298	1	79394718	2881033286	0.0275577232605427
KX004_5_01_1299	2	99474085	2881033286	0.0345272251741697
KX004_5_01_129	4	542685934	2881033286	0.188365034391345
KX004_5_01_12	4	483000495	2881033286	0.167648356354325
KX004_5_01_1300	2	110275426	2881033286	0.0382763456902316
KX004_5_01_1301	1	126119894	2881033286	0.0437759239411995
KX004_5_01_1302	3	321244025	2881033286	0.111503059184024
KX004_5_01_1303	4	485270397	2881033286	0.168436234096325
KX004_5_01_1304	3	359360870	2881033286	0.124733328054996
KX004_5_01_1305	2	186371425	2881033286	0.0646890912040646
KX004_5_01_1306	2	171047711	2881033286	0.0593702654638472
KX004_5_01_1307	3	463378555	2881033286	0.160837626295998
KX004_5_01_1308	2	50160954	2881033286	0.0174107512897371
KX004_5_01_1309	3	241948630	2881033286	0.0839798107074005
KX004_5_01_130	4	472561192	2881033286	0.164024898391958
KX004_5_01_1310	2	40255057	2881033286	0.0139724373181018
KX004_5_01_1311	3	329295661	2881033286	0.114297763444861
KX004_5_01_1312	1	15213351	2881033286	0.00528051899779404
KX004_5_01_1313	3	324418575	2881033286	0.112604938157594
KX004_5_01_1314	3	147683352	2881033286	0.0512605504135088
KX004_5_01_1315	4	432496175	2881033286	0.150118423518971
KX004_5_01_1316	3	457240682	2881033286	0.158707184752742
KX004_5_01_1317	1	54174431	2881033286	0.0188038198875568
KX004_5_01_1318	4	424573292	2881033286	0.147368409127086
KX004_5_01_1319	2	124240840	2881033286	0.0431237086373601
KX004_5_01_131	4	535723842	2881033286	0.185948508336672
KX004_5_01_1320	3	395180569	2881033286	0.137166262854486
KX004_5_01_1321	3	384010113	2881033286	0.133289023374373
KX004_5_01_1322	4	204382180	2881033286	0.0709405826698248
KX004_5_01_1323	2	216297173	2881033286	0.0750762492231754
KX004_5_01_1324	2	109773879	2881033286	0.0381022598848238
KX004_5_01_1325	1	155956127	2881033286	0.0541320115105397
KX004_5_01_1326	3	115687299	2881033286	0.0401547943101411
KX004_5_01_1327	4	403082834	2881033286	0.139909120786187
KX004_5_01_1328	2	201092664	2881033286	0.0697987992631613
KX004_5_01_1329	2	127776078	2881033286	0.0443507815827436
KX004_5_01_132	4	477909130	2881033286	0.165881155321022
KX004_5_01_1330	1	-24769253	2881033286	-0.00859735051322139
KX004_5_01_1331	2	88601632	2881033286	0.0307534218471365
