sample_name	p.value	sd	nr_total_runs	fdr
PD34209_100	0.0770527339168849	2.43641020244051	18	0.911254910223308
PD34209_101	NA	0	1	NA
PD34209_102	0.963553778871595	9.58185807518182	186	1
PD34209_10	0.276662002588831	19.4329626995645	736	0.911254910223308
PD34209_11	0.709239172982188	17.242981609909	603	0.959925721204115
PD34209_12	0.258692483718328	17.1149123074892	608	0.911254910223308
PD34209_13	0.215309546451826	20.9821048267842	856	0.911254910223308
PD34209_14	2.74681410779884e-12	28.1012591082013	1385	2.58200526133091e-10
PD34209_15	0.384052318988227	20.0938520216362	829	0.911254910223308
PD34209_16	0.768038314165425	21.5267459921583	935	0.959925721204115
PD34209_17	0.440140270457165	23.1433697503826	1055	0.911254910223308
PD34209_18	0.413120799328376	20.4274752707476	853	0.911254910223308
PD34209_19	0.799760381263983	19.7167074807716	784	0.959925721204115
PD34209_1	0.452608960310914	21.8593684219524	974	0.911254910223308
PD34209_20	0.516214866888638	19.1023802340848	719	0.911254910223308
PD34209_21	0.836806508557915	19.6330338158786	777	0.959925721204115
PD34209_22	0.381424315962255	23.2563013460785	1063	0.911254910223308
PD34209_23	0.621082167888697	20.2299245495779	810	0.941640706153831
PD34209_24	0.269905952115116	18.2096192052691	645	0.911254910223308
PD34209_25	0.26349895837199	21.3451914275968	889	0.911254910223308
PD34209_26	0.481346937805436	20.6627783935739	870	0.911254910223308
PD34209_27	0.351832674079505	22.6965042849434	1011	0.911254910223308
PD34209_28	0.988832954703653	20.9035244533963	876	1
PD34209_29	0.679022570699678	21.5311500891976	938	0.959925721204115
PD34209_2	0.105274583794088	22.3657789893493	966	0.911254910223308
PD34209_30	0.881693040430451	23.7689401773549	1135	0.972967377330374
PD34209_31	0.837382012114228	15.4652510360729	477	0.959925721204115
PD34209_32	0.663977546606294	8.53186997131105	151	0.959925721204115
PD34209_33	0.770172969340666	7.8395794860014	127	0.959925721204115
PD34209_34	0.357327738765217	14.6877633646077	447	0.911254910223308
