sample_name	rl20	genome_span	genome_size	fraction_span
PD34493_FINAL_100	2	108601884	2881033286	0.0376954631269748
PD34493_FINAL_101	4	292851254	2881033286	0.101647993941296
PD34493_FINAL_102	4	371347742	2881033286	0.128893943643246
PD34493_FINAL_103	3	187905854	2881033286	0.0652216879662945
PD34493_FINAL_104	4	0	2881033286	0
PD34493_FINAL_105	3	367804610	2881033286	0.127664130708693
PD34493_FINAL_106	2	202741294	2881033286	0.0703710349287509
PD34493_FINAL_107	2	37341513	2881033286	0.012961152924354
PD34493_FINAL_108	2	182102953	2881033286	0.0632075144306403
PD34493_FINAL_109	4	277942808	2881033286	0.0964733067648424
PD34493_FINAL_10	5	550962219	2881033286	0.19123771380127
PD34493_FINAL_110	3	127415936	2881033286	0.0442257771262696
PD34493_FINAL_111	3	357947491	2881033286	0.124242747468208
PD34493_FINAL_112	3	443199891	2881033286	0.153833658622992
PD34493_FINAL_113	2	202774254	2881033286	0.0703824752686318
PD34493_FINAL_114	3	272473645	2881033286	0.0945749729182407
PD34493_FINAL_115	2	111641347	2881033286	0.0387504537148204
PD34493_FINAL_116	2	159663400	2881033286	0.0554187974071189
PD34493_FINAL_117	2	157805136	2881033286	0.0547737982642662
PD34493_FINAL_118	4	422302987	2881033286	0.146580391504717
PD34493_FINAL_119	4	489587505	2881033286	0.169934692313027
PD34493_FINAL_11	4	443855963	2881033286	0.154061379699033
PD34493_FINAL_120	3	203556453	2881033286	0.0706539747350909
PD34493_FINAL_121	1	-112140829	2881033286	-0.0389238227634972
PD34493_FINAL_122	2	77195223	2881033286	0.0267942836256422
PD34493_FINAL_123	2	246925184	2881033286	0.0857071611077526
PD34493_FINAL_124	2	394255582	2881033286	0.136845202002987
PD34493_FINAL_125	2	181388051	2881033286	0.0629593735974628
PD34493_FINAL_126	1	-16115333	2881033286	-0.00559359486692165
PD34493_FINAL_127	4	393990615	2881033286	0.136753232569212
PD34493_FINAL_128	2	70516790	2881033286	0.0244762149547758
PD34493_FINAL_129	2	54995142	2881033286	0.0190886867802748
