sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD37234b_10	0.208339680912694	0.525502318392581	0.48621101378388	0.564559968040495	340	647	0.947342232811404
PD37234b_11	0.837246471758355	0.504103165298945	0.469999516268737	0.538178378460438	430	853	1
PD37234b_12	0.915956179700507	0.502475247524752	0.467425957506623	0.537506418836955	406	808	1
PD37234b_13	0.235202995428303	0.513809275664409	0.49117985751222	0.536396430242012	986	1919	0.947342232811404
PD37234b_14	0.601373625257099	0.491996630160067	0.463184783247252	0.520848219421645	584	1187	1
PD37234b_15	0.0634865709889263	0.544086021505376	0.497583929054603	0.590023999762386	253	465	0.843344730625265
PD37234b_18	0.96857114673802	0.501552795031056	0.462228707188034	0.540862589502726	323	644	1
PD37234b_19	0.939599371952146	0.494252873563218	0.417753294306412	0.570951557564179	86	174	1
PD37234b_1	0.791939191957103	0.505681818181818	0.468081949794189	0.543233886945793	356	704	1
PD37234b_20	0.705923984277266	0.511627906976744	0.457448254296491	0.565605715231914	176	344	1
PD37234b_21	0.35300118040552	0.514362657091562	0.4845596239529	0.544089655167036	573	1114	0.947342232811404
PD37234b_22	0.102223603712153	0.463955637707948	0.421304738167876	0.507002261031287	251	541	0.843344730625265
PD37234b_23	0.168572812312158	0.480667172100076	0.453393634921685	0.508027030318451	634	1319	0.947342232811404
PD37234b_24	0.777045739313056	0.495049504950495	0.46377281421073	0.52635512620059	500	1010	1
PD37234b_25	0.025628195072967	0.460510328068044	0.426043357626139	0.495261062813024	379	823	0.843344730625265
PD37234b_26	0.309302942770043	0.489008524001795	0.468058316048088	0.50998766469083	1090	2229	0.947342232811404
PD37234b_27	0.0881798660566974	0.460764587525151	0.416282617925636	0.505715905928894	229	497	0.843344730625265
PD37234b_28	0.420509683131112	0.511574074074074	0.483973796844769	0.539121749063693	663	1296	0.947342232811404
PD37234b_29	0.398368713321219	0.489818381948266	0.466590082789244	0.513079603643521	890	1817	0.947342232811404
PD37234b_2	1	0.50187265917603	0.440296742495528	0.563406554210965	134	267	1
PD37234b_30	0.430610105823365	0.525735294117647	0.464554683638685	0.586349146573174	143	272	0.947342232811404
PD37234b_32	0.465131355740946	0.492160278745645	0.471514258414334	0.512826329520732	1130	2296	0.959333421215701
PD37234b_33	1	0.500457456541629	0.470390754342624	0.530521690083602	547	1093	1
PD37234b_34	0.824067022325876	0.497549019607843	0.477551263676066	0.517552646617458	1218	2448	1
PD37234b_35	0.355816370673993	0.513738551207327	0.485050794448524	0.542358887867087	617	1201	0.947342232811404
PD37234b_36	0.294406156523514	0.450381679389313	0.363374568502467	0.539682334639325	59	131	0.947342232811404
PD37234b_3	0.684860101898383	0.495170310116929	0.472842204731306	0.517512833696438	974	1967	1
PD37234b_4	0.560740007900406	0.523809523809524	0.450076159840495	0.596784377015651	99	189	1
PD37234b_5	0.813755551082308	0.503902862098872	0.474630999901131	0.53315476757162	581	1153	1
PD37234b_6	0.59126856772422	0.507570295602019	0.480906876006238	0.534201584024688	704	1387	1
PD37234b_7	0.894947416984277	0.503875968992248	0.45985110831418	0.547856194046	260	516	1
PD37234b_8	0.313157335096528	0.523076923076923	0.479159276351853	0.566730875682373	272	520	0.947342232811404
PD37234b_9	0.773851938339238	0.494193548387097	0.458428252585738	0.530003174904081	383	775	1
