sample_name	p.value	sd	nr_total_runs	fdr
PD37240b_10	0.517848362391448	8.57069325582934	154	0.784515284275199
PD37240b_13	0.984870653731494	18.4776481436434	694	0.984870653731494
PD37240b_14	0.202152972087284	23.5212645712593	1078	0.502986281767163
PD37240b_15	0.230333443513385	12.9965486628694	355	0.502986281767163
PD37240b_16	0.570556570381963	12.8367085131299	324	0.784515284275199
PD37240b_17	0.2947410619605	19.4322088047531	737	0.540358613594251
PD37240b_18	0.264688819495632	10.758692301725	245	0.513807708432698
PD37240b_19	0.860450073629846	7.31345286738182	112	0.949564445683131
PD37240b_1	0.772770640913927	34.5139965377618	2374	0.944497450005911
PD37240b_20	0.675375762814158	14.4380114893501	426	0.857207698956431
PD37240b_21	0.0323522668596029	17.4908781954253	576	0.213524961273379
PD37240b_22	0.826880968379253	21.2450817421028	909	0.949564445683131
PD37240b_23	0.0104037501730598	7.32942020984959	128	0.171661877855487
PD37240b_24	0.634426828061764	18.9535566253467	729	0.837443413041529
PD37240b_25	0.218901848993365	19.5192715886539	788	0.502986281767163
PD37240b_26	0.194998183128053	19.6970495455055	803	0.502986281767163
PD37240b_28	0.942625641572934	26.6019635044839	1415	0.972082692872088
PD37240b_29	0.0300381428409925	3.61905360302195	20	0.213524961273379
PD37240b_2	0.227546265325081	13.578856183604	354	0.502986281767163
PD37240b_30	0.0843355906409458	25.5139427292899	1348	0.444902622904675
PD37240b_31	0.121337078974002	24.2174036075501	1212	0.444902622904675
PD37240b_32	0.102194265515243	20.1927863661885	850	0.444902622904675
PD37240b_33	0.863240405166483	7.48602674060564	113	0.949564445683131
PD37240b_34	0.555897923738961	21.3292776598801	924	0.784515284275199
PD37240b_35	0.374357552108157	19.981249993895	783	0.617689960978459
PD37240b_36	0.120052793533704	19.6642064519293	806	0.444902622904675
PD37240b_3	0.526488586469145	12.790775844682	322	0.784515284275199
PD37240b_4	0.317060698111844	17.864015680918	622	0.550684370404781
PD37240b_5	0.0306464109888149	21.9771109108973	1015	0.213524961273379
PD37240b_6	0.909957616439173	17.698819327417	630	0.968664559435248
PD37240b_7	0.243872136614382	20.9369059298395	905	0.502986281767163
PD37240b_8	4.36401900712442e-10	17.2543434844895	496	1.44012627235106e-08
PD37240b_9	0.222904412051725	25.0710802760628	1230	0.502986281767163
