sample_name	rl20	genome_span	genome_size	fraction_span
PD37909b_10	5	491394898	2881033286	0.170562034249263
PD37909b_11	5	443128622	2881033286	0.153808921317683
PD37909b_12	5	435088696	2881033286	0.151018281570802
PD37909b_13	4	461714297	2881033286	0.160259966187701
PD37909b_14	4	451860457	2881033286	0.156839721080543
PD37909b_15	4	457806195	2881033286	0.158903473009024
PD37909b_16	4	471478700	2881033286	0.163649167918708
PD37909b_17	4	504441852	2881033286	0.175090601851519
PD37909b_18	4	498039508	2881033286	0.172868363034942
PD37909b_19	4	372685084	2881033286	0.129358131962936
PD37909b_1	4	424385372	2881033286	0.147303182529075
PD37909b_20	4	440656150	2881033286	0.152950731996506
PD37909b_21	4	325576465	2881033286	0.113006839102518
PD37909b_22	4	267862112	2881033286	0.0929743204639948
PD37909b_23	4	404672367	2881033286	0.140460844019558
PD37909b_24	4	500770339	2881033286	0.173816228168354
PD37909b_25	4	452203338	2881033286	0.15695873428378
PD37909b_26	4	488233288	2881033286	0.169464646719809
PD37909b_27	4	430617792	2881033286	0.149466441117682
PD37909b_28	4	415095847	2881033286	0.144078809855167
PD37909b_29	4	455221704	2881033286	0.158006402151648
PD37909b_2	5	453559035	2881033286	0.157429293581581
PD37909b_30	4	435532180	2881033286	0.151172213843002
PD37909b_31	4	452512147	2881033286	0.157065921174505
PD37909b_33	4	425504393	2881033286	0.147691592133865
PD37909b_34	4	462368849	2881033286	0.160487159675253
PD37909b_35	4	195667147	2881033286	0.0679156148423618
PD37909b_36	3	265266015	2881033286	0.0920732211908224
PD37909b_37	4	487970645	2881033286	0.169373483941067
PD37909b_3	4	479624560	2881033286	0.166476577112341
PD37909b_4	4	461038331	2881033286	0.160025339950203
PD37909b_5	4	457114445	2881033286	0.158663368181578
PD37909b_6	4	434348903	2881033286	0.150761501129008
PD37909b_7	5	439509970	2881033286	0.152552895565539
PD37909b_8	5	438872547	2881033286	0.152331647514329
PD37909b_9	4	475752857	2881033286	0.165132717942503
