sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD41276_v2_FINAL_rho05_100	1	0.4	0.0527449505263169	0.853367200365327	2	5	1
PD41276_v2_FINAL_rho05_101	1	0	0	0.975	0	1	1
PD41276_v2_FINAL_rho05_102	1	0	0	0.975	0	1	1
PD41276_v2_FINAL_rho05_103	NA	NA	NA	NA	NA	NA	NA
PD41276_v2_FINAL_rho05_104	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD41276_v2_FINAL_rho05_105	NA	NA	NA	NA	NA	NA	NA
PD41276_v2_FINAL_rho05_106	0.831811904907227	0.545454545454545	0.322104754553172	0.756138134076983	12	22	1
PD41276_v2_FINAL_rho05_107	0.470368531858145	0.550724637681159	0.426185789404792	0.670770152321067	38	69	1
PD41276_v2_FINAL_rho05_108	1	0	0	0.975	0	1	1
PD41276_v2_FINAL_rho05_109	1	1	0.025	1	1	1	1
PD41276_v2_FINAL_rho05_10	0.655465977611478	0.516260162601626	0.451910955087381	0.580212896036321	127	246	1
PD41276_v2_FINAL_rho05_110	1	1	0.025	1	1	1	1
PD41276_v2_FINAL_rho05_111	NA	NA	NA	NA	NA	NA	NA
PD41276_v2_FINAL_rho05_112	NA	NA	NA	NA	NA	NA	NA
PD41276_v2_FINAL_rho05_113	0.9075606176125	0.486486486486487	0.368509118184216	0.60557863822581	36	74	1
PD41276_v2_FINAL_rho05_114	1	0.484848484848485	0.307963443604732	0.664555521611444	16	33	1
PD41276_v2_FINAL_rho05_115	1	0	0	0.975	0	1	1
PD41276_v2_FINAL_rho05_116	0.7265625	0.625	0.244863216366552	0.914766585862746	5	8	1
PD41276_v2_FINAL_rho05_117	1	0.476190476190476	0.257130626406407	0.702193161216357	10	21	1
PD41276_v2_FINAL_rho05_118	0.5	1	0.158113883008419	1	2	2	1
PD41276_v2_FINAL_rho05_119	1	0.555555555555556	0.212008506778868	0.863004337734833	5	9	1
PD41276_v2_FINAL_rho05_11	0.942788999706557	0.494845360824742	0.422468424615925	0.567382209770683	96	194	1
PD41276_v2_FINAL_rho05_120	NA	NA	NA	NA	NA	NA	NA
