sample_name	rl20	genome_span	genome_size	fraction_span
PD41276_v2_FINAL_rho05_100	2	172977253	2881033286	0.0600400050358877
PD41276_v2_FINAL_rho05_101	2	49087372	2881033286	0.0170381134569092
PD41276_v2_FINAL_rho05_102	2	0	2881033286	0
PD41276_v2_FINAL_rho05_103	1	0	2881033286	0
PD41276_v2_FINAL_rho05_104	2	119138487	2881033286	0.041352693694633
PD41276_v2_FINAL_rho05_105	1	0	2881033286	0
PD41276_v2_FINAL_rho05_106	2	306995189	2881033286	0.106557321115241
PD41276_v2_FINAL_rho05_107	3	304432017	2881033286	0.10566765003353
PD41276_v2_FINAL_rho05_108	2	87288762	2881033286	0.0302977277021297
PD41276_v2_FINAL_rho05_109	1	0	2881033286	0
PD41276_v2_FINAL_rho05_10	4	429958741	2881033286	0.14923768603762
PD41276_v2_FINAL_rho05_110	1	53538796	2881033286	0.0185831924470171
PD41276_v2_FINAL_rho05_111	1	0	2881033286	0
PD41276_v2_FINAL_rho05_112	1	-112946932	2881033286	-0.0392036192531515
PD41276_v2_FINAL_rho05_113	3	400798100	2881033286	0.139116094891241
PD41276_v2_FINAL_rho05_114	3	181605246	2881033286	0.0630347614803642
PD41276_v2_FINAL_rho05_115	2	0	2881033286	0
PD41276_v2_FINAL_rho05_116	2	62128374	2881033286	0.0215646151337107
PD41276_v2_FINAL_rho05_117	3	127605975	2881033286	0.0442917392242861
PD41276_v2_FINAL_rho05_118	1	-14503644	2881033286	-0.00503418133711906
PD41276_v2_FINAL_rho05_119	2	69491558	2881033286	0.0241203592952865
PD41276_v2_FINAL_rho05_11	4	431868585	2881033286	0.149900588479352
PD41276_v2_FINAL_rho05_120	1	0	2881033286	0
PD41276_v2_FINAL_rho05_121	2	-44201839	2881033286	-0.0153423562354496
PD41276_v2_FINAL_rho05_122	2	144304282	2881033286	0.0500876830202648
PD41276_v2_FINAL_rho05_123	2	207078097	2881033286	0.071876329234469
PD41276_v2_FINAL_rho05_124	3	547202416	2881033286	0.189932694863005
PD41276_v2_FINAL_rho05_125	3	318780793	2881033286	0.110648077045508
PD41276_v2_FINAL_rho05_126	2	73086163	2881033286	0.0253680383892656
PD41276_v2_FINAL_rho05_127	2	270669625	2881033286	0.0939488017425148
PD41276_v2_FINAL_rho05_128	2	203130749	2881033286	0.0705062138598283
PD41276_v2_FINAL_rho05_129	3	459412779	2881033286	0.159461114605116
PD41276_v2_FINAL_rho05_12	4	424866163	2881033286	0.147470063974818
PD41276_v2_FINAL_rho05_130	3	343014342	2881033286	0.119059485937505
PD41276_v2_FINAL_rho05_131	2	35937967	2881033286	0.0124739853491578
PD41276_v2_FINAL_rho05_132	2	127657628	2881033286	0.0443096678612966
PD41276_v2_FINAL_rho05_133	4	447580486	2881033286	0.155354153030775
PD41276_v2_FINAL_rho05_134	2	0	2881033286	0
PD41276_v2_FINAL_rho05_135	2	176967144	2881033286	0.0614248869875778
PD41276_v2_FINAL_rho05_136	3	499282812	2881033286	0.173299910982007
PD41276_v2_FINAL_rho05_137	2	206943712	2881033286	0.0718296845113229
PD41276_v2_FINAL_rho05_138	3	227854442	2881033286	0.0790877506022678
PD41276_v2_FINAL_rho05_139	3	400325538	2881033286	0.138952069712394
PD41276_v2_FINAL_rho05_13	4	358766703	2881033286	0.124527094061488
PD41276_v2_FINAL_rho05_140	2	169348463	2881033286	0.0587804604073568
PD41276_v2_FINAL_rho05_141	1	0	2881033286	0
PD41276_v2_FINAL_rho05_142	2	58318432	2881033286	0.0202421930643393
PD41276_v2_FINAL_rho05_143	2	155031218	2881033286	0.0538109777326606
PD41276_v2_FINAL_rho05_144	1	144116155	2881033286	0.0500223845730327
PD41276_v2_FINAL_rho05_145	1	-41191711	2881033286	-0.0142975477583566
PD41276_v2_FINAL_rho05_146	2	31935084	2881033286	0.0110845939042719
PD41276_v2_FINAL_rho05_147	1	0	2881033286	0
PD41276_v2_FINAL_rho05_148	1	-10312974	2881033286	-0.00357960945821575
PD41276_v2_FINAL_rho05_149	1	34613677	2881033286	0.0120143273485248
PD41276_v2_FINAL_rho05_14	5	460855778	2881033286	0.159961976225498
PD41276_v2_FINAL_rho05_150	1	0	2881033286	0
PD41276_v2_FINAL_rho05_151	2	89806295	2881033286	0.0311715575923408
PD41276_v2_FINAL_rho05_152	2	219099461	2881033286	0.0760489169162622
PD41276_v2_FINAL_rho05_153	2	190422751	2881033286	0.0660952971023744
PD41276_v2_FINAL_rho05_154	2	159124199	2881033286	0.0552316419852707
PD41276_v2_FINAL_rho05_155	2	127020063	2881033286	0.0440883705222141
PD41276_v2_FINAL_rho05_156	3	356584248	2881033286	0.123769568971235
PD41276_v2_FINAL_rho05_157	4	315514949	2881033286	0.109514510135375
PD41276_v2_FINAL_rho05_158	3	247004202	2881033286	0.0857345880730654
PD41276_v2_FINAL_rho05_159	2	118626414	2881033286	0.0411749543389344
PD41276_v2_FINAL_rho05_15	4	419642405	2881033286	0.145656909636968
PD41276_v2_FINAL_rho05_160	1	229727133	2881033286	0.0797377573235022
PD41276_v2_FINAL_rho05_161	2	193131371	2881033286	0.0670354528489818
PD41276_v2_FINAL_rho05_162	4	301303341	2881033286	0.104581693819417
PD41276_v2_FINAL_rho05_163	1	96287250	2881033286	0.0334210821054707
