sample_name	p.value	sd	nr_total_runs	fdr
PD41276_v2_FINAL_rho05_100	0.0338948535246893	1.4142135623731	4	0.981183980440953
PD41276_v2_FINAL_rho05_101	0.326109452020489	1.22202018532156	4	0.981183980440953
PD41276_v2_FINAL_rho05_102	0.574149072797162	1.42361043360417	5	0.981183980440953
PD41276_v2_FINAL_rho05_103	0.512690760261923	0.916515138991168	4	0.981183980440953
PD41276_v2_FINAL_rho05_104	1	1.09544511501033	4	1
PD41276_v2_FINAL_rho05_105	0.317310507862914	0.5	3	0.981183980440953
PD41276_v2_FINAL_rho05_106	0.426520795647192	3.15936047263901	24	0.981183980440953
PD41276_v2_FINAL_rho05_107	0.088818194088478	4.71433710479358	54	0.981183980440953
PD41276_v2_FINAL_rho05_108	0.574149072797162	1.42361043360417	5	0.981183980440953
PD41276_v2_FINAL_rho05_109	0.126630457947617	0.916515138991168	2	0.981183980440953
PD41276_v2_FINAL_rho05_10	0.651798944077456	8.11433255645496	138	0.981183980440953
PD41276_v2_FINAL_rho05_110	0.62762580502836	1.1780301787479	5	0.981183980440953
PD41276_v2_FINAL_rho05_111	0.317310507862914	0.5	3	0.981183980440953
PD41276_v2_FINAL_rho05_112	0.157299207050285	0.471404520791032	2	0.981183980440953
PD41276_v2_FINAL_rho05_113	0.888062555232137	4.7363222586741	47	0.984626308608715
PD41276_v2_FINAL_rho05_114	0.908028887986831	3.59310802528616	27	0.99334703853593
PD41276_v2_FINAL_rho05_115	0.479500122186954	0.471404520791031	2	0.981183980440953
PD41276_v2_FINAL_rho05_116	0.822523756521408	2.11183185765672	10	0.981183980440953
PD41276_v2_FINAL_rho05_117	0.874280691375432	3.07905908764678	20	0.982812087546176
PD41276_v2_FINAL_rho05_118	0.321460949540953	1.55876619995293	8	0.981183980440953
PD41276_v2_FINAL_rho05_119	0.77331153981642	2.20924322065913	11	0.981183980440953
PD41276_v2_FINAL_rho05_11	0.732672072026923	7.24418148682029	105	0.981183980440953
PD41276_v2_FINAL_rho05_120	0.512690760261923	0.916515138991168	4	0.981183980440953
PD41276_v2_FINAL_rho05_121	0.527232152188188	2.33814428865196	11	0.981183980440953
PD41276_v2_FINAL_rho05_122	0.460499277772553	1.97086212624353	12	0.981183980440953
PD41276_v2_FINAL_rho05_123	0.312610140450211	4.07784602179286	39	0.981183980440953
PD41276_v2_FINAL_rho05_124	0.832589958059051	5.44041250598648	62	0.981183980440953
PD41276_v2_FINAL_rho05_125	0.496237040934791	7.22240435691979	101	0.981183980440953
PD41276_v2_FINAL_rho05_126	1	1.49071198499986	6	1
PD41276_v2_FINAL_rho05_127	0.272429484212782	2.06213126384774	8	0.981183980440953
PD41276_v2_FINAL_rho05_128	0.632380710917268	1.62586215327959	9	0.981183980440953
PD41276_v2_FINAL_rho05_129	0.134855496018618	5.04518368471561	60	0.981183980440953
PD41276_v2_FINAL_rho05_12	0.190853075951275	9.17841713501678	182	0.981183980440953
PD41276_v2_FINAL_rho05_130	0.894016525607913	6.15891368412044	79	0.984626308608715
PD41276_v2_FINAL_rho05_131	0.399644762153253	2.06213126384774	12	0.981183980440953
PD41276_v2_FINAL_rho05_132	0.818117760239889	1.44948615067896	6	0.981183980440953
PD41276_v2_FINAL_rho05_133	0.0926938556939877	7.04193669112475	89	0.981183980440953
PD41276_v2_FINAL_rho05_134	1	1.09544511501033	4	1
PD41276_v2_FINAL_rho05_135	0.473216317722768	2.35942024771456	15	0.981183980440953
PD41276_v2_FINAL_rho05_136	0.121762362558711	5.65706442181585	57	0.981183980440953
PD41276_v2_FINAL_rho05_137	0.0312416503890156	3.27089889025318	30	0.981183980440953
PD41276_v2_FINAL_rho05_138	0.701704845916387	5.0168869117881	50	0.981183980440953
PD41276_v2_FINAL_rho05_139	0.819692593141465	4.38711217622176	39	0.981183980440953
PD41276_v2_FINAL_rho05_13	0.862951923744606	8.77408832263939	157	0.982812087546176
PD41276_v2_FINAL_rho05_140	0.173450297730876	3.3762434479912	29	0.981183980440953
PD41276_v2_FINAL_rho05_141	NA	0	1	NA
PD41276_v2_FINAL_rho05_142	0.825583091139696	3.42652088827005	26	0.981183980440953
PD41276_v2_FINAL_rho05_143	0.802518326823727	2.36952442169655	13	0.981183980440953
PD41276_v2_FINAL_rho05_144	0.176799401644711	1.21151499992419	7	0.981183980440953
PD41276_v2_FINAL_rho05_145	0.313438976602581	1.78565714194283	10	0.981183980440953
PD41276_v2_FINAL_rho05_146	0.0390763489006931	1.71488436996984	11	0.981183980440953
PD41276_v2_FINAL_rho05_147	NA	0	2	NA
PD41276_v2_FINAL_rho05_148	0.723673609831763	0.942809041582063	4	0.981183980440953
PD41276_v2_FINAL_rho05_149	0.687971316180641	1.3833221775543	6	0.981183980440953
PD41276_v2_FINAL_rho05_14	0.775857493537154	8.77482593543667	153	0.981183980440953
PD41276_v2_FINAL_rho05_150	0.662520583540058	0.916515138991168	3	0.981183980440953
PD41276_v2_FINAL_rho05_151	0.317310507862914	0.5	2	0.981183980440953
PD41276_v2_FINAL_rho05_152	0.637563783891997	1.95284407979746	12	0.981183980440953
PD41276_v2_FINAL_rho05_153	0.695674740181429	1.61460706874997	9	0.981183980440953
PD41276_v2_FINAL_rho05_154	0.543889283185865	2.71057332859385	18	0.981183980440953
PD41276_v2_FINAL_rho05_155	0.939279468309099	1.6409473889596	8	1
PD41276_v2_FINAL_rho05_156	0.421318800965814	5.46760457747141	57	0.981183980440953
PD41276_v2_FINAL_rho05_157	0.398249469603752	4.47526493842796	38	0.981183980440953
PD41276_v2_FINAL_rho05_158	0.785237161901223	4.47526493842796	43	0.981183980440953
PD41276_v2_FINAL_rho05_159	0.80159349660429	1.85711843695788	8	0.981183980440953
PD41276_v2_FINAL_rho05_15	0.504330699498741	8.48007069901376	140	0.981183980440953
PD41276_v2_FINAL_rho05_160	0.3940662072797	1.71488436996984	6	0.981183980440953
PD41276_v2_FINAL_rho05_161	0.688650227805277	2.26882782357636	11	0.981183980440953
PD41276_v2_FINAL_rho05_162	0.819584266998694	6.86061369575811	95	0.981183980440953
PD41276_v2_FINAL_rho05_163	0.818117760239889	1.44948615067896	6	0.981183980440953
PD41276_v2_FINAL_rho05_164	0.399075196548237	2.80292792605834	15	0.981183980440953
PD41276_v2_FINAL_rho05_165	0.959386776533969	4.41842463620494	41	1
PD41276_v2_FINAL_rho05_166	0.515560961225433	1.75769222181382	9	0.981183980440953
PD41276_v2_FINAL_rho05_167	0.286984225050965	5.36018747760807	55	0.981183980440953
PD41276_v2_FINAL_rho05_168	0.760371393741132	5.28083872543662	59	0.981183980440953
PD41276_v2_FINAL_rho05_16	0.589358253795007	7.89038633633125	122	0.981183980440953
PD41276_v2_FINAL_rho05_17	0.535468789333885	9.68242393893871	183	0.981183980440953
PD41276_v2_FINAL_rho05_18	0.848911693172377	9.49709093183578	185	0.981183980440953
PD41276_v2_FINAL_rho05_19	0.977858135509992	9.34123710021399	176	1
PD41276_v2_FINAL_rho05_1	0.745649115922142	7.71342061267322	123	0.981183980440953
PD41276_v2_FINAL_rho05_20	0.110132590936661	8.25785440958123	125	0.981183980440953
PD41276_v2_FINAL_rho05_21	0.384792849584978	8.383644471307	135	0.981183980440953
PD41276_v2_FINAL_rho05_22	0.284379833401123	8.88735134417829	169	0.981183980440953
PD41276_v2_FINAL_rho05_23	0.126826496203677	8.55499474349269	161	0.981183980440953
PD41276_v2_FINAL_rho05_24	0.230729316842341	8.31987520844453	130	0.981183980440953
PD41276_v2_FINAL_rho05_25	0.0558420278298719	10.1979507745993	229	0.981183980440953
PD41276_v2_FINAL_rho05_26	0.804083964161925	9.21753535108555	174	0.981183980440953
PD41276_v2_FINAL_rho05_27	0.768383778114086	10.3299255847913	218	0.981183980440953
PD41276_v2_FINAL_rho05_28	0.840176996683064	9.67995181311717	187	0.981183980440953
PD41276_v2_FINAL_rho05_29	0.730988546104623	10.1483248671031	204	0.981183980440953
PD41276_v2_FINAL_rho05_2	0.0602872003050656	7.98429831656127	144	0.981183980440953
PD41276_v2_FINAL_rho05_30	0.383324596402306	9.88109865416595	206	0.981183980440953
