sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD41305_v3_FINAL_100	0.429590507843387	0.425	0.270429031268863	0.591099419573037	17	40	1
PD41305_v3_FINAL_101	0.75390625	0.6	0.262378076606945	0.878447741880173	6	10	1
PD41305_v3_FINAL_102	0.522397380496841	0.435897435897436	0.278107629676409	0.603791982985729	17	39	1
PD41305_v3_FINAL_103	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD41305_v3_FINAL_104	0.596614895854146	0.4375	0.263638124410985	0.623374268409906	14	32	1
PD41305_v3_FINAL_105	0.263175964355469	0.35	0.153909204784541	0.592188534532828	7	20	1
PD41305_v3_FINAL_106	0.49756414159661	0.532374100719424	0.445916652449184	0.617422696714157	74	139	1
PD41305_v3_FINAL_107	0.202638751064541	0.4	0.264078395094537	0.54820597152082	20	50	1
PD41305_v3_FINAL_108	0.7265625	0.625	0.244863216366552	0.914766585862746	5	8	1
PD41305_v3_FINAL_109	0.0143432765653796	0.414746543778802	0.34846114046358	0.483394089718391	90	217	1
PD41305_v3_FINAL_10	0.351258339979523	0.47935368043088	0.437172895791518	0.52175454413567	267	557	1
PD41305_v3_FINAL_110	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD41305_v3_FINAL_111	0.366294006703292	0.433333333333333	0.305881426842173	0.567590346445384	26	60	1
PD41305_v3_FINAL_112	0.0769258336096096	0.619047619047619	0.487963397200691	0.738548689752857	39	63	1
PD41305_v3_FINAL_113	0.562741861258869	0.487179487179487	0.445973741822942	0.528515280219855	285	585	1
PD41305_v3_FINAL_114	NA	NA	NA	NA	NA	NA	NA
PD41305_v3_FINAL_115	NA	NA	NA	NA	NA	NA	NA
PD41305_v3_FINAL_116	1	0.49802371541502	0.434776695092577	0.56131757132827	126	253	1
PD41305_v3_FINAL_117	0.548828125	0.363636363636364	0.109263443819098	0.692095284988323	4	11	1
PD41305_v3_FINAL_118	1	0.5	0.0125791170934251	0.987420882906575	1	2	1
PD41305_v3_FINAL_119	0.410102716374692	0.566037735849057	0.42282583237903	0.701607879512448	30	53	1
PD41305_v3_FINAL_11	0.864710797812208	0.50453720508167	0.461954722237916	0.547070792270173	278	551	1
PD41305_v3_FINAL_120	1	0.5	0.230360541448062	0.769639458551938	7	14	1
PD41305_v3_FINAL_121	1	1	0.025	1	1	1	1
PD41305_v3_FINAL_122	0.2265625	0.272727272727273	0.0602177341729066	0.609742559572421	3	11	1
PD41305_v3_FINAL_123	0.625	0.25	0.00630946320970987	0.805879550316757	1	4	1
PD41305_v3_FINAL_124	1	1	0.025	1	1	1	1
PD41305_v3_FINAL_125	0.629058837890625	0.588235294117647	0.329247153946757	0.815563038216053	10	17	1
PD41305_v3_FINAL_126	1	0	0	0.975	0	1	1
PD41305_v3_FINAL_127	1	0.521739130434783	0.305878001491373	0.731803813824447	12	23	1
PD41305_v3_FINAL_128	0.880395821280674	0.522727272727273	0.366897516592835	0.675385783602917	23	44	1
PD41305_v3_FINAL_129	1	0.473684210526316	0.244474689466196	0.711356752083001	9	19	1
PD41305_v3_FINAL_12	0.460620984091497	0.487064116985377	0.453734647301744	0.520479572367084	433	889	1
PD41305_v3_FINAL_130	1	0.5	0.387474845214576	0.612525154785424	41	82	1
