sample_name	rl20	genome_span	genome_size	fraction_span
PD41305_v3_FINAL_100	3	321589057	2881033286	0.111622818994393
PD41305_v3_FINAL_101	2	214043049	2881033286	0.0742938479885373
PD41305_v3_FINAL_102	3	194885015	2881033286	0.0676441386314479
PD41305_v3_FINAL_103	1	126705055	2881033286	0.0439790319729058
PD41305_v3_FINAL_104	3	291469646	2881033286	0.101168440995235
PD41305_v3_FINAL_105	3	241806684	2881033286	0.0839305415786161
PD41305_v3_FINAL_106	3	326806488	2881033286	0.113433777245155
PD41305_v3_FINAL_107	4	260599788	2881033286	0.090453584575489
PD41305_v3_FINAL_108	2	63112044	2881033286	0.0219060447189849
PD41305_v3_FINAL_109	6	452898642	2881033286	0.157200072696418
PD41305_v3_FINAL_10	5	551477617	2881033286	0.19141660725679
PD41305_v3_FINAL_110	1	215733795	2881033286	0.0748807020204625
PD41305_v3_FINAL_111	4	313253933	2881033286	0.108729716703454
PD41305_v3_FINAL_112	3	219142176	2881033286	0.0760637431941146
PD41305_v3_FINAL_113	4	491133562	2881033286	0.170471325127203
PD41305_v3_FINAL_114	1	0	2881033286	0
PD41305_v3_FINAL_115	1	0	2881033286	0
PD41305_v3_FINAL_116	4	411268657	2881033286	0.142750401044828
PD41305_v3_FINAL_117	2	191895417	2881033286	0.0666064560699421
PD41305_v3_FINAL_118	2	18233385	2881033286	0.00632876582460978
PD41305_v3_FINAL_119	3	276131709	2881033286	0.0958446784845651
PD41305_v3_FINAL_11	4	507971341	2881033286	0.17631567933228
PD41305_v3_FINAL_120	2	143966169	2881033286	0.0499703247788162
PD41305_v3_FINAL_121	1	-128814713	2881033286	-0.0447112893925794
PD41305_v3_FINAL_122	2	171078897	2881033286	0.059381090052425
PD41305_v3_FINAL_123	2	172047748	2881033286	0.0597173759970228
PD41305_v3_FINAL_124	1	120222380	2881033286	0.0417289104517483
PD41305_v3_FINAL_125	2	134009266	2881033286	0.0465143067423762
PD41305_v3_FINAL_126	2	68494540	2881033286	0.0237742966500388
PD41305_v3_FINAL_127	2	122749250	2881033286	0.0426059811930962
PD41305_v3_FINAL_128	3	353051860	2881033286	0.122543485254269
PD41305_v3_FINAL_129	2	194015892	2881033286	0.0673424680453345
PD41305_v3_FINAL_12	4	577801684	2881033286	0.200553630118663
PD41305_v3_FINAL_130	3	395343691	2881033286	0.137222882123966
PD41305_v3_FINAL_131	2	245978740	2881033286	0.0853786525811073
PD41305_v3_FINAL_132	4	496284195	2881033286	0.17225909794643
PD41305_v3_FINAL_133	4	559171012	2881033286	0.194086966893863
PD41305_v3_FINAL_134	1	0	2881033286	0
PD41305_v3_FINAL_135	1	0	2881033286	0
PD41305_v3_FINAL_136	1	0	2881033286	0
PD41305_v3_FINAL_137	1	0	2881033286	0
PD41305_v3_FINAL_138	1	0	2881033286	0
PD41305_v3_FINAL_139	5	400448770	2881033286	0.138994843254997
PD41305_v3_FINAL_13	4	436265061	2881033286	0.151426595145558
PD41305_v3_FINAL_140	1	31407089	2881033286	0.0109013280591441
PD41305_v3_FINAL_141	1	110280897	2881033286	0.0382782446616967
PD41305_v3_FINAL_142	2	159408374	2881033286	0.0553302784714859
PD41305_v3_FINAL_143	3	242209351	2881033286	0.0840703063643812
PD41305_v3_FINAL_144	4	234940509	2881033286	0.0815473080931284
PD41305_v3_FINAL_145	4	293785858	2881033286	0.101972392831285
PD41305_v3_FINAL_146	4	254924452	2881033286	0.0884836885567312
PD41305_v3_FINAL_147	2	112968230	2881033286	0.0392110117397651
PD41305_v3_FINAL_148	4	311856647	2881033286	0.1082447219598
PD41305_v3_FINAL_149	3	425118249	2881033286	0.147557562443241
PD41305_v3_FINAL_14	4	472030863	2881033286	0.163840822420821
PD41305_v3_FINAL_150	1	0	2881033286	0
PD41305_v3_FINAL_151	1	0	2881033286	0
PD41305_v3_FINAL_152	4	359516464	2881033286	0.124787334373061
PD41305_v3_FINAL_153	1	0	2881033286	0
PD41305_v3_FINAL_154	5	490798577	2881033286	0.17035505260733
PD41305_v3_FINAL_155	3	323438111	2881033286	0.112264621367516
PD41305_v3_FINAL_156	5	375055676	2881033286	0.130180958971399
PD41305_v3_FINAL_157	2	79987053	2881033286	0.0277633213710812
PD41305_v3_FINAL_158	1	0	2881033286	0
PD41305_v3_FINAL_159	1	0	2881033286	0
