sample_name	p.value	sd	nr_total_runs	fdr
PD41305_v3_FINAL_100	0.258248429610559	3.6601342892314	25	0.832998853978393
PD41305_v3_FINAL_101	0.968038317059173	2.26882782357636	12	0.98310863799282
PD41305_v3_FINAL_102	0.919483795152966	3.62734695763113	29	0.971507111668818
PD41305_v3_FINAL_103	0.924607096069377	1.62572999837409	7	0.971507111668818
PD41305_v3_FINAL_104	0.679141258894405	3.60357600959932	26	0.903986403680671
PD41305_v3_FINAL_105	0.0238892472061607	3.00564715181736	13	0.722090489216144
PD41305_v3_FINAL_106	0.402058266000332	6.24686690453752	86	0.832998853978393
PD41305_v3_FINAL_107	0.160827584206809	4.19946920990395	31	0.821308706005161
PD41305_v3_FINAL_108	0.735316690637341	1.97202659436654	11	0.928186642279922
PD41305_v3_FINAL_109	0.0212798454366103	7.63864643755387	102	0.722090489216144
PD41305_v3_FINAL_10	0.480554681536991	11.9557795658922	281	0.832998853978393
PD41305_v3_FINAL_110	0.501570005898992	1.78565714194283	7	0.839584575091792
PD41305_v3_FINAL_111	0.468371742593132	4.1909138461531	35	0.832998853978393
PD41305_v3_FINAL_112	0.0616376841387349	4.57647418864576	52	0.821308706005161
PD41305_v3_FINAL_113	0.429782380699055	12.2652619577386	294	0.832998853978393
PD41305_v3_FINAL_114	0.317310507862914	0.5	3	0.832998853978393
PD41305_v3_FINAL_115	NA	NA	1	NA
PD41305_v3_FINAL_116	0.743357318127198	8.25865371587695	136	0.93070753651698
PD41305_v3_FINAL_117	0.423339641582444	2.49799919935936	12	0.832998853978393
PD41305_v3_FINAL_118	0.303076997296625	1.21376039056903	6	0.832998853978393
PD41305_v3_FINAL_119	0.0141046862322043	3.81372277368716	43	0.722090489216144
PD41305_v3_FINAL_11	0.63843957186303	11.8919860612341	292	0.896686285641852
PD41305_v3_FINAL_120	0.483987591321721	2.38128076553169	16	0.832998853978393
PD41305_v3_FINAL_121	0.157299207050285	0.471404520791032	2	0.821308706005161
PD41305_v3_FINAL_122	0.374742305094106	2.25320284859643	11	0.832998853978393
PD41305_v3_FINAL_123	0.495378923194362	1.81186974485429	10	0.83833356232892
PD41305_v3_FINAL_124	0.879257207124831	0.940400840863405	4	0.971507111668818
PD41305_v3_FINAL_125	0.632848774863246	2.49842128439648	14	0.896686285641852
PD41305_v3_FINAL_126	0.836813204747523	1.21376039056903	5	0.965827267681467
PD41305_v3_FINAL_127	0.447091625777462	3.14392987556383	19	0.832998853978393
PD41305_v3_FINAL_128	0.975919358887356	4.0156154897514	34	0.98310863799282
PD41305_v3_FINAL_129	0.28914038107832	2.77120217449674	14	0.832998853978393
PD41305_v3_FINAL_12	0.344764858290926	15.0916625436885	443	0.832998853978393
PD41305_v3_FINAL_130	0.843768734214842	5.07420661931833	52	0.965827267681467
PD41305_v3_FINAL_131	0.684757006124983	3.67236721907485	27	0.903986403680671
PD41305_v3_FINAL_132	0.634992182288312	10.5703161866805	230	0.896686285641852
PD41305_v3_FINAL_133	0.112167120494142	14.9340915621167	472	0.821308706005161
PD41305_v3_FINAL_134	NA	0	2	NA
PD41305_v3_FINAL_135	NA	0	1	NA
PD41305_v3_FINAL_136	NA	0	2	NA
PD41305_v3_FINAL_137	NA	0	2	NA
PD41305_v3_FINAL_138	0.317310507862914	0.5	3	0.832998853978393
PD41305_v3_FINAL_139	0.139569872725586	10.3587379690048	201	0.821308706005161
PD41305_v3_FINAL_13	0.0328222949643702	13.7951991826715	412	0.722090489216144
PD41305_v3_FINAL_140	0.3940662072797	1.71488436996984	6	0.832998853978393
PD41305_v3_FINAL_141	0.33113745926897	2.05798302171011	12	0.832998853978393
PD41305_v3_FINAL_142	0.377612925255923	2.15345499629146	9	0.832998853978393
PD41305_v3_FINAL_143	0.140574370349091	3.5721720225023	22	0.821308706005161
PD41305_v3_FINAL_144	0.486817512065294	4.57565723349742	41	0.832998853978393
PD41305_v3_FINAL_145	0.463259675628519	4.71243252422723	43	0.832998853978393
PD41305_v3_FINAL_146	0.644137775352158	4.32974210163454	41	0.896686285641852
PD41305_v3_FINAL_147	0.596649598280755	2.77875974394788	16	0.888849007653689
PD41305_v3_FINAL_148	0.096576803258327	4.32202045449202	32	0.821308706005161
PD41305_v3_FINAL_149	0.165328375884156	5.09266501846479	61	0.821308706005161
PD41305_v3_FINAL_14	0.976724815668192	14.7624665130991	437	0.98310863799282
PD41305_v3_FINAL_150	NA	NA	1	NA
PD41305_v3_FINAL_151	NA	NA	1	NA
PD41305_v3_FINAL_152	0.710605605587602	7.69063835541335	123	0.911943860504089
PD41305_v3_FINAL_153	NA	0	1	NA
PD41305_v3_FINAL_154	0.123827302870137	8.56967316565295	136	0.821308706005161
PD41305_v3_FINAL_155	0.859209971898448	4.30239148426095	38	0.965827267681467
PD41305_v3_FINAL_156	0.473913736533639	9.09752305727919	161	0.832998853978393
PD41305_v3_FINAL_157	0.507599103370726	2.22794048862659	10	0.840540450742923
PD41305_v3_FINAL_158	NA	NA	1	NA
PD41305_v3_FINAL_159	NA	0	1	NA
PD41305_v3_FINAL_15	0.0800803919691562	13.9240681793429	414	0.821308706005161
PD41305_v3_FINAL_160	NA	NA	1	NA
PD41305_v3_FINAL_161	0.317310507862914	0.5	2	0.832998853978393
PD41305_v3_FINAL_162	NA	0	1	NA
PD41305_v3_FINAL_163	0.414216178242525	0.489897948556636	3	0.832998853978393
PD41305_v3_FINAL_164	0.768017586851201	10.825565772316	233	0.946197667000679
PD41305_v3_FINAL_165	0.834929914499651	6.69730386390587	93	0.965827267681467
PD41305_v3_FINAL_166	0.0808555983700523	0.916515138991168	5	0.821308706005161
PD41305_v3_FINAL_167	NA	NA	1	NA
PD41305_v3_FINAL_168	0.280087210811497	0.925820099772551	5	0.832998853978393
PD41305_v3_FINAL_169	0.536631778968687	1.21376039056903	4	0.843278509807936
PD41305_v3_FINAL_16	0.206093871952204	13.2296305329166	369	0.832998853978393
PD41305_v3_FINAL_170	1	0.816496580927726	3	1
PD41305_v3_FINAL_171	NA	0	2	NA
PD41305_v3_FINAL_172	NA	0	1	NA
PD41305_v3_FINAL_17	0.268076371915011	12.3459697164223	293	0.832998853978393
PD41305_v3_FINAL_18	0.386989287884004	11.2693678706233	246	0.832998853978393
PD41305_v3_FINAL_19	0.696692589948419	16.6201191133216	548	0.909242871627597
PD41305_v3_FINAL_1	0.805403905421841	17.1089492632075	584	0.965827267681467
PD41305_v3_FINAL_20	0.812757684562506	14.4716135320602	417	0.965827267681467
PD41305_v3_FINAL_21	0.951574382982457	13.6410454942896	373	0.976949699861989
PD41305_v3_FINAL_22	0.069417390082173	14.2710009288114	383	0.821308706005161
PD41305_v3_FINAL_23	0.0674324453768695	13.9293626386015	416	0.821308706005161
PD41305_v3_FINAL_24	0.676711648107431	14.4814228761493	427	0.903986403680671
PD41305_v3_FINAL_25	0.259492738075594	12.6599747795219	308	0.832998853978393
