sample_name	rl20	genome_span	genome_size	fraction_span
PD48367c_10	5	519472433	2881033286	0.180307681804409
PD48367c_11	4	432381243	2881033286	0.150078530887199
PD48367c_12	4	458737843	2881033286	0.15922684587824
PD48367c_13	4	422804411	2881033286	0.146754434617108
PD48367c_14	5	432900964	2881033286	0.150258924846035
PD48367c_15	4	474706298	2881033286	0.164769459730567
PD48367c_16	4	475354567	2881033286	0.164994472403329
PD48367c_17	4	422647798	2881033286	0.146700074606497
PD48367c_19	4	192522690	2881033286	0.0668241810795934
PD48367c_1	4	402053743	2881033286	0.13955192567671
PD48367c_20	4	486715012	2881033286	0.168937656626575
PD48367c_21	5	406733853	2881033286	0.141176381049282
PD48367c_22	4	324889578	2881033286	0.112768422211141
PD48367c_23	4	490806660	2881033286	0.170357858197963
PD48367c_24	5	494803547	2881033286	0.171745168445097
PD48367c_25	4	459269319	2881033286	0.159411319970428
PD48367c_26	4	467418634	2881033286	0.162239928386582
PD48367c_27	5	483601169	2881033286	0.167856848912505
PD48367c_28	4	505044990	2881033286	0.175299949658409
PD48367c_29	4	467709937	2881033286	0.162341038985136
PD48367c_2	4	450566934	2881033286	0.156390742234555
PD48367c_30	4	23616272	2881033286	0.00819715347086066
PD48367c_31	5	520498011	2881033286	0.1806636575597
PD48367c_32	4	397319524	2881033286	0.1379086891952
PD48367c_33	4	458983747	2881033286	0.159312198588739
PD48367c_34	4	271778159	2881033286	0.0943335713338232
PD48367c_35	5	531214293	2881033286	0.1843832542933
PD48367c_3	4	432597535	2881033286	0.150153605340886
PD48367c_4	4	23087729	2881033286	0.00801369741619847
PD48367c_5	5	541297378	2881033286	0.18788306981053
PD48367c_6	4	407287090	2881033286	0.141368408334315
PD48367c_7	4	415272887	2881033286	0.144140260030304
PD48367c_8	4	516322543	2881033286	0.179214362259888
PD48367c_9	4	514253493	2881033286	0.178496199783233
