sample_name	rl20	genome_span	genome_size	fraction_span
PD48367d_10	4	442126843	2881033286	0.153461206140331
PD48367d_11	4	433503478	2881033286	0.150468056063966
PD48367d_12	4	329991112	2881033286	0.11453915288086
PD48367d_13	4	483149090	2881033286	0.167699933335654
PD48367d_14	4	406328695	2881033286	0.141035751643169
PD48367d_15	4	460933641	2881033286	0.159989002292978
PD48367d_17	4	503369306	2881033286	0.174718323611899
PD48367d_18	4	449896356	2881033286	0.156157986159414
PD48367d_19	4	416118245	2881033286	0.144433681839801
PD48367d_1	4	468129859	2881033286	0.162486792941552
PD48367d_20	4	470971156	2881033286	0.16347300056845
PD48367d_21	4	458085858	2881033286	0.159000543390459
PD48367d_22	5	337203995	2881033286	0.117042727912447
PD48367d_23	5	453597764	2881033286	0.157442736328038
PD48367d_24	4	362615812	2881033286	0.125863110906106
PD48367d_25	4	472395834	2881033286	0.163967503012043
PD48367d_26	4	455851533	2881033286	0.158225014342996
PD48367d_27	4	402869401	2881033286	0.139835038684798
PD48367d_28	3	212802301	2881033286	0.0738631872231691
PD48367d_29	5	456280401	2881033286	0.158373873435352
PD48367d_2	5	449251518	2881033286	0.155934164378828
PD48367d_30	4	447422640	2881033286	0.155299365048711
PD48367d_31	4	299034481	2881033286	0.10379417775321
PD48367d_3	4	427925307	2881033286	0.148531885792312
PD48367d_4	4	469374770	2881033286	0.162918898674606
PD48367d_5	3	366464207	2881033286	0.127198879922972
PD48367d_6	4	482719428	2881033286	0.167550798647732
PD48367d_7	4	418574649	2881033286	0.145286293995286
PD48367d_8	4	434053395	2881033286	0.150658930984666
PD48367d_9	4	425948973	2881033286	0.147845904825134
