sample_name	rl20	genome_span	genome_size	fraction_span
PD48367e_10	4	430431146	2881033286	0.149401656722129
PD48367e_11	4	394491020	2881033286	0.136926921989058
PD48367e_12	3	447382033	2881033286	0.15528527045279
PD48367e_13	4	382634269	2881033286	0.132811471099401
PD48367e_14	5	463663834	2881033286	0.160936645978064
PD48367e_15	4	339398285	2881033286	0.117804360903868
PD48367e_16	4	422083471	2881033286	0.146504198008075
PD48367e_17	3	338808178	2881033286	0.117599536126984
PD48367e_18	4	400380920	2881033286	0.138971292676693
PD48367e_19	4	455372999	2881033286	0.158058916296741
PD48367e_1	5	454324862	2881033286	0.15769511036465
PD48367e_20	5	524739376	2881033286	0.182135825556026
PD48367e_21	4	455291724	2881033286	0.158030705931941
PD48367e_22	4	472100638	2881033286	0.16386504116218
PD48367e_24	4	331187729	2881033286	0.114954495878046
PD48367e_25	5	343290448	2881033286	0.119155321692455
PD48367e_26	4	543062570	2881033286	0.188495763877127
PD48367e_27	4	468049666	2881033286	0.162458958136452
PD48367e_28	4	360015106	2881033286	0.124960411859677
PD48367e_29	5	215746162	2881033286	0.0748849945776017
PD48367e_2	4	473326591	2881033286	0.164290566617216
PD48367e_30	5	441004888	2881033286	0.153071778150917
PD48367e_31	4	425347120	2881033286	0.147637003038777
PD48367e_32	4	377384141	2881033286	0.130989163795451
PD48367e_33	4	372621931	2881033286	0.129336211702484
PD48367e_34	4	446166040	2881033286	0.154863202090752
PD48367e_35	4	444377670	2881033286	0.154242462993883
PD48367e_36	4	454127317	2881033286	0.157626542951368
PD48367e_3	4	457251380	2881033286	0.158710898003835
PD48367e_4	4	406618466	2881033286	0.141136330488061
PD48367e_5	5	475920247	2881033286	0.165190818624926
PD48367e_6	4	399496170	2881033286	0.138664197994969
PD48367e_7	4	449945090	2881033286	0.156174901618266
PD48367e_8	4	351000608	2881033286	0.121831500422311
PD48367e_9	4	449214218	2881033286	0.15592121763497
