sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD48367f_10	0.0314219144901498	0.420512820512821	0.350350648330843	0.493129480620124	82	195	0.722704033273446
PD48367f_11	0.627102570157149	0.447368421052632	0.286241499000596	0.61700924883571	17	38	1
PD48367f_12	0.958879595349973	0.497340425531915	0.445666274188687	0.549056766586283	187	376	1
PD48367f_13	0.212450064677288	0.526770293609672	0.48519036251951	0.568075821663643	305	579	1
PD48367f_14	0.374247157133389	0.518760195758564	0.47838232827474	0.558956546485655	318	613	1
PD48367f_15	0.311869876236442	0.536363636363636	0.468088864787966	0.603645311324698	118	220	1
PD48367f_16	0.948027471164109	0.500944287063267	0.479425536023777	0.522460421352226	1061	2118	1
PD48367f_17	1	0.501930501930502	0.439390146308209	0.564426181259918	130	259	1
PD48367f_18	0.898770656330704	0.506072874493927	0.441952802197186	0.570045481420561	125	247	1
PD48367f_1	0.418715836686029	0.518115942028985	0.475525232847642	0.560511777204315	286	552	1
PD48367f_20	0.131924290824261	0.424778761061947	0.332304312874134	0.521294592202559	48	113	1
PD48367f_21	0.757971479014158	0.498024916438772	0.485872948438017	0.510178635515122	3278	6582	1
PD48367f_22	0.740673940569265	0.496362858365426	0.475893136108153	0.516841709447092	1160	2337	1
PD48367f_23	0.945006241922765	0.504761904761905	0.435111532400032	0.574275960108264	106	210	1
PD48367f_24	0.885577999413115	0.507772020725389	0.435007052663407	0.580294608588618	98	193	1
PD48367f_2	0.697556310671679	0.497206703910615	0.483513710887339	0.510902840100288	2581	5191	1
PD48367f_3	0.634583149549561	0.490641711229947	0.454245355045366	0.527112120426333	367	748	1
PD48367f_4	0.580792219922536	0.492753623188406	0.467874205871904	0.517659893533751	782	1587	1
PD48367f_5	0.108188782524103	0.489067055393586	0.475759377410146	0.502386367181388	2684	5488	1
PD48367f_6	0.855027615154904	0.498813056379822	0.48680478869674	0.510822351623879	3362	6740	1
PD48367f_7	0.233647805230328	0.492535016161305	0.480307077123314	0.504769660460669	3200	6497	1
PD48367f_8	0.61282675254525	0.506387921022067	0.482489925157016	0.53026411369033	872	1722	1
PD48367f_9	0.699184579277003	0.502663352272727	0.489517926021108	0.515806017206036	2831	5632	1
