sample_name	rl20	genome_span	genome_size	fraction_span
PD48367f_10	4	386690754	2881033286	0.134219467674696
PD48367f_11	3	303362915	2881033286	0.105296567198356
PD48367f_12	4	515157400	2881033286	0.178809943815415
PD48367f_13	4	394723884	2881033286	0.137007748545672
PD48367f_14	4	383589554	2881033286	0.133143048316728
PD48367f_15	3	350695373	2881033286	0.121725554058732
PD48367f_16	4	460919013	2881033286	0.15998392494796
PD48367f_17	4	315211454	2881033286	0.109409167721778
PD48367f_18	5	320155411	2881033286	0.111125203778711
PD48367f_1	4	214401205	2881033286	0.0744181631089978
PD48367f_20	5	328158142	2881033286	0.113902933226992
PD48367f_21	4	459585217	2881033286	0.159520967436681
PD48367f_22	4	459291721	2881033286	0.159419095652892
PD48367f_23	4	399446649	2881033286	0.138647009370235
PD48367f_24	3	297561771	2881033286	0.103283003513344
PD48367f_2	4	470477635	2881033286	0.163301700569106
PD48367f_3	4	409323604	2881033286	0.14207527764051
PD48367f_4	4	487669286	2881033286	0.169268882928137
PD48367f_5	5	462589055	2881033286	0.1605635926693
PD48367f_6	4	425101798	2881033286	0.147551852339133
PD48367f_7	5	464913452	2881033286	0.161370385499947
PD48367f_8	4	485248008	2881033286	0.168428462926131
PD48367f_9	4	425691040	2881033286	0.147756376876515
