sample_name	p.value	sd	nr_total_runs	fdr
PD48367f_10	0.0682005907726067	7.34070830242666	96	0.784306793884977
PD48367f_11	0.237979269490373	3.806207603002	26	0.902831173141861
PD48367f_12	0.98025696468861	9.95003979093316	200	0.98025696468861
PD48367f_13	0.171328092945406	12.23761606962	318	0.902831173141861
PD48367f_14	0.274774704869262	12.5420983189829	331	0.902831173141861
PD48367f_15	0.357639558897966	7.75350267963516	129	0.973097605287148
PD48367f_16	0.930789013752924	23.1244777658021	1073	0.973097605287148
PD48367f_17	0.751728161433875	8.35793354950576	144	0.973097605287148
PD48367f_18	0.910403276023998	8.15974902670288	136	0.973097605287148
PD48367f_1	0.473319182237339	11.9044991040317	295	0.973097605287148
PD48367f_20	0.0602745097699101	5.67077258891663	56	0.784306793884977
PD48367f_21	0.758945230176247	40.6228480497894	3290	0.973097605287148
PD48367f_22	0.611754831450701	24.2759480547272	1168	0.973097605287148
PD48367f_23	0.872683474169681	7.58509074301369	118	0.973097605287148
PD48367f_24	0.927317168776734	7.27412600505094	107	0.973097605287148
PD48367f_2	0.711719588638922	36.0948573273932	2594	0.973097605287148
PD48367f_3	0.398957006285612	13.8540794582275	374	0.973097605287148
PD48367f_4	0.483907253284697	20.0381468613362	791	0.973097605287148
PD48367f_5	0.1126585544107	37.1095529918332	2697	0.863715583815367
PD48367f_6	0.854717744909927	41.1068943533264	3374	0.973097605287148
PD48367f_7	0.25996233533015	40.366722352286	3215	0.902831173141861
PD48367f_8	0.680863524765206	20.8370179375319	880	0.973097605287148
PD48367f_9	0.70873779248123	37.5926476128424	2842	0.973097605287148
