sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD48367g_10	0.481906756160368	0.495879851143009	0.48451942504419	0.507243471149159	3731	7524	0.892293726230872
PD48367g_11	0.351455301094818	0.516057585825028	0.482901805627476	0.54910829971405	466	903	0.749771309002279
PD48367g_12	1	0.487179487179487	0.324180780965608	0.652197790642659	19	39	1
PD48367g_13	0.120299392350118	0.473204104903079	0.439727555433669	0.506861232793618	415	877	0.571319464961169
PD48367g_14	0.865373510902735	0.510791366906475	0.424651269533111	0.596461891555119	71	139	1
PD48367g_15	0.075228440654797	0.473639455782313	0.44477359395976	0.502637453954083	557	1176	0.571319464961169
PD48367g_16	0.940938045848218	0.505494505494505	0.430543879539876	0.580263266299511	92	182	1
PD48367g_17	0.688687378113905	0.507246376811594	0.473993785721718	0.540451234513639	455	897	1
PD48367g_18	0.39101321085947	0.488513513513514	0.462753283145854	0.5143194107589	723	1480	0.782026421718939
PD48367g_19	0.162949519123952	0.476842105263158	0.444669063769026	0.509159109703493	453	950	0.571319464961169
PD48367g_1	0.0404029835964046	0.487115414649383	0.474802708744671	0.49943986445336	3119	6403	0.571319464961169
PD48367g_20	0.901883709933421	0.503378378378378	0.462327115509517	0.544395781750702	298	592	1
PD48367g_21	0.0935342665813181	0.470725995316159	0.436814364725751	0.50484026919059	402	854	0.571319464961169
PD48367g_23	0.178537332800365	0.510900230828418	0.495078227691408	0.526705882320191	1992	3899	0.571319464961169
PD48367g_24	0.699174984007875	0.476635514018692	0.379176681970001	0.575420348077736	51	107	1
PD48367g_25	0.300097908700262	0.487224157955865	0.463364641650403	0.511127280823922	839	1722	0.749771309002279
PD48367g_26	1	0.5	0.485863927636511	0.514136072363489	2437	4874	1
PD48367g_27	0.139947591907963	0.510574018126888	0.49656584833349	0.524569745413634	2535	4965	0.571319464961169
PD48367g_28	0.842568106432589	0.491228070175439	0.424630584840898	0.558056571407882	112	228	1
PD48367g_29	0.965869324207553	0.501831501831502	0.459064391630367	0.544578691934706	274	546	1
PD48367g_2	0.676299605872258	0.487738419618529	0.435515376602031	0.540160804402166	179	367	1
PD48367g_30	0.76277811895187	0.491139240506329	0.440799757568726	0.541612442485857	194	395	1
PD48367g_31	0.148472042634471	0.510437986082685	0.496316213350518	0.524547276897562	2494	4886	0.571319464961169
PD48367g_32	0.804058694051099	0.492610837438424	0.442956585419989	0.542373542579783	200	406	1
PD48367g_33	0.838081818795626	0.506527415143603	0.455268365760486	0.557684833537367	194	383	1
PD48367g_3	0.340864973872468	0.50604680383226	0.493687291430111	0.518400773486455	3222	6367	0.749771309002279
PD48367g_4	0.0597609544763599	0.48794693415305	0.475412933542459	0.500492316929991	3016	6181	0.571319464961169
PD48367g_5	0.294705985726758	0.507037297677692	0.493951381346079	0.520115984879451	2882	5684	0.749771309002279
PD48367g_6	0.343381943736368	0.517241379310345	0.482245993009826	0.552111185442592	420	812	0.749771309002279
PD48367g_7	0.102382911805431	0.514497223935842	0.497132483058713	0.531835785082785	1668	3242	0.571319464961169
PD48367g_8	0.565992103854863	0.51487414187643	0.466907546056581	0.562638089355467	225	437	0.953249859123979
PD48367g_9	0.501915221004866	0.507265521796565	0.486485283820374	0.528026990768823	1152	2271	0.892293726230872
