sample_name	p.value	sd	nr_total_runs	fdr
PD48367g_10	0.407283347885623	43.4308694985331	3738	0.766651007784701
PD48367g_11	0.2453454968588	15.0986487536273	478	0.713732354498327
PD48367g_12	0.693950137343635	3.63042186174673	27	0.850342850856676
PD48367g_13	0.154978277012932	14.9766146993093	429	0.569186991074736
PD48367g_14	0.468755334558756	6.31829371136038	86	0.789482668730536
PD48367g_15	0.0299660569643119	17.2848926762006	562	0.547745595809998
PD48367g_16	0.878482611154934	7.11762400881387	104	0.917964751598631
PD48367g_17	0.667637977372822	15.1490868064117	467	0.850342850856676
PD48367g_18	0.380753381841946	19.3708164211012	735	0.766651007784701
PD48367g_19	0.177870934710855	15.5801640604507	466	0.569186991074736
PD48367g_1	0.0357687048152258	40.0703066698507	3129	0.547745595809998
PD48367g_20	0.73029942569013	12.3687453722434	312	0.850342850856676
PD48367g_21	0.0684681994762497	14.7882602216558	412	0.547745595809998
PD48367g_23	0.16107752586593	31.2210197009821	2000	0.569186991074736
PD48367g_24	0.62414067339807	5.61235455241802	62	0.850342850856676
PD48367g_25	0.316157969215228	20.8482250842183	851	0.744930527969716
PD48367g_26	0.999962731442304	34.9821142148541	2449	0.999962731442304
PD48367g_27	0.122513645642605	35.3054867026242	2549	0.569186991074736
PD48367g_28	0.500992176115199	7.79424935228881	119	0.801587481784318
PD48367g_29	0.885494639704292	11.8342915335579	285	0.917964751598631
PD48367g_2	0.744049994499591	9.83414297985439	192	0.850342850856676
PD48367g_30	0.658065768092604	10.1485688705808	204	0.850342850856676
PD48367g_31	0.144721775051629	35.0238501703016	2506	0.569186991074736
PD48367g_32	0.889278353111174	10.3045981324874	213	0.917964751598631
PD48367g_33	0.584105108406892	10.049783411795	209	0.850342850856676
PD48367g_3	0.325907105986751	39.9407435342966	3233	0.744930527969716
PD48367g_4	0.0619710356630452	39.3763381993702	3029	0.547745595809998
PD48367g_5	0.318313304731746	37.7567404968511	2891	0.744930527969716
PD48367g_6	0.397884222356643	14.4241291096174	430	0.766651007784701
PD48367g_7	0.107254471698854	28.5612932551178	1679	0.569186991074736
PD48367g_8	0.452223325602426	10.6307584156767	237	0.789482668730536
PD48367g_9	0.623821747325847	23.9324560730135	1159	0.850342850856676
