sample_name	rl20	genome_span	genome_size	fraction_span
PD48367h_10	4	467923888	2881033286	0.162415300883129
PD48367h_11	4	443996162	2881033286	0.154110042448152
PD48367h_12	3	260063629	2881033286	0.0902674850248155
PD48367h_13	4	478622135	2881033286	0.16612863770988
PD48367h_14	4	355036431	2881033286	0.123232325265124
PD48367h_15	5	440157821	2881033286	0.152777763151467
PD48367h_16	4	434988823	2881033286	0.150983615883152
PD48367h_17	4	438093942	2881033286	0.152061395516969
PD48367h_19	3	341211870	2881033286	0.118433852069004
PD48367h_1	4	466166223	2881033286	0.161805219420849
PD48367h_20	4	458884927	2881033286	0.159277898394958
PD48367h_21	4	465739375	2881033286	0.161657061465829
PD48367h_22	4	452507232	2881033286	0.157064215189356
PD48367h_23	5	473460013	2881033286	0.164336877085286
PD48367h_24	4	418607901	2881033286	0.145297835687692
PD48367h_25	4	398308960	2881033286	0.138252120145758
PD48367h_26	4	452613955	2881033286	0.157101258496185
PD48367h_27	4	343240141	2881033286	0.119137860248936
PD48367h_2	4	481965180	2881033286	0.167289000908822
PD48367h_3	4	489793869	2881033286	0.170006320780842
PD48367h_4	4	441176676	2881033286	0.153131405368983
PD48367h_5	4	446854052	2881033286	0.15510200946703
PD48367h_6	3	475605105	2881033286	0.165081433564527
PD48367h_7	4	474219841	2881033286	0.16460061162931
PD48367h_8	4	459565906	2881033286	0.159514264633179
PD48367h_9	5	465523013	2881033286	0.161581962715303
