sample_name	rl20	genome_span	genome_size	fraction_span
PD48367i_10	5	368244959	2881033286	0.127816974829634
PD48367i_11	4	454955771	2881033286	0.157914097421504
PD48367i_12	4	473994602	2881033286	0.164522431692585
PD48367i_13	5	457443165	2881033286	0.158777466134419
PD48367i_14	4	435701984	2881033286	0.15123115241925
PD48367i_15	5	453478035	2881033286	0.157401178668645
PD48367i_16	5	442277438	2881033286	0.153513477317041
PD48367i_17	4	435790674	2881033286	0.151261936513426
PD48367i_18	5	410511188	2881033286	0.142487485304257
PD48367i_19	4	381129702	2881033286	0.132289239368406
PD48367i_1	4	343594425	2881033286	0.119260831407138
PD48367i_20	4	367797172	2881033286	0.127661548996071
PD48367i_21	4	493558373	2881033286	0.17131297142535
PD48367i_22	4	372517261	2881033286	0.129299880987213
PD48367i_23	5	466883401	2881033286	0.16205415024837
PD48367i_24	3	236036923	2881033286	0.0819278708604271
PD48367i_26	4	445884995	2881033286	0.154765652020308
PD48367i_27	4	340853626	2881033286	0.118309506403946
PD48367i_28	4	398662334	2881033286	0.138374775445062
PD48367i_29	4	313483593	2881033286	0.108809431159068
PD48367i_2	4	447306303	2881033286	0.155258984744684
PD48367i_30	5	369234917	2881033286	0.128160586965186
PD48367i_31	5	521620216	2881033286	0.181053172323536
PD48367i_32	4	295072826	2881033286	0.102419096451911
PD48367i_33	4	452718375	2881033286	0.157137502437034
PD48367i_34	3	236115504	2881033286	0.0819551461440491
PD48367i_35	4	437529300	2881033286	0.151865409582776
PD48367i_36	5	377201233	2881033286	0.130925676851066
PD48367i_37	4	453131247	2881033286	0.157280809354731
PD48367i_3	4	433773523	2881033286	0.150561788059813
PD48367i_4	2	204404200	2881033286	0.070948225760971
PD48367i_5	5	475727067	2881033286	0.165123766293063
PD48367i_6	4	448578067	2881033286	0.155700411092022
PD48367i_7	4	482760108	2881033286	0.167564918581784
PD48367i_8	4	420569114	2881033286	0.14597856819069
PD48367i_9	4	419438603	2881033286	0.145586170433437
