sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD48372e_10	0.106521365600053	0.483516483516484	0.463582961428224	0.503489344984858	1188	2457	0.692388876400346
PD48372e_11	0.0645627861068823	0.477534562211982	0.453804841948659	0.501340339697608	829	1736	0.692388876400346
PD48372e_12	0.871533568788532	0.505813953488372	0.451674122228456	0.559852863230939	174	344	1
PD48372e_13	0.670534100245501	0.478260869565217	0.39257267520246	0.564902007837798	66	138	0.839191648462095
PD48372e_14	1	0.5	0.433277127240746	0.566722872759254	114	228	1
PD48372e_15	0.644487502476426	0.482608695652174	0.416448419090088	0.549222955949091	111	230	0.839191648462095
PD48372e_16	0.345644863574616	0.463157894736842	0.390696236304562	0.536787063710987	88	190	0.839191648462095
PD48372e_17	0.366151272843397	0.52262443438914	0.474910138066388	0.57003401351724	231	442	0.839191648462095
PD48372e_19	1	0.5	0.349038152423704	0.650961847576296	23	46	1
PD48372e_1	0.93496148551432	0.493333333333333	0.410831993087439	0.57610318229885	74	150	1
PD48372e_20	0.324478780288066	0.446601941747573	0.348561892567963	0.547792811669573	46	103	0.839191648462095
PD48372e_21	0.320942453829139	0.487046632124352	0.461836091605946	0.512306521178147	752	1544	0.839191648462095
PD48372e_22	0.0727361629555393	0.483574244415243	0.465680424749559	0.50149966675797	1472	3044	0.692388876400346
PD48372e_23	0.526506466002119	0.508344030808729	0.483203103117497	0.533453458040454	792	1558	0.839191648462095
PD48372e_24	0.677808639142461	0.538461538461538	0.394698229111857	0.677689681826402	28	52	0.839191648462095
PD48372e_25	0.244147271429616	0.489063568010936	0.470798848421519	0.507350182284518	1431	2926	0.839191648462095
PD48372e_26	0.535410777790761	0.509581881533101	0.480235352348158	0.538879199814151	585	1148	0.839191648462095
PD48372e_27	0.148103188906847	0.461333333333333	0.410025283251566	0.513256481644513	173	375	0.770136582315605
PD48372e_2	0.540811577996938	0.526315789473684	0.448666147114373	0.603037451296344	90	171	0.839191648462095
PD48372e_3	0.468565506241506	0.479892761394102	0.428186960273029	0.531920136228033	179	373	0.839191648462095
PD48372e_4	0.295992783054232	0.513993174061433	0.488052104150249	0.539878037175713	753	1465	0.839191648462095
PD48372e_5	0.081781229596804	0.470324748040314	0.437173042510563	0.503672821385094	420	893	0.692388876400346
PD48372e_6	0.593570308046935	0.515669515669516	0.462021367345479	0.569051153835432	181	351	0.839191648462095
PD48372e_7	0.618674227760349	0.493820224719101	0.470339740903815	0.517321109245448	879	1780	0.839191648462095
PD48372e_8	0.404307374690115	0.531400966183575	0.460979079357698	0.600910659324738	110	207	0.839191648462095
PD48372e_9	1	0.503759398496241	0.41579122923237	0.591556490584153	67	133	1
