sample_name	rl20	genome_span	genome_size	fraction_span
PD48372g_10	4	476611550	2881033286	0.165430768299704
PD48372g_11	5	438273441	2881033286	0.152123699205327
PD48372g_12	4	401334889	2881033286	0.13930241311346
PD48372g_13	5	456972937	2881033286	0.158614251081582
PD48372g_14	4	523840100	2881033286	0.181823688933249
PD48372g_15	5	478569756	2881033286	0.166110457079946
PD48372g_16	4	371224606	2881033286	0.128851203422021
PD48372g_17	5	521572177	2881033286	0.181036498097579
PD48372g_18	4	543937241	2881033286	0.188799360161228
PD48372g_19	4	446121780	2881033286	0.154847839546967
PD48372g_1	4	437526875	2881033286	0.151864567870876
PD48372g_20	4	483427073	2881033286	0.167796420592969
PD48372g_21	5	445030999	2881033286	0.154469231980959
PD48372g_22	3	343971189	2881033286	0.119391605321425
PD48372g_24	5	395756087	2881033286	0.137366023823162
PD48372g_25	5	464402575	2881033286	0.161193061273087
PD48372g_26	3	443250747	2881033286	0.153851310623143
PD48372g_27	5	408814942	2881033286	0.141898722235034
PD48372g_28	4	497967067	2881033286	0.17284321893114
PD48372g_29	5	428256917	2881033286	0.148646986857478
PD48372g_2	4	285520133	2881033286	0.0991033787729726
PD48372g_30	4	430470781	2881033286	0.149415413939095
PD48372g_31	4	508028800	2881033286	0.176335623218482
PD48372g_32	4	443834240	2881033286	0.154053839695901
PD48372g_33	4	423822843	2881033286	0.147107930012302
PD48372g_34	5	468524536	2881033286	0.162623784416769
PD48372g_3	4	481250823	2881033286	0.167041049243886
PD48372g_4	3	291326684	2881033286	0.101118819215197
PD48372g_5	5	464533352	2881033286	0.161238453667765
PD48372g_6	4	478713898	2881033286	0.166160488435259
PD48372g_7	3	387967964	2881033286	0.134662784316057
PD48372g_8	4	439015676	2881033286	0.152381327259681
PD48372g_9	4	491328787	2881033286	0.170539087273843
