sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
PD48372h_10	0.520633373426239	0.529032258064516	0.447328712381882	0.609604679004739	82	155	0.908727587129516
PD48372h_11	0.499962788841719	0.511945392491468	0.47833918684758	0.54547128463369	450	879	0.908727587129516
PD48372h_12	1	0.5	0.483254816243516	0.516745183756484	1741	3482	1
PD48372h_13	0.751190791953376	0.484276729559748	0.404396134479155	0.564754245139008	77	159	1
PD48372h_14	0.0330515595106074	0.461538461538462	0.426409376952265	0.496954479620298	366	793	0.908727587129516
PD48372h_15	0.312610973833611	0.520361990950226	0.481561629177837	0.55898034450039	345	663	0.908727587129516
PD48372h_16	0.823958317154073	0.495959595959596	0.464361257067553	0.527582028084588	491	990	1
PD48372h_17	1	0.5	0.409651483533885	0.590348516466115	63	126	1
PD48372h_18	0.505164559787553	0.509637625289129	0.482050294023585	0.537181189257859	661	1297	0.908727587129516
PD48372h_19	0.853120844119683	0.498300283286119	0.481671734186717	0.514931650107845	1759	3530	1
PD48372h_1	0.829448431718392	0.501922020867655	0.485550231407957	0.51829072255809	1828	3642	1
PD48372h_20	0.881265053250014	0.496513249651325	0.459297609003403	0.533757686226333	356	717	1
PD48372h_21	0.669572730306878	0.496212121212121	0.479348147228565	0.513082554844506	1703	3432	1
PD48372h_22	0.42508626985017	0.490918016691213	0.468989330821721	0.512872877493886	1000	2037	0.908727587129516
PD48372h_24	0.885181256959086	0.501466275659824	0.483619494755545	0.519310258616897	1539	3069	1
PD48372h_25	0.284313657975346	0.456140350877193	0.379910425043856	0.533917089466331	78	171	0.908727587129516
PD48372h_26	0.529895451155937	0.5115712545676	0.476780609069874	0.546278552412412	420	821	0.908727587129516
PD48372h_27	1	0.502008032128514	0.438196608093722	0.565771093052233	125	249	1
PD48372h_28	0.126757037315065	0.519423558897243	0.494581907603404	0.544193640049547	829	1596	0.908727587129516
PD48372h_29	0.645641079630781	0.507518796992481	0.477023567757252	0.537972335547652	540	1064	1
PD48372h_2	0.277728645343065	0.483648881239243	0.454557916214702	0.512822803208201	562	1162	0.908727587129516
PD48372h_30	0.463333438232754	0.48881239242685	0.45970016733631	0.517981377222923	568	1162	0.908727587129516
PD48372h_31	0.409202953139502	0.4874022589053	0.458155178460816	0.516713869313991	561	1151	0.908727587129516
PD48372h_32	0.35939386070863	0.488656195462478	0.464771585321069	0.512579592338006	840	1719	0.908727587129516
PD48372h_33	0.414600608662127	0.476331360946746	0.422019567214062	0.531061409419707	161	338	0.908727587129516
PD48372h_3	0.23496858381468	0.4609375	0.398688950624883	0.52410089540023	118	256	0.908727587129516
PD48372h_4	0.434992805122155	0.559322033898305	0.424036659239704	0.688448997593277	33	59	0.908727587129516
PD48372h_5	1	0.499638989169675	0.472969937703396	0.526309575128018	692	1385	1
PD48372h_6	0.476081897416227	0.490942028985507	0.466596498060995	0.515319717692378	813	1656	0.908727587129516
PD48372h_7	0.53955700485815	0.493038886221795	0.471351492388159	0.514745896547514	1027	2083	0.908727587129516
PD48372h_8	0.510094996262851	0.513513513513513	0.474815116792024	0.552091669100386	342	666	0.908727587129516
PD48372h_9	0.747830733734224	0.495333811916726	0.46875257699302	0.521934765903476	690	1393	1
