sample_name	p.value	sd	nr_total_runs	fdr
PD48372h_10	0.216670516735943	6.58523208845941	97	0.981142463336474
PD48372h_11	0.404463549769336	14.9998242589481	464	0.981142463336474
PD48372h_12	0.981142463336474	29.5812587169695	1753	0.981142463336474
PD48372h_13	0.658457654182478	6.68611770332789	88	0.981142463336474
PD48372h_14	0.056126202633762	14.2558489979326	381	0.981142463336474
PD48372h_15	0.563155267441314	13.0744221870775	351	0.981142463336474
PD48372h_16	0.705965066624868	15.8980431638412	501	0.981142463336474
PD48372h_17	0.938044394469441	6.0388477249301	74	0.981142463336474
PD48372h_18	0.476581098668477	18.1407587184063	673	0.981142463336474
PD48372h_19	0.763521706448077	29.7945279191827	1768	0.981142463336474
PD48372h_1	0.842817593732194	30.261351356119	1839	0.981142463336474
PD48372h_20	0.741344402589305	13.5451837522228	365	0.981142463336474
PD48372h_21	0.633943454435486	29.3809574895598	1714	0.981142463336474
PD48372h_22	0.31633301826065	22.6651981187346	1007	0.981142463336474
PD48372h_24	0.950606514647425	27.7898989849767	1548	0.981142463336474
PD48372h_25	0.140176086283209	6.90548609496371	87	0.981142463336474
PD48372h_26	0.543228600477587	14.4977949918953	431	0.981142463336474
PD48372h_27	0.960211674467753	8.21028004645566	136	0.981142463336474
PD48372h_28	0.17343346134588	20.0970817076365	837	0.981142463336474
PD48372h_29	0.854668503595079	16.4691589115174	547	0.981142463336474
PD48372h_2	0.163102263191817	17.1969353713251	569	0.981142463336474
PD48372h_30	0.417581110402542	17.1956093520401	579	0.981142463336474
PD48372h_31	0.368086030607289	17.1144350362329	572	0.981142463336474
PD48372h_32	0.352880604503834	20.8536139359765	852	0.981142463336474
PD48372h_33	0.654277659962635	9.37861016839957	175	0.981142463336474
PD48372h_3	0.235555746495748	8.24855179575614	129	0.981142463336474
PD48372h_4	0.614561366419067	4.41842463620494	43	0.981142463336474
PD48372h_5	0.856185539802851	18.7455895855678	701	0.981142463336474
PD48372h_6	0.307247854602324	20.4732340625029	819	0.981142463336474
PD48372h_7	0.558590134889363	22.9328178917209	1040	0.981142463336474
PD48372h_8	0.393098316810096	13.0982304137093	356	0.981142463336474
PD48372h_9	0.913719854054788	18.6547629372507	705	0.981142463336474
