sample_name	p.value	sd	nr_total_runs	fdr
PD48372i_10	0.947876814247536	7.61556147049549	117	0.947876814247536
PD48372i_11	0.141006463447291	5.24049319161282	49	0.640544565421003
PD48372i_12	0.557858577605322	8.84231282977678	154	0.885045320489853
PD48372i_13	0.219608741237317	17.8874172651419	621	0.708800045773264
PD48372i_14	0.705662429573472	11.1791291192521	248	0.913864273062083
PD48372i_16	0.906968541954796	20.6011667268657	849	0.947876814247536
PD48372i_17	0.0143664988983695	12.6584813136273	291	0.179581236229618
PD48372i_18	0.364083868806527	3.83850747593256	28	0.708800045773264
PD48372i_19	0.368576023802097	4.99925491948795	47	0.708800045773264
PD48372i_1	0.58636161888448	11.2093851838226	259	0.885045320489853
PD48372i_20	0.0806723909975463	19.0740219546265	696	0.581172919180492
PD48372i_21	0.296166414228219	9.83770955878643	186	0.708800045773264
PD48372i_22	0.820811629223393	16.7042916692656	556	0.932740487753856
PD48372i_23	0.739750847096196	12.1333865288079	300	0.913864273062083
PD48372i_24	0.76764598937215	14.228647272002	403	0.913864273062083
PD48372i_25	0.624426298154604	9.95609270198935	195	0.885045320489853
PD48372i_26	0.932154555833963	20.2848917972741	823	0.947876814247536
PD48372i_2	0.34605438020365	6.41874646277759	90	0.708800045773264
PD48372i_3	0.444004592786016	10.4274195004067	211	0.792865344260744
PD48372i_4	0.153730695701041	7.15590179827653	94	0.640544565421003
PD48372i_5	0.320285481266002	19.1116708202547	752	0.708800045773264
PD48372i_6	0.0929876670688787	28.5609499966122	1585	0.581172919180492
PD48372i_7	0.637232630752694	7.87155188589705	122	0.885045320489853
PD48372i_8	0.273498015867912	10.6238379261207	239	0.708800045773264
PD48372i_9	0.0105908801498236	16.628268770056	597	0.179581236229618
