sample_name	rl20	genome_span	genome_size	fraction_span
PD6646_100	4	482740390	2881033286	0.167558074509522
PD6646_101	4	422862213	2881033286	0.146774497557818
PD6646_102	4	470806204	2881033286	0.163415746110196
PD6646_103	5	470479407	2881033286	0.163302315626214
PD6646_104	4	414202887	2881033286	0.143768865501403
PD6646_105	4	457292288	2881033286	0.158725097076161
PD6646_106	4	508340036	2881033286	0.176443652515301
PD6646_107	4	465251190	2881033286	0.161487613579762
PD6646_108	4	433305687	2881033286	0.150399403264652
PD6646_109	4	585752443	2881033286	0.20331332020577
PD6646_10	4	333262761	2881033286	0.115674734693086
PD6646_110	4	448193999	2881033286	0.155567101976204
PD6646_111	4	428141418	2881033286	0.148606897421316
PD6646_112	4	451914004	2881033286	0.156858307120579
PD6646_113	5	482007459	2881033286	0.167303675852081
PD6646_114	5	496529391	2881033286	0.172344204911765
PD6646_115	5	427301151	2881033286	0.148315242686162
PD6646_116	4	431294203	2881033286	0.149701221813652
PD6646_119	4	387349650	2881033286	0.134448168954616
PD6646_11	4	427345723	2881033286	0.148330713524425
PD6646_120	2	90264298	2881033286	0.0313305293759109
PD6646_121	3	368080009	2881033286	0.127759721065576
PD6646_122	4	428102881	2881033286	0.148593521317615
PD6646_123	2	63521847	2881033286	0.0220482863938699
PD6646_124	2	299326493	2881033286	0.103895534444027
PD6646_125	1	0	2881033286	0
PD6646_126	2	112565601	2881033286	0.0390712601437122
PD6646_127	1	-114145147	2881033286	-0.0396195169124471
PD6646_128	1	49299182	2881033286	0.017111632218747
PD6646_129	2	67048434	2881033286	0.0232723565971324
PD6646_12	4	452179998	2881033286	0.156950633023682
PD6646_130	2	221245543	2881033286	0.0767938170222168
PD6646_131	2	193819428	2881033286	0.0672742758446561
PD6646_132	3	240495080	2881033286	0.0834752868592855
PD6646_133	2	129677344	2881033286	0.0450107066204857
PD6646_134	1	55361408	2881033286	0.0192158168630059
PD6646_135	3	117296204	2881033286	0.0407132415199732
PD6646_136	2	234735989	2881033286	0.0814763196734548
PD6646_137	4	391560377	2881033286	0.135909702571899
PD6646_138	4	467772083	2881033286	0.162362609718213
PD6646_139	3	449246230	2881033286	0.155932328926241
