sample_name	rl20	genome_span	genome_size	fraction_span
PX002_2_01_100	4	464781248	2881033286	0.161324497796864
PX002_2_01_101	4	493129935	2881033286	0.171164261585001
PX002_2_01_102	4	534271455	2881033286	0.185444388163171
PX002_2_01_103	4	504195077	2881033286	0.175004946818931
PX002_2_01_104	4	462845837	2881033286	0.160652721108478
PX002_2_01_105	4	483566841	2881033286	0.167844933742983
PX002_2_01_106	4	443173018	2881033286	0.153824331066753
PX002_2_01_107	4	550960378	2881033286	0.191237074794422
PX002_2_01_108	4	497660113	2881033286	0.172736675906632
PX002_2_01_109	4	449769270	2881033286	0.156113874902312
PX002_2_01_10	4	549314390	2881033286	0.19066575616093
PX002_2_01_110	4	449009396	2881033286	0.155850124391794
PX002_2_01_111	4	461199588	2881033286	0.16008131188249
PX002_2_01_112	4	593797474	2881033286	0.206105731886362
PX002_2_01_113	5	450735935	2881033286	0.156449402091358
PX002_2_01_114	5	484753597	2881033286	0.168256854009843
PX002_2_01_115	4	436713897	2881033286	0.151582385084599
PX002_2_01_116	5	428745307	2881033286	0.148816505898572
PX002_2_01_117	4	508635275	2881033286	0.176546129290365
PX002_2_01_118	5	551139119	2881033286	0.19129911538273
PX002_2_01_119	4	492655412	2881033286	0.170999555747583
PX002_2_01_11	4	493998587	2881033286	0.171465768688103
PX002_2_01_120	4	478488707	2881033286	0.166082325159224
PX002_2_01_121	4	275046224	2881033286	0.0954679091479265
PX002_2_01_122	5	444323945	2881033286	0.154223815170458
PX002_2_01_123	4	464337354	2881033286	0.161170423214611
PX002_2_01_124	4	460712476	2881033286	0.159912236432245
PX002_2_01_125	5	490251539	2881033286	0.170165176980881
PX002_2_01_126	5	622111469	2881033286	0.215933454161418
PX002_2_01_127	4	449880805	2881033286	0.156152588443228
PX002_2_01_128	4	536781317	2881033286	0.186315555466998
PX002_2_01_129	4	489035834	2881033286	0.169743208582978
PX002_2_01_12	4	408987909	2881033286	0.141958758681277
PX002_2_01_130	4	506627593	2881033286	0.175849267504784
PX002_2_01_131	5	442729913	2881033286	0.153670530344577
PX002_2_01_132	4	479999512	2881033286	0.166606722085612
PX002_2_01_133	4	499613924	2881033286	0.173414839192524
PX002_2_01_134	4	462629268	2881033286	0.160577550508731
PX002_2_01_135	4	425514301	2881033286	0.147695031177783
PX002_2_01_136	4	482069791	2881033286	0.167325311145329
PX002_2_01_137	4	366382040	2881033286	0.127170359947032
PX002_2_01_138	5	413935988	2881033286	0.14367622547489
PX002_2_01_139	5	527887463	2881033286	0.183228519283411
PX002_2_01_13	4	476071574	2881033286	0.165243343877145
PX002_2_01_140	4	353245593	2881033286	0.122610729531155
PX002_2_01_141	4	443444986	2881033286	0.15391873053146
PX002_2_01_142	4	477160119	2881033286	0.165621175332717
PX002_2_01_143	4	476937938	2881033286	0.165544056820731
PX002_2_01_144	4	426324089	2881033286	0.147976106722427
PX002_2_01_145	4	503525663	2881033286	0.174772594765502
PX002_2_01_146	4	412639178	2881033286	0.143226105718794
PX002_2_01_147	4	439224053	2881033286	0.152453654435147
PX002_2_01_148	4	455107668	2881033286	0.157966820519407
PX002_2_01_149	4	441061905	2881033286	0.15309156861994
PX002_2_01_14	4	478513071	2881033286	0.166090781847357
PX002_2_01_150	4	489914843	2881033286	0.17004831057686
PX002_2_01_151	4	472835202	2881033286	0.164120006630149
PX002_2_01_152	5	460342790	2881033286	0.159783919275412
PX002_2_01_153	4	406721975	2881033286	0.141172258222913
PX002_2_01_154	4	507201690	2881033286	0.176048535247642
PX002_2_01_155	4	420553175	2881033286	0.145973035800601
PX002_2_01_156	4	459199000	2881033286	0.159386912407926
PX002_2_01_157	4	281183115	2881033286	0.0975980098412511
PX002_2_01_158	4	494649513	2881033286	0.171691703599429
PX002_2_01_159	4	472267535	2881033286	0.163922970725441
PX002_2_01_15	4	467314551	2881033286	0.162203801417656
PX002_2_01_160	4	533261183	2881033286	0.185093725085133
PX002_2_01_161	4	511829844	2881033286	0.177654956812602
PX002_2_01_162	5	485216169	2881033286	0.168417411682761
PX002_2_01_163	4	431224983	2881033286	0.149677195711511
PX002_2_01_164	4	443230809	2881033286	0.153844390189388
PX002_2_01_165	5	514017519	2881033286	0.1784142937528
PX002_2_01_166	4	515626250	2881033286	0.178972680567634
PX002_2_01_167	5	504993977	2881033286	0.17528224316392
PX002_2_01_168	4	457135225	2881033286	0.158670580871588
PX002_2_01_169	4	474844442	2881033286	0.164817409193932
PX002_2_01_16	4	457659879	2881033286	0.158852687063332
PX002_2_01_170	5	466097276	2881033286	0.161781288076378
PX002_2_01_171	4	452260560	2881033286	0.156978595907829
PX002_2_01_172	4	565302346	2881033286	0.196215138765321
