sample_name	rl20	genome_span	genome_size	fraction_span
Pair31_100	4	358044737	2881033286	0.124276501330224
Pair31_101	4	414439516	2881033286	0.143850998880823
Pair31_102	4	483917138	2881033286	0.167966521022694
Pair31_103	4	515824907	2881033286	0.179041633953548
Pair31_104	4	497469977	2881033286	0.172670680140139
Pair31_105	4	500455327	2881033286	0.173706888230655
Pair31_106	4	457954322	2881033286	0.158954887548633
Pair31_107	5	514732954	2881033286	0.178662619589047
Pair31_108	4	513189165	2881033286	0.178126773992433
Pair31_109	4	458061009	2881033286	0.158991918359946
Pair31_10	4	354278978	2881033286	0.122969415078115
Pair31_110	4	487576737	2881033286	0.169236759383973
Pair31_111	4	514259076	2881033286	0.178498137629639
Pair31_112	4	533243790	2881033286	0.185087688015001
Pair31_113	4	439389489	2881033286	0.152511076888683
Pair31_114	4	487364819	2881033286	0.169163203135585
Pair31_115	4	461637298	2881033286	0.160233240012625
Pair31_116	5	571609781	2881033286	0.198404434887185
Pair31_117	4	438367122	2881033286	0.152156215664077
Pair31_118	4	469235376	2881033286	0.162870515339128
Pair31_119	4	438712894	2881033286	0.152276232326738
Pair31_11	4	410587485	2881033286	0.142513967816754
Pair31_120	5	425671387	2881033286	0.147749555365602
Pair31_121	4	509017183	2881033286	0.176678688675171
Pair31_122	4	405352827	2881033286	0.140697030114077
Pair31_123	4	375061019	2881033286	0.130182813514359
Pair31_124	5	486095851	2881033286	0.168722747273389
Pair31_125	4	480536469	2881033286	0.166793098620243
Pair31_126	4	415374507	2881033286	0.144175532097618
Pair31_127	4	384580704	2881033286	0.133487074192728
Pair31_128	5	484948094	2881033286	0.168324363469364
Pair31_129	4	440208951	2881033286	0.152795510256385
Pair31_12	5	415374809	2881033286	0.144175636921121
Pair31_130	4	520980486	2881033286	0.180831123517953
Pair31_131	4	369587026	2881033286	0.128282803185912
Pair31_132	4	420303580	2881033286	0.145886401952525
Pair31_133	5	511570539	2881033286	0.177564952645951
Pair31_134	5	491336642	2881033286	0.170541813726202
Pair31_135	4	430765952	2881033286	0.149517867111515
Pair31_136	4	444110522	2881033286	0.154149736540045
Pair31_137	4	481392655	2881033286	0.167090278803533
Pair31_138	4	527592775	2881033286	0.183126233759175
Pair31_139	5	445699135	2881033286	0.15470114044354
Pair31_13	4	484965730	2881033286	0.168330484884235
Pair31_140	4	466085268	2881033286	0.16177712012731
Pair31_141	4	486977965	2881033286	0.169028927005601
Pair31_142	4	502266699	2881033286	0.174335611268602
Pair31_143	4	498074672	2881033286	0.172880568378133
Pair31_144	4	524963478	2881033286	0.182213610842676
Pair31_145	4	481291708	2881033286	0.167055240332964
Pair31_146	4	439213444	2881033286	0.152449972075748
Pair31_147	4	545270425	2881033286	0.189262105248721
Pair31_148	4	456173320	2881033286	0.158336705867549
Pair31_149	4	512262660	2881033286	0.17780518624664
Pair31_14	4	442111368	2881033286	0.153455834803569
Pair31_150	4	487702194	2881033286	0.169280305218938
Pair31_151	5	520859978	2881033286	0.180789295469459
Pair31_152	4	455721426	2881033286	0.158179854503771
Pair31_153	4	476641822	2881033286	0.165441275640992
Pair31_154	4	468318088	2881033286	0.162552126792748
Pair31_155	4	560064071	2881033286	0.194396945610298
Pair31_156	4	442563190	2881033286	0.153612661176314
Pair31_157	4	465043332	2881033286	0.161415466547997
Pair31_158	4	480378157	2881033286	0.166738148890655
Pair31_159	4	408213070	2881033286	0.14168981385382
Pair31_15	4	483765972	2881033286	0.167914051653203
Pair31_160	4	515926659	2881033286	0.179076951837758
Pair31_161	4	486021120	2881033286	0.168696808315876
Pair31_162	4	530577108	2881033286	0.18416208885134
Pair31_163	4	468655358	2881033286	0.162669192430844
Pair31_164	4	408714710	2881033286	0.141863931939313
Pair31_165	4	496861679	2881033286	0.172459541309166
Pair31_166	4	616037366	2881033286	0.213825147037888
Pair31_167	4	441638883	2881033286	0.153291836351244
Pair31_168	4	416871019	2881033286	0.144694967956715
Pair31_169	4	450993270	2881033286	0.156538722475558
Pair31_16	4	437103855	2881033286	0.151717738605815
Pair31_170	5	419969064	2881033286	0.145770292221469
Pair31_171	4	362062602	2881033286	0.12567109299271
Pair31_172	4	490438309	2881033286	0.170230004416547
Pair31_173	4	524372746	2881033286	0.182008569129735
Pair31_174	5	476714664	2881033286	0.165466558930968
Pair31_175	5	438785723	2881033286	0.152301511104443
Pair31_176	4	430026917	2881033286	0.149261349769771
Pair31_177	4	477614681	2881033286	0.165778952753134
Pair31_178	5	406816370	2881033286	0.141205022509414
Pair31_179	4	388126584	2881033286	0.134717840951734
Pair31_17	4	340860731	2881033286	0.118311972533038
Pair31_180	5	506587154	2881033286	0.175835231221275
Pair31_181	5	460196162	2881033286	0.159733025035241
Pair31_182	5	416959918	2881033286	0.144725824594308
Pair31_183	4	464427595	2881033286	0.161201745657304
Pair31_184	4	467274145	2881033286	0.162189776588371
Pair31_185	4	405828029	2881033286	0.140861971630827
Pair31_186	4	484945342	2881033286	0.16832340825652
Pair31_187	5	547369059	2881033286	0.189990536263454
Pair31_188	5	506244530	2881033286	0.175716307222144
Pair31_189	5	415279355	2881033286	0.144142505058166
Pair31_18	4	385321916	2881033286	0.133744347166144
Pair31_190	6	510966764	2881033286	0.177355383737833
Pair31_191	4	487106030	2881033286	0.169073378071342
Pair31_192	4	358226246	2881033286	0.124339502684941
Pair31_193	4	483153345	2881033286	0.167701410236327
Pair31_194	4	500326233	2881033286	0.17366208000139
Pair31_195	5	481003857	2881033286	0.166955327915639
Pair31_196	4	493766582	2881033286	0.171385240288404
Pair31_198	1	0	2881033286	0
Pair31_199	1	250030681	2881033286	0.0867850719444968
Pair31_19	4	461304176	2881033286	0.16011761413575
Pair31_1	4	428826940	2881033286	0.148844840524345
Pair31_200	1	0	2881033286	0
Pair31_201	1	0	2881033286	0
Pair31_202	1	0	2881033286	0
Pair31_203	1	0	2881033286	0
Pair31_204	3	500629308	2881033286	0.173767276633957
Pair31_205	2	0	2881033286	0
Pair31_206	4	375340947	2881033286	0.130279975876683
Pair31_207	4	288336012	2881033286	0.100080763870772
Pair31_208	4	414354981	2881033286	0.143821656977552
Pair31_209	2	439300221	2881033286	0.152480092172042
Pair31_20	4	508619650	2881033286	0.17654070588895
Pair31_210	3	516603492	2881033286	0.179311879008954
Pair31_211	1	162394119	2881033286	0.05636662366559
Pair31_212	1	0	2881033286	0
Pair31_213	2	48515914	2881033286	0.0168397617048566
Pair31_214	2	0	2881033286	0
Pair31_215	1	0	2881033286	0
Pair31_216	1	0	2881033286	0
Pair31_217	1	0	2881033286	0
Pair31_218	1	0	2881033286	0
Pair31_219	1	0	2881033286	0
Pair31_21	4	397803976	2881033286	0.138076841365588
Pair31_220	1	0	2881033286	0
Pair31_221	1	0	2881033286	0
Pair31_222	1	0	2881033286	0
Pair31_223	3	371590175	2881033286	0.128978091577662
Pair31_224	3	185818088	2881033286	0.0644970292092627
Pair31_225	2	206831279	2881033286	0.0717906592766801
Pair31_226	2	29076675	2881033286	0.0100924467416931
Pair31_227	4	423475413	2881033286	0.14698733786167
Pair31_228	2	195613799	2881033286	0.0678970978747657
Pair31_229	2	150443795	2881033286	0.0522186938037341
Pair31_22	4	440644257	2881033286	0.152946603963672
Pair31_230	2	101262715	2881033286	0.0351480545164378
Pair31_231	3	158550973	2881033286	0.0550326765645012
Pair31_232	3	375686622	2881033286	0.130399958870867
Pair31_233	2	167233129	2881033286	0.0580462328611916
Pair31_234	3	327765072	2881033286	0.113766499537763
Pair31_235	3	363916348	2881033286	0.126314523948197
Pair31_236	3	258067924	2881033286	0.0895747804282744
Pair31_237	4	372663611	2881033286	0.129350678734227
Pair31_238	4	515314342	2881033286	0.178864418021167
Pair31_239	1	-79963813	2881033286	-0.0277552548207525
Pair31_23	4	372779631	2881033286	0.129390949008286
Pair31_240	4	223171496	2881033286	0.0774623108606459
Pair31_241	2	187308312	2881033286	0.0650142825180813
Pair31_242	4	335376333	2881033286	0.11640835065312
Pair31_243	3	293163903	2881033286	0.101756513687152
Pair31_244	3	439123524	2881033286	0.152418761051413
Pair31_245	3	257067107	2881033286	0.0892273991589002
Pair31_246	1	0	2881033286	0
Pair31_247	3	390118399	2881033286	0.135409195338259
Pair31_248	5	484235293	2881033286	0.168076951888434
Pair31_249	3	405770466	2881033286	0.140841991646465
Pair31_24	4	484865776	2881033286	0.168295791081672
Pair31_250	3	278088134	2881033286	0.0965237490838209
Pair31_251	3	136458259	2881033286	0.0473643465568763
Pair31_252	4	481079775	2881033286	0.166981678878111
Pair31_253	5	439727879	2881033286	0.152628531276192
Pair31_254	2	255334342	2881033286	0.0886259604291153
Pair31_255	1	0	2881033286	0
Pair31_256	1	0	2881033286	0
Pair31_257	4	352862896	2881033286	0.12247789628627
Pair31_258	3	315826944	2881033286	0.109622802879342
Pair31_259	3	395545220	2881033286	0.137292832374447
Pair31_25	4	528767845	2881033286	0.183534097842423
Pair31_260	1	0	2881033286	0
Pair31_261	1	0	2881033286	0
Pair31_262	4	215394286	2881033286	0.0747628592306379
Pair31_263	3	336436279	2881033286	0.11677625546184
Pair31_264	2	232512906	2881033286	0.0807046926982294
Pair31_265	4	386870587	2881033286	0.134281887293683
Pair31_266	4	446143826	2881033286	0.154855491662653
Pair31_267	4	449019646	2881033286	0.155853682143123
Pair31_268	3	219667374	2881033286	0.0762460382070018
Pair31_269	2	365509308	2881033286	0.126867436685353
Pair31_26	4	478773635	2881033286	0.16618122301
Pair31_270	2	63625814	2881033286	0.0220843730994644
