sample_name	p.value	fraction_strand_switches	conf_low	conf_high	nr_strand_switches	max_possible_switches	fdr
SX001_5_01_100	0.376377021346886	0.517751479289941	0.479336665679957	0.556010702372839	350	676	1
SX001_5_01_101	0.923794710526262	0.503432494279176	0.455524309866654	0.551293914285687	220	437	1
SX001_5_01_102	0.885518284295999	0.495391705069124	0.447371197734142	0.543475435165786	215	434	1
SX001_5_01_103	0.652482288410652	0.511156186612576	0.466063604048013	0.556114230390277	252	493	1
SX001_5_01_104	0.719205838036783	0.509090909090909	0.464099965965894	0.553972668060858	252	495	1
SX001_5_01_105	0.658173177427777	0.490291262135922	0.450196418581341	0.530479274576212	303	618	1
SX001_5_01_106	0.913125523727703	0.497354497354497	0.461121904258579	0.53360780078343	376	756	1
SX001_5_01_107	0.0991459768534886	0.533127889060092	0.493897805834094	0.57205538925674	346	649	1
SX001_5_01_108	0.938002089332378	0.502269288956127	0.463459213953346	0.54105901804075	332	661	1
SX001_5_01_109	0.111698396576138	0.53415061295972	0.492273067365426	0.575673138406831	305	571	1
SX001_5_01_10	0.551392089403877	0.487381703470032	0.447822153424055	0.527059256360856	309	634	1
SX001_5_01_110	0.24109568115214	0.476335877862595	0.437505306237756	0.515380586227397	312	655	1
SX001_5_01_111	0.21598573462301	0.524663677130045	0.486036412505069	0.563072477780081	351	669	1
SX001_5_01_112	0.762229055139711	0.506437768240343	0.468698990241201	0.54412199564656	354	699	1
SX001_5_01_113	0.547376153405621	0.512022630834512	0.474485580257987	0.549458971172711	362	707	1
SX001_5_01_114	0.543357608037906	0.487734487734488	0.449918083996472	0.52565573317694	338	693	1
SX001_5_01_115	0.489733916265588	0.4860088365243	0.447810010583431	0.524329745993742	330	679	1
SX001_5_01_116	0.504649352958626	0.514782608695652	0.473076738323785	0.556335891659345	296	575	1
SX001_5_01_117	0.0765624733056323	0.464396284829721	0.425401887726185	0.503717407464709	300	646	1
SX001_5_01_118	0.581955802087018	0.486315789473684	0.440521712348493	0.532281219881056	231	475	1
SX001_5_01_119	0.549497014789767	0.512738853503185	0.472868575749266	0.552488850765427	322	628	1
SX001_5_01_11	0.634736909944562	0.511194029850746	0.467981422784188	0.554282588738692	274	536	1
SX001_5_01_120	0.638468731624809	0.510948905109489	0.468221545577524	0.553557618912179	280	548	1
SX001_5_01_121	0.433331409373267	0.517006802721088	0.47576741336269	0.5580745683477	304	588	1
