sample_name	rl20	genome_span	genome_size	fraction_span
tAML2_100	2	0	2881033286	0
tAML2_101	3	71002046	2881033286	0.0246446461917066
tAML2_102	1	0	2881033286	0
tAML2_103	1	78472130	2881033286	0.0272374950964034
tAML2_104	4	472047685	2881033286	0.163846661298171
tAML2_105	1	0	2881033286	0
tAML2_106	1	0	2881033286	0
tAML2_107	5	480186154	2881033286	0.166671505092774
tAML2_108	4	452586411	2881033286	0.157091698037396
tAML2_109	4	473562688	2881033286	0.164372515340664
tAML2_10	4	472738620	2881033286	0.164086483240999
tAML2_110	1	0	2881033286	0
tAML2_111	4	477116288	2881033286	0.165605961693842
tAML2_112	1	0	2881033286	0
tAML2_113	1	0	2881033286	0
tAML2_114	5	466135207	2881033286	0.161794453838879
tAML2_115	4	511510179	2881033286	0.177544001829349
tAML2_116	3	277636762	2881033286	0.096367078905037
tAML2_117	4	482939130	2881033286	0.167627056704544
tAML2_118	5	503542761	2881033286	0.174778529441815
tAML2_119	1	0	2881033286	0
tAML2_11	4	476360695	2881033286	0.165343697108538
tAML2_120	4	415570401	2881033286	0.144243526452613
tAML2_121	4	389923660	2881033286	0.135341601881097
tAML2_122	1	-182731086	2881033286	-0.0634255379443054
tAML2_123	1	0	2881033286	0
tAML2_124	1	138733766	2881033286	0.0481541697814317
tAML2_125	1	0	2881033286	0
tAML2_126	4	460404471	2881033286	0.159805328608064
tAML2_127	3	306756038	2881033286	0.106474312355446
tAML2_128	4	423167259	2881033286	0.146880378319933
tAML2_129	4	492476493	2881033286	0.170937453375886
tAML2_12	4	475228896	2881033286	0.164950852289459
tAML2_130	4	455609713	2881033286	0.158141079179465
tAML2_131	4	432885717	2881033286	0.150253632647547
tAML2_132	5	486513717	2881033286	0.168867787596953
tAML2_133	1	-48199696	2881033286	-0.0167300031673428
tAML2_134	4	452294442	2881033286	0.156990356271781
tAML2_135	4	507962745	2881033286	0.176312695680532
tAML2_136	4	467358473	2881033286	0.162219046642421
tAML2_137	1	0	2881033286	0
tAML2_138	4	503215647	2881033286	0.174664988927865
tAML2_139	5	520909536	2881033286	0.180806496936808
tAML2_13	5	494024416	2881033286	0.171474733874352
tAML2_140	4	313499020	2881033286	0.10881478583514
tAML2_141	4	511907461	2881033286	0.177681897494051
tAML2_142	4	359299640	2881033286	0.124712075263403
tAML2_143	4	429229799	2881033286	0.148984671952867
tAML2_144	3	398364940	2881033286	0.138271550674476
tAML2_145	4	414742093	2881033286	0.14395602265874
tAML2_146	4	456904632	2881033286	0.158590542573828
tAML2_147	4	485033833	2881033286	0.168354123278255
tAML2_148	4	491573886	2881033286	0.170624160570702
tAML2_149	4	423023261	2881033286	0.146830396946688
tAML2_14	4	496485629	2881033286	0.172329015222631
tAML2_150	5	331988244	2881033286	0.115232352785805
tAML2_151	4	436964112	2881033286	0.151669234133243
tAML2_152	5	376062444	2881033286	0.130530405819129
tAML2_153	4	456014549	2881033286	0.158281596820121
tAML2_154	3	310844177	2881033286	0.107893295961038
tAML2_155	4	414202106	2881033286	0.143768594418107
tAML2_156	1	0	2881033286	0
tAML2_157	1	0	2881033286	0
tAML2_158	2	20885992	2881033286	0.00724947958827575
tAML2_159	1	128971337	2881033286	0.0447656532212658
tAML2_15	5	352406566	2881033286	0.122319505197136
tAML2_160	4	453300371	2881033286	0.157339511904549
tAML2_161	1	0	2881033286	0
tAML2_162	4	500957015	2881033286	0.173881022976838
tAML2_163	1	-139844216	2881033286	-0.0485396044119151
tAML2_164	1	0	2881033286	0
tAML2_165	4	351846877	2881033286	0.122125238437804
tAML2_166	1	0	2881033286	0
tAML2_167	1	0	2881033286	0
tAML2_168	1	0	2881033286	0
