sample_name	p.value	sd	nr_total_runs	fdr
tAML2_100	NA	0	1	NA
tAML2_101	0.312572620296046	1.44729905555591	8	0.761706251694228
tAML2_102	NA	0	1	NA
tAML2_103	1	1.09544511501033	4	1
tAML2_104	0.49268133159568	47.933650749279	4564	0.808029568954884
tAML2_105	0.479500122186954	0.471404520791031	2	0.808029568954884
tAML2_106	NA	NA	1	NA
tAML2_107	0.0608983011873517	21.7488460695716	907	0.568149586614328
tAML2_108	0.0416205157432687	16.7939173481593	600	0.568149586614328
tAML2_109	0.245053989156456	42.9791925795291	3646	0.694365338319274
tAML2_10	0.0774765292200282	27.2603870438478	1440	0.568149586614328
tAML2_110	0.479500122186954	0.471404520791031	2	0.808029568954884
tAML2_111	0.611541239001927	15.7558794159293	506	0.849814474790152
tAML2_112	NA	NA	1	NA
tAML2_113	NA	NA	1	NA
tAML2_114	0.651912033125263	23.577247445634	1104	0.854055299210615
tAML2_115	0.163649550776643	14.7137527856114	414	0.606565226234808
tAML2_116	0.836947068924094	4.45416061493361	44	0.950426110922391
tAML2_117	0.693763298367794	19.5651735304359	775	0.85581020017633
tAML2_118	0.455059497583198	16.0224414216865	503	0.808029568954884
tAML2_119	NA	0	1	NA
tAML2_11	0.704006839999535	39.0941500708383	3044	0.855950762301593
tAML2_120	0.344844800304675	30.434364726151	1883	0.795095105603371
tAML2_121	0.194811111053307	8.85917144869157	147	0.626502282290232
tAML2_122	0.175947279255717	1.60097823630782	9	0.606565226234808
tAML2_123	NA	NA	1	NA
tAML2_124	0.479500122186954	0.471404520791032	3	0.808029568954884
tAML2_125	NA	0	1	NA
tAML2_126	0.196477047108771	36.7486944878477	2655	0.626502282290232
tAML2_127	0.0142908125255448	4.79617446239023	60	0.567258249624388
tAML2_128	0.58528717448213	10.9650756181535	236	0.849814474790152
tAML2_129	0.0510952504939324	19.8921277297569	832	0.568149586614328
tAML2_12	0.0804541179692102	26.0752540566502	1407	0.568149586614328
tAML2_130	0.306141195078948	22.4664408690955	988	0.761706251694228
tAML2_131	0.405844419954846	11.3442393185564	252	0.808029568954884
tAML2_132	0.348787614632677	18.9608845345541	703	0.795095105603371
tAML2_133	0.0290490221619406	1.1780301787479	7	0.568149586614328
tAML2_134	0.958508118838732	38.6036471285425	2984	0.981744679295428
tAML2_135	0.446596245802344	36.1317015430384	2585	0.808029568954884
tAML2_136	0.246520238456547	32.31403570178	2053	0.694365338319274
tAML2_137	0.479500122186954	0.471404520791031	2	0.808029568954884
tAML2_138	0.0490908785115061	27.9810566462478	1624	0.568149586614328
tAML2_139	0.745055628936467	13.6728050373025	371	0.886721135846922
tAML2_13	0.623120135697513	31.5196724037222	1973	0.849814474790152
tAML2_140	0.935899998626679	4.25376808680117	38	0.981744679295428
tAML2_141	0.183046310875593	9.60684986912815	174	0.606565226234808
tAML2_142	0.950423265100309	4.66942296602409	46	0.981744679295428
tAML2_143	0.0866680141911942	15.4753579863655	507	0.568149586614328
tAML2_144	0.867834393493182	4.90551699663298	49	0.961182970860952
tAML2_145	0.76236663957904	13.2191824715082	347	0.900978755866138
tAML2_146	0.0436823971567439	11.9824653836984	313	0.568149586614328
tAML2_147	0.399290461480268	16.5901609165712	538	0.808029568954884
tAML2_148	0.626129833483162	14.412774372254	424	0.849814474790152
tAML2_149	0.847902079614695	11.0964648865879	247	0.950426110922391
tAML2_14	0.120820594645614	31.1477148484378	1992	0.589119702247165
tAML2_150	0.0430596414422376	11.3204352766017	235	0.568149586614328
tAML2_151	0.847545198420579	12.9999573701564	337	0.950426110922391
tAML2_152	0.104216788077185	7.09009965703625	91	0.568149586614328
tAML2_153	0.934921181873134	24.743271609153	1228	0.981744679295428
tAML2_154	0.920805906579419	4.81968780458089	48	0.981744679295428
tAML2_155	0.530998759119155	11.5546888030387	276	0.838124340064266
tAML2_156	0.157299207050285	0.471404520791031	3	0.606565226234808
tAML2_157	NA	0	1	NA
tAML2_158	0.179712494879	1.49071198499986	4	0.606565226234808
tAML2_159	0.172529643358683	1.85711843695788	11	0.606565226234808
tAML2_15	0.289743185876835	31.0953404538065	1903	0.761706251694228
tAML2_160	0.0471843139497113	27.6378601642047	1475	0.568149586614328
tAML2_161	NA	0	1	NA
tAML2_162	0.177703889451222	46.7548841445411	4312	0.606565226234808
tAML2_163	0.902401785598116	0.906083690572227	4	0.977601934397959
tAML2_164	NA	NA	1	NA
tAML2_165	0.687139118682224	29.9944983674429	1813	0.85581020017633
tAML2_166	0.220671361919847	0.816496580927726	4	0.665954645793823
tAML2_167	NA	NA	1	NA
tAML2_168	NA	NA	1	NA
tAML2_169	0.0664520450952861	6.97797241948201	112	0.568149586614328
tAML2_16	0.279894731576785	31.3346271008313	1932	0.750828724388517
