mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
24	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	5.54241282412741
27	555	AX001_4_01	555	613	559	683	70	4	PASS	simulation	5.66989874974959
43	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
54	533	AX001_4_01	533	16	534	20	4	3	PASS	simulation	7.08242075829462
57	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	6.29289264791319
71	555	AX001_4_01	555	613	558	656	43	3	PASS	simulation	5.58332957007975
92	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	5.54241282412741
102	524	AX001_4_01	524	244	525	481	237	3	PASS	simulation	5.87495045607002
103	555	AX001_4_01	555	613	557	710	97	4	PASS	simulation	5.65360296140402
122	518	AX001_4_01	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
130	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.723432803769
158	556	AX001_4_01	556	629	557	710	81	3	PASS	simulation	7.11848764942709
165	471	AX001_4_01	471	24	474	27	3	7	PASS	simulation	7.58287208274382
176	555	AX001_4_01	555	613	559	683	70	4	PASS	simulation	5.57094979176682
181	598	AX001_4_01	598	37	599	42	5	3	PASS	simulation	7.05535606279699
184	575	AX001_4_01	575	21	576	22	1	6	PASS	simulation	6.82534566455347
186	553	AX001_4_01	553	30	556	629	599	4	PASS	simulation	8.58143994795254
196	397	AX001_4_01	397	13	399	19	6	4	PASS	simulation	7.3538388694471
202	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	5.54241282412741
204	555	AX001_4_01	555	613	559	683	70	4	PASS	simulation	5.57094979176682
214	527	AX001_4_01	527	17	528	18	1	4	PASS	simulation	6.89934317751079
216	555	AX001_4_01	555	613	558	656	43	3	PASS	simulation	5.58332957007975
229	555	AX001_4_01	555	613	559	683	70	4	PASS	simulation	5.66989874974959
238	612	AX001_4_01	612	15	614	17	2	3	PASS	simulation	9.92565353639263
249	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56498440240492
282	524	AX001_4_01	524	244	525	481	237	3	PASS	simulation	5.88866191280267
296	555	AX001_4_01	555	613	557	710	97	4	PASS	simulation	5.556939077324
307	544	AX001_4_01	544	19	553	30	11	11	PASS	simulation	7.0552496311136
320	614	AX001_4_01	614	17	615	18	1	4	PASS	simulation	7.73455835519787
330	471	AX001_4_01	471	24	474	27	3	7	PASS	simulation	7.58287208274382
333	437	AX001_4_01	437	569	437	569	0	2	PASS	simulation	6.94338230335306
340	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
341	582	AX001_4_01	582	20	585	26	6	8	PASS	simulation	9.58683497983925
347	533	AX001_4_01	533	16	534	20	4	3	PASS	simulation	6.92652299510526
364	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.723432803769
367	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56317106164146
378	630	AX001_4_01	630	12	631	13	1	4	PASS	simulation	7.71760326010827
383	393	AX001_4_01	393	15	393	15	0	2	PASS	simulation	9.82091818587262
389	524	AX001_4_01	524	244	525	481	237	3	PASS	simulation	5.87495045607002
399	604	AX001_4_01	604	31	605	38	7	4	PASS	simulation	7.38634928183842
402	544	AX001_4_01	544	19	553	30	11	10	PASS	simulation	7.0552496311136
408	555	AX001_4_01	555	613	557	710	97	4	PASS	simulation	5.65360296140402
445	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56317106164146
478	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56317106164146
487	524	AX001_4_01	524	244	525	481	237	3	PASS	simulation	5.87495045607002
519	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
526	575	AX001_4_01	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
528	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	6.29289264791319
535	540	AX001_4_01	540	14	542	16	2	4	PASS	simulation	7.11462722861385
536	555	AX001_4_01	555	613	558	656	43	3	PASS	simulation	6.77001390263285
538	555	AX001_4_01	555	613	555	613	0	2	PASS	simulation	6.56790921121225
542	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	6.29289264791319
561	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.723432803769
594	367	AX001_4_01	367	24	368	25	1	3	PASS	simulation	6.87450101394525
617	533	AX001_4_01	533	16	534	20	4	3	PASS	simulation	7.08242075829462
621	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
626	555	AX001_4_01	555	613	559	683	70	4	PASS	simulation	5.66989874974959
650	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.723432803769
692	555	AX001_4_01	555	613	557	710	97	4	PASS	simulation	5.556939077324
709	575	AX001_4_01	575	21	578	22	1	5	PASS	simulation	6.93559735969147
716	397	AX001_4_01	397	13	399	19	6	4	PASS	simulation	7.3538388694471
722	555	AX001_4_01	555	613	555	613	0	2	PASS	simulation	6.56790921121225
736	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56498440240492
750	558	AX001_4_01	558	656	559	683	27	3	PASS	simulation	6.70314989094624
753	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.723432803769
759	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
764	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56498440240492
776	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
783	393	AX001_4_01	393	15	394	26	11	3	PASS	simulation	7.14651637302734
795	555	AX001_4_01	555	613	557	710	97	4	PASS	simulation	5.65360296140402
804	629	AX001_4_01	629	10	632	16	6	5	PASS	simulation	7.84647229034501
808	555	AX001_4_01	555	613	558	656	43	3	PASS	simulation	5.58332957007975
810	439	AX001_4_01	439	328	440	388	60	3	PASS	simulation	5.67097804801637
812	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56498440240492
828	601	AX001_4_01	601	30	603	32	2	3	PASS	simulation	8.11947356240874
857	524	AX001_4_01	524	244	525	481	237	3	PASS	simulation	5.87495045607002
878	437	AX001_4_01	437	569	438	589	20	3	PASS	simulation	5.56498440240492
890	555	AX001_4_01	555	613	556	629	16	3	PASS	simulation	5.54241282412741
920	558	AX001_4_01	558	656	559	683	27	3	PASS	simulation	6.80209884892901
925	544	AX001_4_01	544	19	554	32	13	12	PASS	simulation	9.59035977611043
927	398	AX001_4_01	398	18	399	19	1	3	PASS	simulation	7.35426236483112
