mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
10	511	CB002_2_01	511	27	512	28	1	3	PASS	simulation	5.99977943821703
14	552	CB002_2_01	552	27	553	31	4	3	PASS	simulation	6.35196195632839
25	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.63875151287776
30	644	CB002_2_01	644	10	645	14	4	3	PASS	simulation	7.43114320237602
34	449	CB002_2_01	449	12	456	20	8	5	PASS	simulation	6.92599322405611
36	499	CB002_2_01	499	17	500	23	6	3	PASS	simulation	7.52805321538407
66	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.64439178023046
72	633	CB002_2_01	633	15	634	18	3	3	PASS	simulation	6.44887196933645
76	447	CB002_2_01	447	25	448	26	1	5	PASS	simulation	5.79565945556111
78	524	CB002_2_01	524	29	525	31	2	4	PASS	simulation	5.90480392498617
80	514	CB002_2_01	514	18	517	29	11	5	PASS	simulation	5.99977943821703
91	510	CB002_2_01	510	22	511	27	5	5	PASS	simulation	5.76089734930189
95	432	CB002_2_01	432	17	433	24	7	3	PASS	simulation	5.9839851710338
97	583	CB002_2_01	583	16	585	23	7	4	PASS	simulation	6.13447801211449
113	654	CB002_2_01	654	13	655	15	2	3	PASS	simulation	6.39771944688907
114	500	CB002_2_01	500	23	502	25	2	5	PASS	simulation	5.92059819216941
120	401	CB002_2_01	401	25	402	33	8	3	PASS	simulation	5.82908321104806
121	422	CB002_2_01	422	23	423	25	2	4	PASS	simulation	5.69874944255305
129	527	CB002_2_01	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
134	595	CB002_2_01	595	6	596	20	14	3	PASS	simulation	6.00953927550619
136	458	CB002_2_01	458	24	459	25	1	3	PASS	simulation	6.05093196066441
146	570	CB002_2_01	570	11	578	13	2	3	PASS	simulation	7.22702321972009
151	388	CB002_2_01	388	15	391	18	3	4	PASS	simulation	6.95402194765636
162	645	CB002_2_01	645	14	646	15	1	3	PASS	simulation	5.99657429834182
163	578	CB002_2_01	578	13	585	23	10	5	PASS	simulation	6.31056927117017
190	632	CB002_2_01	632	13	633	15	2	4	PASS	simulation	5.88460053889789
192	409	CB002_2_01	409	16	413	21	5	5	PASS	simulation	6.69874944255305
215	510	CB002_2_01	510	22	513	30	8	4	PASS	simulation	5.71347269937376
221	579	CB002_2_01	579	17	580	19	2	3	PASS	simulation	6.20583392065016
237	510	CB002_2_01	510	22	512	28	6	6	PASS	simulation	5.74450693311372
241	484	CB002_2_01	484	16	487	19	3	4	PASS	simulation	6.22162818783339
258	404	CB002_2_01	404	19	406	21	2	4	PASS	simulation	6.43114320237602
262	564	CB002_2_01	564	26	565	37	11	3	PASS	simulation	6.95402194765636
265	455	CB002_2_01	455	16	459	25	9	5	PASS	simulation	6.20583392065016
267	484	CB002_2_01	484	16	489	25	9	5	PASS	simulation	6.20583392065016
268	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.64439178023046
269	447	CB002_2_01	447	25	448	26	1	5	PASS	simulation	5.79565945556111
275	455	CB002_2_01	455	16	459	25	9	5	PASS	simulation	6.20583392065016
281	587	CB002_2_01	587	5	590	15	10	4	PASS	simulation	6.48666053022585
301	500	CB002_2_01	500	23	501	24	1	3	PASS	simulation	5.93698860835758
307	522	CB002_2_01	522	18	523	22	4	4	PASS	simulation	6.38192517970584
310	568	CB002_2_01	568	24	569	27	3	4	PASS	simulation	5.67374717358299
314	445	CB002_2_01	445	20	446	27	7	3	PASS	simulation	6.92599322405611
