mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
8	376	KX007_2_01	376	328	377	466	138	3	PASS	simulation	5.62716526081341
9	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
10	368	KX007_2_01	368	395	369	413	18	3	PASS	simulation	6.28476951511075
15	443	KX007_2_01	443	535	445	583	48	3	PASS	simulation	5.5294245553399
16	483	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.78596080095043
26	465	KX007_2_01	465	530	466	737	207	3	PASS	simulation	6.39035247650124
31	471	KX007_2_01	471	496	472	526	30	3	PASS	simulation	6.12324513871325
32	470	KX007_2_01	470	396	472	526	130	4	PASS	simulation	5.55026143365346
33	480	KX007_2_01	480	370	483	442	72	3	PASS	simulation	5.52110428628584
36	443	KX007_2_01	443	535	443	535	0	2	PASS	simulation	6.5821826045027
38	522	KX007_2_01	522	331	525	401	70	3	PASS	simulation	5.59920105396021
43	480	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.53286919031874
49	499	KX007_2_01	499	723	500	747	24	3	PASS	simulation	6.23409418525763
60	480	KX007_2_01	480	370	483	442	72	3	PASS	simulation	5.56535976874198
61	522	KX007_2_01	522	331	524	661	330	4	PASS	simulation	5.74635619571096
62	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
77	376	KX007_2_01	376	328	379	408	80	3	PASS	simulation	5.58499912134229
79	509	KX007_2_01	509	253	509	253	0	2	PASS	simulation	6.69432873723006
81	339	KX007_2_01	339	639	342	686	47	3	PASS	simulation	6.25017721208042
88	465	KX007_2_01	465	530	466	737	207	3	PASS	simulation	6.39035247650124
89	480	KX007_2_01	480	370	483	442	72	3	PASS	simulation	5.52110428628584
91	348	KX007_2_01	348	173	349	532	359	3	PASS	simulation	6.38528519107057
92	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.50433040088912
115	376	KX007_2_01	376	328	379	408	80	3	PASS	simulation	5.58499912134229
124	465	KX007_2_01	465	530	466	737	207	3	PASS	simulation	6.39035247650124
133	522	KX007_2_01	522	331	524	661	330	4	PASS	simulation	5.74635619571096
136	450	KX007_2_01	450	11	451	16	5	4	PASS	simulation	7.73511942773321
138	542	KX007_2_01	542	698	543	734	36	3	PASS	simulation	5.3765433129751
142	522	KX007_2_01	522	331	525	401	70	3	PASS	simulation	5.54868226062266
146	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67877175453231
147	525	KX007_2_01	522	331	523	471	140	3	PASS	simulation	6.20240242434698
148	411	KX007_2_01	411	446	412	702	256	3	PASS	simulation	5.61492443289202
154	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67877175453231
157	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
160	496	KX007_2_01	496	459	502	672	213	5	PASS	simulation	5.60237958947233
162	357	KX007_2_01	357	523	359	616	93	4	PASS	simulation	6.61264466659712
166	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
174	385	KX007_2_01	385	32	388	39	7	4	PASS	simulation	7.21243679646926
183	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.50300135845507
185	541	KX007_2_01	541	27	546	30	3	5	PASS	simulation	6.58094353238715
187	522	KX007_2_01	522	331	524	661	330	4	PASS	simulation	5.74635619571096
190	368	KX007_2_01	368	395	370	437	42	4	PASS	simulation	6.25768784015632
196	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.49676459618402
202	559	KX007_2_01	559	494	560	907	413	3	PASS	simulation	6.34115819809622
209	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.54575333887602
214	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.50300135845507
217	496	KX007_2_01	496	459	498	604	145	4	PASS	simulation	6.26163245766864
224	492	KX007_2_01	492	826	493	846	20	3	PASS	simulation	5.42565508623022
225	449	KX007_2_01	449	7	451	16	9	7	PASS	simulation	8.03614942339719
227	338	KX007_2_01	338	546	341	750	204	5	PASS	simulation	5.53206074283427
228	368	KX007_2_01	368	395	370	437	42	4	PASS	simulation	6.28418774076802
235	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
240	411	KX007_2_01	411	446	414	935	489	5	PASS	simulation	5.85228534868662
242	443	KX007_2_01	443	535	445	583	48	3	PASS	simulation	5.5294245553399
244	496	KX007_2_01	496	459	501	583	124	4	PASS	simulation	6.38778941241626
255	392	KX007_2_01	392	31	394	252	221	4	PASS	simulation	8.33620017516962
258	480	KX007_2_01	480	370	482	895	525	4	PASS	simulation	5.85216659998685
268	366	KX007_2_01	366	389	367	669	280	3	PASS	simulation	6.52339216953566
269	338	KX007_2_01	338	546	340	665	119	4	PASS	simulation	5.46647966024703
282	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.48337137817999
284	338	KX007_2_01	338	546	341	750	204	5	PASS	simulation	5.53206074283427
286	331	KX007_2_01	331	672	336	752	80	5	PASS	simulation	7.53057075416279
287	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
288	522	KX007_2_01	522	331	524	661	330	4	PASS	simulation	5.74635619571096
300	483	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.78596080095043
304	560	KX007_2_01	560	907	562	1013	106	4	PASS	simulation	5.80772646859173
306	480	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.53286919031874
307	355	KX007_2_01	355	406	359	616	210	6	PASS	simulation	5.66913444408714
308	376	KX007_2_01	376	328	378	487	159	4	PASS	simulation	5.58914022048343
314	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
320	489	KX007_2_01	489	31	491	709	678	4	PASS	simulation	7.37037579318048
331	411	KX007_2_01	411	446	413	725	279	4	PASS	simulation	6.04857999383059
332	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67582404311263
342	522	KX007_2_01	522	331	524	661	330	4	PASS	simulation	5.74635619571096
358	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.50300135845507
368	563	KX007_2_01	563	503	565	552	49	4	PASS	simulation	5.48055007479593
371	363	KX007_2_01	363	354	364	373	19	3	PASS	simulation	6.43524287216461
372	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
387	497	KX007_2_01	497	573	499	723	150	4	PASS	simulation	6.24363125570892
388	355	KX007_2_01	355	406	358	558	152	5	PASS	simulation	6.65078124210626
390	339	KX007_2_01	339	639	342	686	47	3	PASS	simulation	6.24277849000739
398	412	KX007_2_01	412	702	414	935	233	4	PASS	simulation	6.03626708117962
409	443	KX007_2_01	443	535	443	535	0	2	PASS	simulation	6.56445383754227
413	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67877175453231
416	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.54575333887602
417	443	KX007_2_01	443	535	445	583	48	3	PASS	simulation	5.48672265788988
419	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.54611322101306
422	429	KX007_2_01	429	24	431	30	6	4	PASS	simulation	7.10667283393962
425	558	KX007_2_01	558	401	561	973	572	5	PASS	simulation	6.8086515517558
430	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.53464660214896
433	411	KX007_2_01	410	36	415	520	484	3	PASS	simulation	7.50646189056458
446	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
447	411	KX007_2_01	411	446	413	725	279	4	PASS	simulation	5.68505754996224
448	460	KX007_2_01	460	300	461	348	48	3	PASS	simulation	5.57452964027417
451	334	KX007_2_01	334	718	337	795	77	5	PASS	simulation	6.72313012767716
452	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
457	355	KX007_2_01	355	406	359	616	210	6	PASS	simulation	5.66913444408714
459	368	KX007_2_01	368	395	369	413	18	3	PASS	simulation	6.28476951511075
464	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
468	376	KX007_2_01	376	328	378	487	159	4	PASS	simulation	5.58914022048343
470	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.49693167881609
476	394	KX007_2_01	394	252	395	474	222	3	PASS	simulation	5.75814979714362
480	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
483	537	KX007_2_01	537	24	538	26	2	3	PASS	simulation	7.67866198338335
484	339	KX007_2_01	339	639	342	686	47	3	PASS	simulation	6.25017721208042
537	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.50433040088912
539	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.49693167881609
541	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
544	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.54575333887602
546	523	KX007_2_01	523	471	524	661	190	3	PASS	simulation	6.12480540797879
548	551	KX007_2_01	551	6	553	19	13	3	PASS	simulation	7.60120584181613
558	443	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.54575333887602
559	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
566	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.49693167881609
573	563	KX007_2_01	556	23	557	27	4	3	PASS	simulation	7.15543903798046
579	438	KX007_2_01	438	35	439	36	1	3	PASS	simulation	6.47952026260555
581	366	KX007_2_01	366	389	367	669	280	3	PASS	simulation	6.5317353297186
583	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
585	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
586	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67582404311263
589	376	KX007_2_01	376	328	379	408	80	3	PASS	simulation	5.58499912134229
597	560	KX007_2_01	560	907	561	973	66	3	PASS	simulation	5.76232804748673
600	509	KX007_2_01	509	253	510	338	85	3	PASS	simulation	5.67582404311263
604	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.48337137817999
605	497	KX007_2_01	497	573	501	583	10	3	PASS	simulation	6.13358669377119
613	492	KX007_2_01	492	826	493	846	20	3	PASS	simulation	5.42565508623022
616	377	KX007_2_01	377	466	378	487	21	3	PASS	simulation	5.9220175833994
621	464	KX007_2_01	464	463	466	737	274	4	PASS	simulation	5.57100500985297
630	464	KX007_2_01	464	463	466	737	274	4	PASS	simulation	5.57100500985297
633	490	KX007_2_01	490	629	490	629	0	2	PASS	simulation	6.30379197430389
635	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
636	425	KX007_2_01	425	19	428	31	12	4	PASS	simulation	7.62947470613684
637	560	KX007_2_01	560	907	562	1013	106	4	PASS	simulation	5.80772646859173
639	563	KX007_2_01	563	503	564	538	35	3	PASS	simulation	5.52637970130593
646	330	KX007_2_01	330	606	335	743	137	5	PASS	simulation	7.27042874344694
647	470	KX007_2_01	470	396	472	526	130	4	PASS	simulation	5.57301678565816
654	470	KX007_2_01	470	396	471	496	100	3	PASS	simulation	5.53517830873147
658	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
680	563	KX007_2_01	563	503	564	538	35	3	PASS	simulation	5.52637970130593
683	563	KX007_2_01	563	503	566	604	101	5	PASS	simulation	5.51428554354363
688	355	KX007_2_01	355	406	359	616	210	6	PASS	simulation	5.65605461370181
689	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
690	480	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.53286919031874
706	355	KX007_2_01	355	406	358	558	152	5	PASS	simulation	5.5647898218723
707	405	KX007_2_01	405	24	416	29	5	5	PASS	simulation	7.90767138380147
709	496	KX007_2_01	496	459	499	723	264	5	PASS	simulation	6.95696817734957
721	339	KX007_2_01	339	639	342	686	47	3	PASS	simulation	6.24277849000739
722	522	KX007_2_01	522	331	525	401	70	3	PASS	simulation	5.54868226062266
733	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.48337137817999
742	339	KX007_2_01	339	639	341	750	111	4	PASS	simulation	6.30923648444639
745	376	KX007_2_01	376	328	378	487	159	4	PASS	simulation	5.58914022048343
746	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.49676459618402
754	411	KX007_2_01	411	446	412	702	256	3	PASS	simulation	5.61492443289202
756	576	KX007_2_01	576	26	577	44	18	3	PASS	simulation	7.15235345141718
757	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
760	542	KX007_2_01	542	698	543	734	36	3	PASS	simulation	6.77664938340365
762	412	KX007_2_01	412	702	414	935	233	4	PASS	simulation	6.05682924009451
764	542	KX007_2_01	542	698	543	734	36	3	PASS	simulation	5.3765433129751
769	498	KX007_2_01	497	573	501	583	10	3	PASS	simulation	6.97728828730286
773	376	KX007_2_01	376	328	379	408	80	3	PASS	simulation	5.58499912134229
776	563	KX007_2_01	563	503	565	552	49	4	PASS	simulation	6.58997284892895
784	497	KX007_2_01	497	573	501	583	10	3	PASS	simulation	6.97728828730286
795	469	KX007_2_01	469	41	472	526	485	5	PASS	simulation	6.97711710303501
797	348	KX007_2_01	348	173	350	201	28	3	PASS	simulation	6.20579395784938
799	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
807	358	KX007_2_01	358	558	359	616	58	3	PASS	simulation	6.68136047896658
811	560	KX007_2_01	560	907	562	1013	106	4	PASS	simulation	5.80772646859173
818	460	KX007_2_01	460	300	461	348	48	3	PASS	simulation	5.59940900647721
822	394	KX007_2_01	394	252	396	265	13	3	PASS	simulation	5.62752667810507
827	563	KX007_2_01	563	503	565	552	49	4	PASS	simulation	6.58997284892895
828	377	KX007_2_01	377	466	378	487	21	3	PASS	simulation	5.92305905747622
829	460	KX007_2_01	460	300	461	348	48	3	PASS	simulation	5.59940900647721
836	480	KX007_2_01	480	370	481	407	37	3	PASS	simulation	5.53286919031874
845	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
846	411	KX007_2_01	411	446	414	935	489	5	PASS	simulation	5.85228534868662
848	338	KX007_2_01	338	546	340	665	119	4	PASS	simulation	5.46647966024703
863	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.48337137817999
876	465	KX007_2_01	465	530	466	737	207	3	PASS	simulation	6.39035247650124
878	542	KX007_2_01	542	698	543	734	36	3	PASS	simulation	5.3765433129751
883	464	KX007_2_01	464	463	465	530	67	3	PASS	simulation	5.49430545331199
888	563	KX007_2_01	563	503	565	552	49	4	PASS	simulation	5.48055007479593
889	340	KX007_2_01	340	665	341	750	85	3	PASS	simulation	6.83141715460869
894	362	KX007_2_01	362	311	363	354	43	3	PASS	simulation	7.25612322442633
896	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
902	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
903	443	KX007_2_01	443	535	445	583	48	3	PASS	simulation	5.5294245553399
907	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.53464660214896
909	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
910	346	KX007_2_01	346	29	350	201	172	5	PASS	simulation	7.91651228923887
916	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
922	362	KX007_2_01	362	311	366	389	78	4	PASS	simulation	6.08771879403694
926	394	KX007_2_01	394	252	395	474	222	3	PASS	simulation	5.75814979714362
929	394	KX007_2_01	394	252	396	265	13	3	PASS	simulation	5.62752667810507
938	492	KX007_2_01	492	826	494	956	130	4	PASS	simulation	5.48337137817999
944	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.49676459618402
957	355	KX007_2_01	355	406	358	558	152	5	PASS	simulation	6.65078124210626
962	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
963	523	KX007_2_01	523	471	524	661	190	3	PASS	simulation	6.12480540797879
967	529	KX007_2_01	529	22	530	23	1	3	PASS	simulation	6.78735167484137
970	376	KX007_2_01	376	328	380	444	116	4	PASS	simulation	5.60287817435476
983	377	KX007_2_01	377	466	378	487	21	3	PASS	simulation	5.92305905747622
984	460	KX007_2_01	460	300	461	348	48	3	PASS	simulation	5.59940900647721
987	470	KX007_2_01	470	396	472	526	130	4	PASS	simulation	5.57301678565816
988	522	KX007_2_01	522	331	523	471	140	3	PASS	simulation	6.20240242434698
1000	558	KX007_2_01	558	401	561	973	572	5	PASS	simulation	6.8086515517558
1003	376	KX007_2_01	376	328	380	444	116	4	PASS	simulation	5.60287817435476
1007	338	KX007_2_01	338	546	342	686	140	4	PASS	simulation	5.49693167881609
1008	348	KX007_2_01	348	173	350	201	28	3	PASS	simulation	6.17614959974463
1009	394	KX007_2_01	394	252	396	265	13	3	PASS	simulation	5.63502907261369
1016	385	KX007_2_01	385	32	387	41	9	5	PASS	simulation	7.15350797885449
1018	542	KX007_2_01	542	698	544	758	60	4	PASS	simulation	5.40789776385909
1030	394	KX007_2_01	394	252	396	265	13	3	PASS	simulation	5.62752667810507
1031	376	KX007_2_01	376	328	377	466	138	3	PASS	simulation	5.62716526081341
1039	355	KX007_2_01	355	406	357	523	117	4	PASS	simulation	5.57536014493194
1042	438	KX007_2_01	438	35	439	36	1	3	PASS	simulation	6.47952026260555
1046	490	KX007_2_01	490	629	490	629	0	2	PASS	simulation	6.30379197430389
1048	563	KX007_2_01	563	503	566	604	101	5	PASS	simulation	5.51428554354363
1050	422	KX007_2_01	422	436	423	748	312	3	PASS	simulation	5.61348660075271
1054	560	KX007_2_01	560	907	562	1013	106	4	PASS	simulation	5.80772646859173
1055	412	KX007_2_01	412	702	414	935	233	4	PASS	simulation	6.03626708117962
1060	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
1066	542	KX007_2_01	542	698	543	734	36	3	PASS	simulation	5.3765433129751
1068	363	KX007_2_01	363	354	364	373	19	3	PASS	simulation	6.43524287216461
1083	490	KX007_2_01	490	629	491	709	80	3	PASS	simulation	5.58156951033416
1084	480	KX007_2_01	480	370	483	442	72	3	PASS	simulation	5.52110428628584
1085	362	KX007_2_01	362	311	364	373	62	4	PASS	simulation	5.60138953753046
1099	356	KX007_2_01	356	482	359	616	134	5	PASS	simulation	6.34461493103606
1100	394	KX007_2_01	394	252	396	265	13	3	PASS	simulation	5.63502907261369
1101	411	KX007_2_01	411	446	412	702	256	3	PASS	simulation	5.61492443289202
1103	522	KX007_2_01	522	331	525	401	70	3	PASS	simulation	5.54868226062266
1111	412	KX007_2_01	412	702	414	935	233	4	PASS	simulation	6.03626708117962
1117	445	KX007_2_01	443	535	444	585	50	3	PASS	simulation	5.54575333887602
