mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
4	64	PD34206	64	12	94	3102	3090	11	PASS	simulation	5.8313318627961
24	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
25	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
34	103	PD34206	94	3102	95	5748	2646	4	PASS	simulation	5.21435557395734
53	90	PD34206	90	708	96	6206	5498	7	PASS	simulation	4.86849567780823
59	98	PD34206	98	6643	101	7194	551	6	PASS	simulation	6.03940899794944
63	90	PD34206	90	708	99	7104	6396	9	PASS	simulation	5.62816352249786
64	93	PD34206	90	708	91	864	156	3	PASS	simulation	3.5996885906164
81	93	PD34206	93	2815	96	6206	3391	6	PASS	simulation	4.36895697611668
83	87	PD34206	87	172	89	2849	2677	3	PASS	simulation	4.60591724295344
88	90	PD34206	90	708	96	6206	5498	7	PASS	simulation	4.61080063128098
92	98	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
98	68	PD34206	68	341	72	631	290	4	PASS	simulation	4.7765532117349
102	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
104	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
109	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.8456075234287
118	94	PD34206	94	3102	96	6206	3104	5	PASS	simulation	5.23473961499079
120	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
147	70	PD34206	70	365	73	687	322	4	PASS	simulation	5.89446568252659
164	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
169	95	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
172	95	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.01233662534604
174	93	PD34206	93	2815	99	7104	4289	8	PASS	simulation	5.12862482080631
212	93	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.64133756137775
218	90	PD34206	90	708	95	5748	5040	6	PASS	simulation	4.84811163677479
229	90	PD34206	90	708	94	3102	2394	5	PASS	simulation	4.08638727492717
237	103	PD34206	93	2815	95	5748	2933	5	PASS	simulation	4.34857293508323
243	97	PD34206	95	5748	96	6206	458	3	PASS	simulation	4.2700316718733
245	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
261	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
263	59	PD34206	59	2919	60	4088	1169	3	PASS	simulation	3.79668087579924
269	97	PD34206	95	5748	98	6643	895	4	PASS	simulation	4.24681218345407
285	67	PD34206	67	36	73	687	651	6	PASS	simulation	6.04422800285992
294	103	PD34206	93	2815	94	3102	287	4	PASS	simulation	3.58684857323562
322	103	PD34206	NA	NA	NA	NA	NA	NA	FAIL	simulation	NA
334	94	PD34206	94	3102	96	6206	3104	5	PASS	simulation	4.97704456846353
337	98	PD34206	98	6643	100	7180	537	5	PASS	simulation	5.39376843531507
349	103	PD34206	94	3102	95	5748	2646	4	PASS	simulation	5.21435557395734
