mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
6	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.27983002716774
15	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.19212984498393
22	223	PX001_1_01	223	2930	224	3169	239	3	PASS	simulation	6.3616652141251
32	209	PX001_1_01	209	2632	219	3015	383	8	PASS	simulation	6.32154867234561
35	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.07853198990537
50	316	PX001_1_01	316	1322	322	2428	1106	4	PASS	simulation	6.55049656301655
55	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.29863002481465
73	208	PX001_1_01	208	1477	216	2989	1512	8	PASS	simulation	6.75717931301289
90	325	PX001_1_01	325	2555	327	2627	72	4	PASS	simulation	6.61910707093156
93	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.19212984498393
123	333	PX001_1_01	333	2420	334	2446	26	3	PASS	simulation	5.2598968784217
136	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
161	346	PX001_1_01	346	334	347	2196	1862	3	PASS	simulation	5.81752766968422
192	209	PX001_1_01	209	2632	211	2815	183	4	PASS	simulation	6.43842976628429
201	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.19212984498393
232	252	PX001_1_01	252	2643	254	2962	319	4	PASS	simulation	5.96049642067131
237	240	PX001_1_01	240	386	241	1090	704	3	PASS	simulation	5.36782002198887
239	316	PX001_1_01	316	1322	318	2442	1120	4	PASS	simulation	5.99987794980468
246	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
270	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
278	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.31475194740553
284	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.32470595188877
287	208	PX001_1_01	208	1477	211	2815	1338	5	PASS	simulation	6.1114548206301
306	333	PX001_1_01	316	1322	317	1947	625	3	PASS	simulation	5.54044934457843
311	333	PX001_1_01	333	2420	335	2474	54	4	PASS	simulation	5.27297164142577
324	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.21820577205805
355	318	PX001_1_01	318	2442	319	2609	167	3	PASS	simulation	6.78158296785385
356	230	PX001_1_01	230	2990	231	3032	42	3	PASS	simulation	6.13135668959763
361	208	PX001_1_01	208	1477	211	2815	1338	5	PASS	simulation	6.1114548206301
384	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
403	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
431	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.21820577205805
439	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
443	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
448	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
463	251	PX001_1_01	251	1394	254	2962	1568	5	PASS	simulation	5.14632888989294
464	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.19212984498393
481	318	PX001_1_01	316	1322	317	1947	625	3	PASS	simulation	5.54044934457843
