mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
13	572	SX001_5_01	572	22	574	30	8	4	PASS	simulation	6.84911586197196
15	432	SX001_5_01	432	15	433	18	3	3	PASS	simulation	10.1418148650159
27	637	SX001_5_01	637	16	641	22	6	3	PASS	simulation	7.19708550471259
56	483	SX001_5_01	483	24	485	263	239	6	PASS	simulation	6.75979782244102
64	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
72	577	SX001_5_01	577	27	578	28	1	4	PASS	simulation	6.74526682702876
76	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
81	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.6328409789006
92	592	SX001_5_01	592	30	594	39	9	4	PASS	simulation	7.86021342119023
95	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
111	634	SX001_5_01	634	17	636	19	2	4	PASS	simulation	7.06055759442197
158	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
169	443	SX001_5_01	443	26	448	32	6	8	PASS	simulation	6.60652074497312
186	463	SX001_5_01	463	25	466	448	423	7	PASS	simulation	6.86414835970428
228	483	SX001_5_01	483	24	485	263	239	5	PASS	simulation	6.82166857890484
238	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
244	638	SX001_5_01	638	17	640	20	3	5	PASS	simulation	7.93498898898404
288	625	SX001_5_01	625	33	626	421	388	3	PASS	simulation	7.65045317118162
289	634	SX001_5_01	634	17	636	19	2	4	PASS	simulation	7.07270201362877
298	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.6328409789006
301	624	SX001_5_01	624	29	625	33	4	3	PASS	simulation	7.25957501699707
323	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
335	460	SX001_5_01	460	17	461	18	1	3	PASS	simulation	7.10240074583975
357	644	SX001_5_01	644	24	646	31	7	6	PASS	simulation	7.41427360798733
359	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.6328409789006
379	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.56346795680386
417	602	SX001_5_01	602	447	603	492	45	3	PASS	simulation	5.6328409789006
418	502	SX001_5_01	502	42	503	43	1	3	PASS	simulation	7.31899321971279
419	456	SX001_5_01	456	18	457	21	3	4	PASS	simulation	10.0449048520078
464	580	SX001_5_01	580	24	581	26	2	3	PASS	simulation	6.92796520545708
